k,BIC,AIC,silhouette,davies_bouldin,calinski_harabasz,bootstrap_ari_mean,bootstrap_effective_n_resamples,bootstrap_n_failed_resamples,kmeans_silhouette,in_silhouette_band
2,22497.653501646942,21966.32024124002,0.3119702339406598,1.3465670584178502,151.26494040867453,0.6229808818803538,50,0,0.30829282564995103,True
3,19436.134817833146,18637.25076672487,0.2874803403747773,1.268220288454543,155.47166899113938,0.8199561901545539,50,0,0.3043943639062116,True
4,17566.752394476764,16500.317552667126,0.2555193137546218,1.2821345905995403,140.40619481011254,0.6039076817468437,50,0,0.26367464658340556,True
5,15971.154972413658,14637.169339902663,0.2790024066172969,1.2073855153703144,122.07917428190129,0.5104568067162201,50,0,0.28833855556633675,True
6,14256.561569429352,12655.025146216998,0.2908352112813683,1.1882510678014586,133.6780275015796,0.6054777699759557,50,0,0.3006320200826533,True
7,12569.697794627322,10700.610580713612,0.27110056964978524,1.1682742914469804,127.127778356042,0.6474561816079394,50,0,0.30560959583912406,True
8,12022.363142297429,9885.725137682359,0.29757857603716154,1.084728169730163,131.9892746189586,0.6580319457232641,50,0,0.3090885118628369,True
9,10288.740534271048,7884.551738954621,0.28346278745541637,1.0974244534119453,128.21766045607632,0.6993579316154228,50,0,0.30559273616098076,True
10,9335.73630244509,6663.996716427306,0.25872193725930126,1.1433424709382405,112.73305303184685,0.5869518035091257,50,0,0.297761032226535,True
11,7711.662149707604,4772.371772988462,0.27647157941455847,1.1522954635446794,114.07692134094167,0.6294724883181708,50,0,0.2957292305488684,True
12,8301.060025157012,5094.218857736512,0.2908670098170886,1.123501898188821,121.9715905130282,0.6505498955544904,50,0,0.30958927275400555,True
