method_a,method_b,spearman_rho,kendall_tau,cluster_id
TOPSIS,PROMETHEE_II,0.35,0.3333333333333333,0
TOPSIS,VIKOR,0.6166666666666666,0.5,0
TOPSIS,GRA,-0.5499999999999999,-0.3888888888888889,0
PROMETHEE_II,VIKOR,0.5,0.3888888888888889,0
PROMETHEE_II,GRA,-0.049999999999999996,-0.05555555555555555,0
VIKOR,GRA,-0.049999999999999996,0.0,0
TOPSIS,PROMETHEE_II,0.8749999999999999,0.7142857142857143,1
TOPSIS,VIKOR,0.8857142857142855,0.7523809523809525,1
TOPSIS,GRA,0.13928571428571426,0.08571428571428572,1
PROMETHEE_II,VIKOR,0.8535714285714284,0.6952380952380953,1
PROMETHEE_II,GRA,0.1714285714285714,0.14285714285714288,1
VIKOR,GRA,0.1928571428571428,0.14285714285714288,1
TOPSIS,PROMETHEE_II,0.7352941176470589,0.5735294117647058,2
TOPSIS,VIKOR,0.7892156862745099,0.6323529411764706,2
TOPSIS,GRA,-0.10784313725490197,-0.08823529411764705,2
PROMETHEE_II,VIKOR,0.7622549019607844,0.588235294117647,2
PROMETHEE_II,GRA,0.2622549019607843,0.2205882352941176,2
VIKOR,GRA,-0.009803921568627453,-0.014705882352941175,2
