cluster_id,pcm_id,name,candidate_pool_status,n_survivors_in_cluster,L_required_kJ_per_kg,Tm_C,latent_heat_kJ_kg,density_kg_m3,Cp_kJ_kgK,TC_W_mK,cycles_tested,supercooling_K,crit_Tm_fitness,weight_Tm_fitness,crit_latent_heat,weight_latent_heat,crit_vol_latent_heat,weight_vol_latent_heat,crit_thermal_conductivity,weight_thermal_conductivity,crit_cycling,weight_cycling,crit_supercooling,weight_supercooling,crit_corrosion,weight_corrosion,crit_cost,weight_cost,crit_f_Tm,weight_f_Tm,f_Tm,crit_latent_heat_margin_ratio,weight_latent_heat_margin_ratio,latent_heat_margin_ratio,crit_rho_H_MJ_m3,weight_rho_H_MJ_m3,rho_H_MJ_m3,crit_cycles_confidence,weight_cycles_confidence,cycles_confidence,weight_TC_W_mK,TOPSIS_rank,PROMETHEE_II_rank,VIKOR_rank,GRA_rank,topsis_score,gra_grade,promethee_flow,vikor_Q,borda_score,consensus_rank,copeland_score,copeland_rank,kendalls_w_cluster,kendall_w,borda_copeland_agree,entropy_weight_dominant_criterion,entropy_weight_dominant_value,top3_at_lambda05,top3_at_lambda00,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,pcm_database_status,upstream_cluster_profile_fingerprint
0,RT50,RT50,healthy,9,312.3157280014543,48.0,160.0,880.0,2.0,0.2,1675.0,-0.5,0.079559508718228,0.47621557821955673,0.5123020893755788,0.10575137500097724,140.8,0.06464976611410062,0.2,0.09860706862949989,0.9766836373421075,0.052134702601903164,-0.5,0.11773584905660378,1.0,0.056603773584905655,,0.028301886792452827,0.079559508718228,0.47621557821955673,0.079559508718228,0.5123020893755788,0.10575137500097724,0.5123020893755788,140.8,0.06464976611410062,140.8,0.9766836373421075,0.052134702601903164,0.9766836373421075,0.09860706862949989,1,1,1,7,0.905083351316354,0.13246142407070124,0.1409114366644925,0.0,26.0,1,8,1,0.35208333333333336,0.35208333333333336,True,Tm_fitness,0.7260160620994909,True,False,81.8,49.8,1.0,0.6650633359705854,0.818,0.498,0.6650633359705854,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
0,n-Tricosane (C23),n-Tricosane (C23),healthy,9,312.3157280014543,47.5,232.0,797.0,2.39,0.209,1216.0,2.6000000000000014,0.05958731876198632,0.47621557821955673,0.7428380295945892,0.10575137500097724,184.904,0.06464976611410062,0.209,0.09860706862949989,0.9345833545300115,0.052134702601903164,2.6000000000000014,0.11773584905660378,1.0,0.056603773584905655,,0.028301886792452827,0.05958731876198632,0.47621557821955673,0.05958731876198632,0.7428380295945892,0.10575137500097724,0.7428380295945892,184.904,0.06464976611410062,184.904,0.9345833545300115,0.052134702601903164,0.9345833545300115,0.09860706862949989,2,4,2,6,0.6283685418759046,0.133126759902606,0.1133831863767719,0.18921477367358486,22.0,2,4,2,0.35208333333333336,0.35208333333333336,True,Tm_fitness,0.7260160620994909,True,True,67.9,31.1,1.0,0.6650633359705854,0.679,0.311,0.6650633359705854,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
0,n-Docosane (C22),n-Docosane (C22),healthy,9,312.3157280014543,44.5,249.0,880.0,2.06,0.2,1440.0,0.2000000000000028,0.007575677444259976,0.47621557821955673,0.7972701265907445,0.10575137500097724,219.12,0.06464976611410062,0.2,0.09860706862949989,0.9568093196316532,0.052134702601903164,0.2000000000000028,0.11773584905660378,1.0,0.056603773584905655,,0.028301886792452827,0.007575677444259976,0.47621557821955673,0.007575677444259976,0.7972701265907445,0.10575137500097724,0.7972701265907445,219.12,0.06464976611410062,219.12,0.9568093196316532,0.052134702601903164,0.9568093196316532,0.09860706862949989,7,3,6,2,0.2120158003889775,0.13830371528802088,0.12106245032123265,0.824742733508452,18.0,3,2,3,0.35208333333333336,0.35208333333333336,True,Tm_fitness,0.7260160620994909,True,True,40.0,5.7,1.0,0.6650633359705854,0.4,0.057,0.6650633359705854,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
0,RT45HC,RT45HC,healthy,9,312.3157280014543,45.0,240.0,880.0,2.0,0.2,1216.0,0.0,0.011108996538242365,0.47621557821955673,0.7684531340633681,0.10575137500097724,211.2,0.06464976611410062,0.2,0.09860706862949989,0.9345833545300115,0.052134702601903164,0.0,0.11773584905660378,1.0,0.056603773584905655,,0.028301886792452827,0.011108996538242365,0.47621557821955673,0.011108996538242365,0.7684531340633681,0.10575137500097724,0.7684531340633681,211.2,0.06464976611410062,211.2,0.9345833545300115,0.052134702601903164,0.9345833545300115,0.09860706862949989,4,6,5,3,0.2391948172041292,0.13682416968880898,0.10535442911454322,0.7992035929119069,18.0,3,0,5,0.35208333333333336,0.35208333333333336,True,Tm_fitness,0.7260160620994909,False,False,43.5,6.800000000000001,1.0,0.6650633359705854,0.435,0.068,0.6650633359705854,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
1,Palmitic-Stearic eutectic (64.2/35.8),Palmitic-Stearic eutectic (64.2/35.8),healthy,15,301.5966012008353,52.3,181.7,,,,,,0.50141935103294,0.49925690351547536,0.6024603701651289,0.10194538912838783,,0.06006874952769015,,0.08787954381003785,,0.05281212083075571,,0.11819627068123471,1.0,0.05119381949549242,,0.02864720301092603,0.50141935103294,0.49925690351547536,0.50141935103294,0.6024603701651289,0.10194538912838783,0.6024603701651289,,0.06006874952769015,,,0.05281212083075571,,0.08787954381003785,1,4,1,1,0.9653418493792009,0.2172139805359449,0.19910840794962398,0.012293525090017385,53.0,1,14,1,0.6397321428571429,0.6397321428571429,True,Tm_fitness,0.7693361829435424,True,True,94.8,71.1,1.0,0.7571107240775595,0.948,0.711,0.7571107240775595,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
1,n-Tetracosane (C24),n-Tetracosane (C24),healthy,15,301.5966012008353,52.0,255.0,799.0,2.39,0.209,1368.0,2.700000000000003,0.45783336177161427,0.49925690351547536,0.8455002443153983,0.10194538912838783,203.745,0.06006874952769015,0.209,0.08787954381003785,0.9500662519113888,0.05281212083075571,2.700000000000003,0.11819627068123471,1.0,0.05119381949549242,,0.02864720301092603,0.45783336177161427,0.49925690351547536,0.45783336177161427,0.8455002443153983,0.10194538912838783,0.8455002443153983,203.745,0.06006874952769015,203.745,0.9500662519113888,0.05281212083075571,0.9500662519113888,0.08787954381003785,2,1,2,5,0.7897607344911948,0.1344891062915768,0.2712787978118318,0.13614564548358835,50.0,2,12,2,0.6397321428571429,0.6397321428571429,True,Tm_fitness,0.7693361829435424,True,True,43.8,8.6,1.0,0.7571107240775595,0.43799999999999994,0.086,0.7571107240775595,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
1,PlusICE A52,PlusICE A52,healthy,15,301.5966012008353,52.0,220.0,810.0,2.15,0.205,1447.0,2.799999999999997,0.45783336177161427,0.49925690351547536,0.7294511911740691,0.10194538912838783,178.2,0.06006874952769015,0.205,0.08787954381003785,0.957446830545145,0.05281212083075571,2.799999999999997,0.11819627068123471,1.0,0.05119381949549242,,0.02864720301092603,0.45783336177161427,0.49925690351547536,0.45783336177161427,0.7294511911740691,0.10194538912838783,0.7294511911740691,178.2,0.06006874952769015,178.2,0.957446830545145,0.05281212083075571,0.957446830545145,0.08787954381003785,3,2,3,11,0.7841630722622557,0.13236786611051166,0.2165895917545208,0.1966538213368796,41.0,3,10,3,0.6397321428571429,0.6397321428571429,True,Tm_fitness,0.7693361829435424,True,False,40.400000000000006,6.5,1.0,0.7571107240775595,0.4040000000000001,0.065,0.7571107240775595,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
2,Paraffin/HDPE PCM2,Paraffin/HDPE PCM2,healthy,17,317.7711251347883,50.6,187.0,954.0,2.06,0.205,2000.0,1.3999999999999986,0.278037300453195,0.4970882918988985,0.5884738580973353,0.10909113472002356,178.398,0.06564371537141132,0.205,0.09290247042962016,1.0,0.05527438758004643,1.3999999999999986,0.12,1.0,0.03,,0.03,0.278037300453195,0.4970882918988985,0.278037300453195,0.5884738580973353,0.10909113472002356,0.5884738580973353,178.398,0.06564371537141132,178.398,1.0,0.05527438758004643,1.0,0.09290247042962016,1,2,1,7,0.7937860947614268,0.13276046476656297,0.18964845361023608,0.004492496392718609,57.0,1,15,1,0.553921568627451,0.553921568627451,True,Tm_fitness,0.7541765837977971,True,True,58.699999999999996,20.8,1.0,0.8072457737860342,0.587,0.20800000000000002,0.8072457737860342,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
2,savE® OM50,savE® OM50,healthy,17,317.7711251347883,50.0,189.0,961.0,2.78,0.336,2000.0,0.0,0.21626516682988797,0.4970882918988985,0.5947676961518523,0.10909113472002356,181.629,0.06564371537141132,0.336,0.09290247042962016,1.0,0.05527438758004643,0.0,0.12,1.0,0.03,,0.03,0.21626516682988797,0.4970882918988985,0.21626516682988797,0.5947676961518523,0.10909113472002356,0.5947676961518523,181.629,0.06564371537141132,181.629,1.0,0.05527438758004643,1.0,0.09290247042962016,4,1,4,4,0.6742771355429172,0.13346633111799716,0.22967355152244984,0.09566792386643365,55.0,2,13,2,0.553921568627451,0.553921568627451,True,Tm_fitness,0.7541765837977971,True,True,78.4,37.8,1.0,0.8072457737860342,0.784,0.37799999999999995,0.8072457737860342,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
2,Paraffin/HDPE PCM6,Paraffin/HDPE PCM6,healthy,17,317.7711251347883,50.3,187.0,953.0,2.19,0.206,2000.0,1.0,0.2459043843770681,0.4970882918988985,0.5884738580973353,0.10909113472002356,178.211,0.06564371537141132,0.206,0.09290247042962016,1.0,0.05527438758004643,1.0,0.12,1.0,0.03,,0.03,0.2459043843770681,0.4970882918988985,0.2459043843770681,0.5884738580973353,0.10909113472002356,0.5884738580973353,178.211,0.06564371537141132,178.211,1.0,0.05527438758004643,1.0,0.09290247042962016,3,5,3,6,0.7301071200467657,0.13285282165573872,0.18047002657806244,0.08360611156462829,51.0,3,10,4,0.553921568627451,0.553921568627451,True,Tm_fitness,0.7541765837977971,True,False,55.1,19.400000000000002,1.0,0.8072457737860342,0.551,0.19400000000000003,0.8072457737860342,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788975613.315
