cluster_id,pcm_id,n_survivors_in_cluster,candidate_pool_status,consensus_rank,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,upstream_cluster_profile_fingerprint
0,savE® OM42,9,healthy,6,13.8,1.2,1.0,0.6650633359705854,2542_3_1788975613.315
0,RT47,9,healthy,9,0.4,0.0,1.0,0.6650633359705854,2542_3_1788975613.315
0,n-Docosane (C22),9,healthy,3,40.0,5.7,1.0,0.6650633359705854,2542_3_1788975613.315
0,Lauric acid (C12),9,healthy,8,10.6,0.5,1.0,0.6650633359705854,2542_3_1788975613.315
0,RT45HC,9,healthy,3,43.5,6.800000000000001,1.0,0.6650633359705854,2542_3_1788975613.315
0,savE® OM46,9,healthy,5,51.4,14.799999999999999,1.0,0.6650633359705854,2542_3_1788975613.315
0,n-Tricosane (C23),9,healthy,2,67.9,31.1,1.0,0.6650633359705854,2542_3_1788975613.315
0,RT50,9,healthy,1,81.8,49.8,1.0,0.6650633359705854,2542_3_1788975613.315
0,C22H46 (docosane-class paraffin),9,healthy,6,9.9,1.5,1.0,0.6650633359705854,2542_3_1788975613.315
1,savE® OM42,15,healthy,13,0.2,0.0,1.0,0.7571107240775595,2542_3_1788975613.315
1,n-Docosane (C22),15,healthy,8,0.0,0.0,1.0,0.7571107240775595,2542_3_1788975613.315
1,Lauric acid (C12),15,healthy,14,0.2,0.1,1.0,0.7571107240775595,2542_3_1788975613.315
1,RT45HC,15,healthy,10,0.3,0.0,1.0,0.7571107240775595,2542_3_1788975613.315
1,n-Tricosane (C23),15,healthy,15,0.1,0.0,1.0,0.7571107240775595,2542_3_1788975613.315
1,savE® OM49,15,healthy,12,1.0999999999999999,0.1,1.0,0.7571107240775595,2542_3_1788975613.315
1,Paraffin/HDPE PCM3,15,healthy,6,26.900000000000002,3.0,1.0,0.7571107240775595,2542_3_1788975613.315
1,PlusICE A50,15,healthy,9,9.8,1.3,1.0,0.7571107240775595,2542_3_1788975613.315
1,savE® OM50,15,healthy,4,39.5,4.6,1.0,0.7571107240775595,2542_3_1788975613.315
1,Paraffin/HDPE PCM6,15,healthy,6,26.0,4.9,1.0,0.7571107240775595,2542_3_1788975613.315
1,Paraffin/HDPE PCM2,15,healthy,5,30.9,6.0,1.0,0.7571107240775595,2542_3_1788975613.315
1,PlusICE A52,15,healthy,3,40.400000000000006,6.5,1.0,0.7571107240775595,2542_3_1788975613.315
1,n-Tetracosane (C24),15,healthy,2,43.8,8.6,1.0,0.7571107240775595,2542_3_1788975613.315
1,Palmitic-Stearic eutectic (64.2/35.8),15,healthy,1,94.8,71.1,1.0,0.7571107240775595,2542_3_1788975613.315
1,C22H46 (docosane-class paraffin),15,healthy,11,0.0,0.0,1.0,0.7571107240775595,2542_3_1788975613.315
2,savE® OM42,17,healthy,12,0.1,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,RT47,17,healthy,17,0.0,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,n-Docosane (C22),17,healthy,8,0.7000000000000001,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,Lauric acid (C12),17,healthy,15,0.0,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,RT45HC,17,healthy,9,1.4000000000000001,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,savE® OM46,17,healthy,16,0.1,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,n-Tricosane (C23),17,healthy,13,0.6,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,RT50,17,healthy,11,1.7999999999999998,0.1,1.0,0.8072457737860342,2542_3_1788975613.315
2,Paraffin/Expanded graphite (85.56% paraffin),17,healthy,13,0.7000000000000001,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
2,savE® OM49,17,healthy,7,6.4,1.0999999999999999,1.0,0.8072457737860342,2542_3_1788975613.315
2,Paraffin/HDPE PCM3,17,healthy,4,56.8,20.3,1.0,0.8072457737860342,2542_3_1788975613.315
2,PlusICE A50,17,healthy,6,21.099999999999998,3.3000000000000003,1.0,0.8072457737860342,2542_3_1788975613.315
2,savE® OM50,17,healthy,2,78.4,37.8,1.0,0.8072457737860342,2542_3_1788975613.315
2,Paraffin/HDPE PCM6,17,healthy,3,55.1,19.400000000000002,1.0,0.8072457737860342,2542_3_1788975613.315
2,Paraffin/HDPE PCM2,17,healthy,1,58.699999999999996,20.8,1.0,0.8072457737860342,2542_3_1788975613.315
2,savE® OM48,17,healthy,5,28.799999999999997,3.8,1.0,0.8072457737860342,2542_3_1788975613.315
2,C22H46 (docosane-class paraffin),17,healthy,10,0.2,0.0,1.0,0.8072457737860342,2542_3_1788975613.315
