feature,F_statistic,p_value,chosen_k_levelB
HSI_sunrise,17676.627580158543,0.0,8
T_sunrise_mean,15595.86428653821,0.0,8
daylength_mean,10094.188442484307,0.0,8
T_sunrise_p05,9734.462043905749,0.0,8
Ta_mean,9398.024940054547,0.0,8
T_noon_mean,8429.34829584262,0.0,8
kt_noon_mean,5621.511593198752,0.0,8
Ta_p95,5276.4571698885775,0.0,8
GHI_sunset_mean,4675.211728158493,0.0,8
daylength_amplitude,4280.59551992128,0.0,8
Ta_p05,4252.851660442729,0.0,8
T_sunset_mean,3743.805371007065,0.0,8
diurnal_gradient,3389.8789910903647,0.0,8
GHI_noon_mean,3093.079700247731,0.0,8
T_sunset_p95,2421.8588891522963,0.0,8
kt_noon_std,1877.712397866089,0.0,8
RH_sunrise_mean,1695.5995323883453,0.0,8
wind_noon_mean,382.379360498499,1.51634724940962e-307,8
wind_sunset_mean,188.92527290722938,7.553682379180902e-192,8
