hour,draw_fraction,draw_volume_L,draw_mass_kg,cumulative_fraction
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.5,50.0,50.0,0.5
8,0.0,0.0,0.0,0.5
9,0.0,0.0,0.0,0.5
10,0.0,0.0,0.0,0.5
11,0.0,0.0,0.0,0.5
12,0.0,0.0,0.0,0.5
13,0.0,0.0,0.0,0.5
14,0.0,0.0,0.0,0.5
15,0.0,0.0,0.0,0.5
16,0.0,0.0,0.0,0.5
17,0.0,0.0,0.0,0.5
18,0.0,0.0,0.0,0.5
19,0.5,50.0,50.0,1.0
20,0.0,0.0,0.0,1.0
21,0.0,0.0,0.0,1.0
22,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,1.0
