name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_status,flammability,supercooling_K,n_properties_imputed,any_property_imputed,rho_H_MJ_m3,Cp_avg_kJ_kgK,pcm_id,manufacturer,source_type,Tm_C_status,Tm_freezing_C_status,latent_heat_status,density_liquid_status,density_solid_status,Cp_liquid_status,Cp_solid_status,TC_liquid_W_mK,TC_solid_W_mK,TC_status,supercooling_status,supercooling_is_derived,flammability_status,is_inorganic,data_source_detail,rho_H_status,rho_H_is_derived,Cp_avg_status,Cp_avg_is_derived
RT42,Organic (RT-line),Organic (RT-line),40.5,40.0,165.0,760.0,880.0,2.0,2.0,0.1785,1564.0,Imputed,Yes,0.5,4,True,145.2,2.0,1,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.15,0.207,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
RT44HC,Organic (RT-line),Organic (RT-line),42.5,42.5,250.0,750.0,800.0,2.0,2.0,0.24,1216.0,Imputed,No,0.0,4,True,200.0,2.0,2,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.174,0.306,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Myristic-Palmitic eutectic (58/42),Eutectic,Organic eutectic,42.6,,169.7,,,,,,,Missing,Unknown,,0,False,,,3,Singh2025_Table2,Literature,Reported,Missing,Reported,Missing,Missing,Missing,Missing,,,Missing,Missing,False,Missing,False,Singh2025_Table2_Literature,Missing,False,Missing,False
savE® OM42,Pluss savE,Organic,44.0,43.0,199.0,863.0,903.0,2.78,2.71,0.145,2000.0,Reported,Yes,1.0,1,True,179.697,2.745,4,Pluss Advanced Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.1,0.19,Reported,Reported,True,Reported,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
n-Docosane (C22),Organic n-alkane,Organic n-alkane,44.5,44.3,249.0,880.0,880.0,2.06,2.0,0.24,1440.0,Imputed,No,0.2,7,True,219.12,2.03,5,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Imputed,Imputed,0.173,0.307,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
RT47,Organic (RT-line),Organic (RT-line),44.5,44.5,160.0,770.0,880.0,2.0,2.0,0.178,1665.0,Imputed,No,0.0,4,True,140.8,2.0,6,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.15,0.206,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Lauric acid (C12),Organic fatty acid,Organic fatty acid,44.8,44.8,184.0,870.0,960.0,1.6,2.0,0.1639999999999999,2000.0,Imputed,Yes,0.0,7,True,176.64,1.8,7,Literature,Literature,Reported,Imputed,Reported,Reported,Imputed,Reported,Imputed,0.147,0.181,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
RT45HC,Organic (RT-line),Organic (RT-line),45.0,45.0,240.0,770.0,880.0,2.0,2.0,0.24,1216.0,Imputed,No,0.0,4,True,211.2,2.0,8,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.174,0.306,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
savE® OM46,Pluss savE,Organic,47.0,45.0,177.0,880.0,917.0,2.7,2.5,0.15,2000.0,Reported,No,2.0,1,True,162.309,2.6,9,Pluss Advanced Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.1,0.2,Reported,Reported,True,Reported,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
n-Tricosane (C23),Organic n-alkane,Organic n-alkane,47.5,44.9,232.0,780.0,797.0,2.39,2.06,0.239,1216.0,Imputed,No,2.6,10,True,184.904,2.225,10,Literature,Literature,Reported,Imputed,Reported,Imputed,Imputed,Imputed,Imputed,0.171,0.307,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
RT50,Organic (RT-line),Organic (RT-line),48.0,48.5,160.0,770.0,880.0,2.0,2.0,0.177,1675.0,Imputed,Yes,0.0,4,True,140.8,2.0,11,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.146,0.208,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Paraffin/Expanded graphite (85.56% paraffin),Organic/composite blend,Organic/composite blend,48.8,46.6,161.0,869.0,937.0,2.01,2.0,0.166,2000.0,Imputed,Yes,2.2,10,True,150.857,2.005,12,Literature,Literature,Reported,Imputed,Reported,Imputed,Imputed,Imputed,Imputed,0.139,0.193,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
savE® OM49,Pluss savE,Organic,49.0,45.5,224.0,780.0,816.0,2.4,2.1,0.3,1200.0,Reported,No,3.5,1,True,182.784,2.25,13,Pluss Advanced Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.27,0.33,Reported,Reported,True,Reported,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Paraffin/HDPE PCM3,Organic blend,Organic blend,49.9,50.0,187.0,851.0,952.0,2.19,2.02,0.174,2000.0,Imputed,Yes,0.0,11,True,178.024,2.105,14,Literature,Literature,Reported,Imputed,Imputed,Imputed,Imputed,Imputed,Imputed,0.143,0.205,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
savE® OM50,Pluss savE,Organic,50.0,50.0,189.0,859.0,961.0,2.78,3.33,0.175,2000.0,Reported,Yes,0.0,1,True,181.629,3.055,15,Pluss Advanced Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.14,0.21,Reported,Reported,True,Reported,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
