point_id,lat,lon,population,weight
ASP_0001,26.125,91.625,724848.9,0.0630554840125333
ASP_0002,26.125,91.875,611850.9,0.0532256510881152
ASP_0003,26.375,91.625,303879.7,0.0264348632729985
ASP_0004,26.375,91.875,285601.8,0.0248448466071352
ASP_0005,25.875,91.625,252432.3,0.0219593916151311
ASP_0006,26.375,92.625,192574.3,0.0167522716732753
ASP_0007,26.125,91.375,184548.3,0.0160540802092549
ASP_0008,24.875,92.875,183572.0,0.015969150689404
ASP_0009,26.125,92.125,172260.0,0.0149851061041811
ASP_0010,24.875,92.625,148006.8,0.0128752908518536
ASP_0011,26.375,91.375,143391.5,0.0124738003131179
ASP_0012,26.375,92.125,140778.8,0.0122465183746621
ASP_0013,27.375,94.875,139705.2,0.0121531246099259
ASP_0014,26.625,92.875,136575.1,0.0118808334186064
ASP_0015,25.875,91.375,131879.9,0.0114723922820666
ASP_0016,26.375,90.625,119931.8,0.0104330125871672
ASP_0017,26.875,94.125,119796.1,0.0104212078797578
ASP_0018,26.625,92.625,118697.3,0.0103256219364903
ASP_0019,26.375,92.875,118273.3,0.0102887376627867
ASP_0020,26.625,91.625,115037.8,0.0100072775977683
ASP_0021,26.625,91.875,114671.5,0.009975412716972
ASP_0022,24.875,92.375,113857.6,0.0099046105698793
ASP_0023,26.125,90.625,113691.3,0.009890143931396
ASP_0024,27.125,94.125,113131.8,0.0098414723485254
ASP_0025,27.375,95.375,111928.2,0.0097367697262858
ASP_0026,26.625,94.125,108522.4,0.0094404950579379
ASP_0027,26.375,92.375,105986.1,0.0092198592480457
ASP_0028,27.625,94.875,105129.8,0.0091453686735826
ASP_0029,26.125,92.625,102711.0,0.0089349543310492
ASP_0030,27.625,95.375,102422.9,0.0089098921629974
ASP_0031,26.125,92.375,101436.8,0.0088241101292732
ASP_0032,27.375,95.125,98520.7,0.0085704350572286
ASP_0033,26.625,90.625,98235.9,0.0085456599601749
ASP_0034,26.875,94.375,97513.5,0.0084828175089403
ASP_0035,25.875,93.375,94791.0,0.0082459839354547
ASP_0036,24.625,92.875,94239.9,0.0081980430787612
ASP_0037,26.625,92.125,90923.8,0.0079095715220907
ASP_0038,26.125,91.125,89940.5,0.0078240330637588
ASP_0039,24.625,92.625,89046.0,0.007746219425014
ASP_0040,27.625,95.125,88243.9,0.0076764437742177
ASP_0041,27.375,94.125,88004.5,0.0076556180781691
ASP_0042,26.625,91.375,86847.9,0.007555004042873
ASP_0043,26.875,94.625,86743.7,0.0075459395586279
ASP_0044,26.625,94.375,83691.8,0.0072804510800528
ASP_0045,26.375,91.125,83478.9,0.0072619306511106
ASP_0046,27.125,94.625,83426.2,0.0072573462142612
ASP_0047,26.625,92.375,83247.7,0.0072418182829968
ASP_0048,25.875,92.375,82431.1,0.0071707812596329
ASP_0049,26.375,90.375,80095.1,0.0069675697894171
ASP_0050,26.125,92.875,80029.7,0.0069618805641808
ASP_0051,25.125,92.625,78327.6,0.006813812822976
ASP_0052,26.125,89.875,77824.3,0.0067700301461954
ASP_0053,27.125,94.375,77386.7,0.0067319627920146
ASP_0054,26.375,90.875,77354.8,0.0067291877723656
ASP_0055,25.875,91.125,77208.8,0.0067164870554771
ASP_0056,26.125,90.875,76527.5,0.0066572199430379
ASP_0057,25.125,92.875,76331.7,0.0066401870638135
ASP_0058,26.125,90.125,74572.7,0.0064871695226707
ASP_0059,27.375,94.625,70339.1,0.0061188835293893
ASP_0060,26.625,90.375,68939.1,0.0059970958331983
ASP_0061,27.125,94.875,68663.8,0.0059731471526545
ASP_0062,26.125,90.375,67682.7,0.0058878000749881
ASP_0063,26.875,92.875,67557.1,0.0058768739788156
ASP_0064,26.875,92.625,67394.0,0.0058626857122093
ASP_0065,25.875,92.625,67052.1,0.0058329434169752
ASP_0066,25.875,89.875,66194.1,0.0057583049574525
ASP_0067,26.625,91.125,65693.5,0.0057147571569431
ASP_0068,26.875,91.875,65182.4,0.0056702959487122
ASP_0069,27.125,93.875,64527.0,0.0056132819086526
ASP_0070,26.625,90.875,64015.3,0.0055687685056948
ASP_0071,24.625,92.375,62657.3,0.0054506344403895
ASP_0072,27.375,94.375,62051.5,0.0053979351644235
ASP_0073,26.375,93.125,62000.3,0.0053934812143913
ASP_0074,26.875,93.875,61257.1,0.0053288293459563
