# SYSTEM DESIGN CONSTANTS
Parameter,Value,Type
Target Hot-Water Delivery Temperature,50.0 °C,Design constant
Heat-Exchanger Approach Temperature,6.0 K,Design constant
Target PCM Melting Temperature (Tm_target),44.0 °C,Design constant
Total Daily Domestic Hot-Water Demand,100.0 L/day (~100.0 kg/day),Design constant
Morning Hot-Water Draw (07:00 IST),50.0 L,Design constant
Evening Hot-Water Draw (19:00 IST),50.0 L,Design constant
Assumed Tank PCM Mass,50.0 kg,Design constant
Water Specific Heat Capacity,4186.0 J/(kg·K),Physical constant

# CLUSTER-WISE CLIMATE-DEPENDENT REQUIREMENTS
Cluster,Grid_Points_Count,T_mains_est_degC,Q_required_kWh_day,Required_PCM_energy_kJ_kg_for_50kg,Type
0,33,19.89,3.501,252.09,Climate-dependent
1,61,19.1,3.593,258.69,Climate-dependent
2,35,16.59,3.885,279.7,Climate-dependent
