point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id,GHI_daily_kWh,GHIcs_daily_kWh,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms
RJP_0132,2016-01-01,24,4375.27,4449.91,0.9832266270553788,11.53,30.67,19.72125,32.59708333333334,2.5016666666666665,0,4.37527,4.44991,19.72125,30.67,11.53,19.14,32.59708333333334,2.5016666666666665
RJP_0132,2016-01-02,24,4017.03,4086.38,0.983028988982914,11.38,28.92,18.865,29.951666666666668,2.462916666666666,0,4.01703,4.08638,18.865,28.92,11.38,17.54,29.951666666666668,2.462916666666666
RJP_0132,2016-01-03,24,3960.72,4130.25,0.9589540584710368,11.56,28.98,18.977500000000003,28.012500000000003,2.170833333333334,0,3.96072,4.13025,18.977500000000003,28.98,11.56,17.42,28.012500000000003,2.170833333333334
RJP_0132,2016-01-04,24,4282.22,4322.879999999999,0.9905942334739806,12.95,29.67,20.687083333333337,23.98166666666667,1.711666666666667,0,4.282220000000001,4.32288,20.687083333333337,29.67,12.95,16.720000000000002,23.98166666666667,1.711666666666667
RJP_0132,2016-01-05,24,4369.530000000001,4410.04,0.9908141422753536,13.69,30.11,20.49416666666667,30.60666666666667,2.2245833333333334,0,4.369530000000001,4.41004,20.49416666666667,30.11,13.69,16.42,30.60666666666667,2.2245833333333334
RJP_0132,2016-01-06,24,4324.02,4408.3,0.9808815189528844,13.29,29.02,19.882916666666667,37.111250000000005,3.078333333333333,0,4.324020000000001,4.4083000000000006,19.882916666666667,29.02,13.29,15.73,37.111250000000005,3.078333333333333
RJP_0132,2016-01-07,24,3954.13,4338.84,0.9113334439619806,13.1,29.5,20.902083333333334,37.59625,2.59875,0,3.95413,4.33884,20.902083333333334,29.5,13.1,16.4,37.59625,2.59875
RJP_0132,2016-01-08,24,4321.290000000001,4395.09,0.983208534978806,11.3,28.48,19.22375,37.62083333333333,3.165,0,4.321290000000001,4.39509,19.22375,28.48,11.3,17.18,37.62083333333333,3.165
RJP_0132,2016-01-09,24,4393.87,4477.73,0.9812717604679158,10.18,27.74,18.37833333333333,25.024583333333336,2.129166666666667,0,4.39387,4.477729999999999,18.37833333333333,27.74,10.18,17.56,25.024583333333336,2.129166666666667
RJP_0132,2016-01-10,24,4466.17,4600.5,0.9708009998913162,12.13,28.65,19.78333333333333,20.570833333333336,1.5945833333333332,0,4.46617,4.6005,19.78333333333333,28.65,12.13,16.519999999999996,20.570833333333336,1.5945833333333332
RJP_0132,2016-01-11,24,4322.64,4459.5,0.9693104608139926,11.49,28.59,18.96,22.34958333333334,2.18125,0,4.322640000000001,4.4595,18.96,28.59,11.49,17.1,22.34958333333334,2.18125
RJP_0132,2016-01-12,24,4025.06,4132.6,0.9739776411944052,11.65,27.79,18.566666666666663,32.9575,3.0966666666666662,0,4.02506,4.1326,18.566666666666663,27.79,11.65,16.14,32.9575,3.0966666666666662
RJP_0132,2016-01-13,24,4086.15,4241.24,0.9634328639737436,9.61,27.64,18.362916666666667,35.080000000000005,2.4779166666666668,0,4.08615,4.2412399999999995,18.362916666666667,27.64,9.61,18.03,35.080000000000005,2.4779166666666668
RJP_0132,2016-01-14,24,4066.28,4128.92,0.984828962537419,8.83,26.98,17.83875,31.366666666666664,2.39875,0,4.06628,4.12892,17.83875,26.98,8.83,18.15,31.366666666666664,2.39875
RJP_0132,2016-01-15,24,3825.68,3854.81,0.9924432073176108,9.57,26.59,17.12875,37.592083333333335,2.9416666666666664,0,3.8256799999999997,3.85481,17.12875,26.59,9.57,17.02,37.592083333333335,2.9416666666666664
RJP_0132,2016-01-16,24,3614.44,3710.6,0.9740850536301408,9.16,26.12,16.804166666666667,32.67541666666667,2.80125,0,3.61444,3.7106,16.804166666666667,26.12,9.16,16.96,32.67541666666667,2.80125
RJP_0132,2016-01-17,24,3331.3500000000004,3364.19,0.9902383634693644,10.2,26.4,18.1825,36.81541666666666,2.910833333333334,0,3.3313500000000005,3.3641900000000002,18.1825,26.4,10.2,16.2,36.81541666666666,2.910833333333334
RJP_0132,2016-01-18,24,2313.84,3260.87,0.709577505389666,11.82,25.95,19.019166666666667,49.7325,2.3966666666666665,0,2.3138400000000003,3.2608699999999997,19.019166666666667,25.95,11.82,14.129999999999999,49.7325,2.3966666666666665
RJP_0132,2016-01-19,24,2528.64,2999.64,0.8429811577389287,9.76,22.65,15.955416666666666,63.74583333333334,2.9141666666666666,0,2.5286399999999998,2.99964,15.955416666666666,22.65,9.76,12.889999999999999,63.74583333333334,2.9141666666666666
RJP_0132,2016-01-20,24,3938.35,4151.83,0.9485817097520852,8.12,23.42,15.140416666666669,34.475833333333334,1.9491666666666667,0,3.93835,4.15183,15.140416666666669,23.42,8.12,15.300000000000002,34.475833333333334,1.9491666666666667
RJP_0132,2016-01-21,24,4533.37,4689.59,0.9666879194129976,7.41,24.34,14.902083333333332,20.41916666666667,1.6570833333333332,0,4.53337,4.68959,14.902083333333332,24.34,7.41,16.93,20.41916666666667,1.6570833333333332
RJP_0132,2016-01-22,24,4915.93,5081.719999999999,0.9673752194138994,6.78,25.25,15.240833333333333,19.719166666666663,2.0795833333333333,0,4.91593,5.081719999999999,15.240833333333333,25.25,6.78,18.47,19.719166666666663,2.0795833333333333
RJP_0132,2016-01-23,24,5046.01,5228.09,0.9651727495127284,7.06,26.37,16.925416666666667,18.12333333333333,1.6683333333333332,0,5.04601,5.22809,16.925416666666667,26.37,7.06,19.310000000000002,18.12333333333333,1.6683333333333332
RJP_0132,2016-01-24,24,4963.56,5164.599999999999,0.9610734616427216,8.01,27.41,16.71875,17.570416666666667,2.38125,0,4.96356,5.164599999999999,16.71875,27.41,8.01,19.4,17.570416666666667,2.38125
RJP_0132,2016-01-25,24,4919.47,5144.799999999999,0.9562023791012286,7.14,28.54,18.4075,14.975416666666668,1.768333333333333,0,4.9194700000000005,5.144799999999999,18.4075,28.54,7.14,21.4,14.975416666666668,1.768333333333333
RJP_0132,2016-01-26,24,4891.03,5064.11,0.9658222274002736,9.76,29.66,18.29958333333333,18.204583333333336,2.7575000000000003,0,4.89103,5.0641099999999994,18.29958333333333,29.66,9.76,19.9,18.204583333333336,2.7575000000000003
RJP_0132,2016-01-27,24,4727.9400000000005,4884.57,0.9679337178093468,10.38,29.44,19.1475,28.35208333333333,2.959166666666667,0,4.72794,4.88457,19.1475,29.44,10.38,19.060000000000002,28.35208333333333,2.959166666666667
RJP_0132,2016-01-28,24,4755.18,4840.02,0.9824711468134428,11.92,30.02,21.6875,30.76333333333333,1.5549999999999995,0,4.75518,4.840020000000001,21.6875,30.02,11.92,18.1,30.76333333333333,1.5549999999999995
RJP_0132,2016-01-29,24,4757.68,4876.2,0.9756941880972888,13.25,31.98,21.879583333333333,34.725,3.2758333333333334,0,4.757680000000001,4.8762,21.879583333333333,31.98,13.25,18.73,34.725,3.2758333333333334
RJP_0132,2016-01-30,24,4903.91,5002.53,0.9802859752965,14.17,31.78,21.719583333333333,39.04375,3.426666666666667,0,4.90391,5.00253,21.719583333333333,31.78,14.17,17.61,39.04375,3.426666666666667
RJP_0132,2016-01-31,24,4960.92,5065.75,0.9793061244633076,13.52,31.21,21.517916666666668,41.68708333333333,2.736666666666667,0,4.96092,5.06575,21.517916666666668,31.21,13.52,17.69,41.68708333333333,2.736666666666667
RJP_0132,2016-02-01,24,5002.1900000000005,5079.67,0.9847470406542158,12.65,29.62,20.3075,39.51541666666667,2.7870833333333334,0,5.002190000000001,5.07967,20.3075,29.62,12.65,16.97,39.51541666666667,2.7870833333333334
RJP_0132,2016-02-02,24,4708.99,4802.53,0.9805227661253548,11.65,27.99,18.812916666666663,37.90416666666667,2.625833333333333,0,4.70899,4.80253,18.812916666666663,27.99,11.65,16.339999999999996,37.90416666666667,2.625833333333333
RJP_0132,2016-02-03,24,5124.35,5324.68,0.9623770818152452,9.0,27.43,17.197083333333335,22.045,3.2320833333333336,0,5.124350000000001,5.32468,17.197083333333335,27.43,9.0,18.43,22.045,3.2320833333333336
RJP_0132,2016-02-04,24,5384.2,5585.530000000001,0.9639550767787478,8.35,28.34,17.318749999999998,16.590416666666666,2.928333333333333,0,5.3842,5.58553,17.318749999999998,28.34,8.35,19.990000000000002,16.590416666666666,2.928333333333333
RJP_0132,2016-02-05,24,5263.25,5456.58,0.9645693822870736,9.04,29.68,18.898750000000003,17.136666666666667,2.44,0,5.26325,5.45658,18.898750000000003,29.68,9.04,20.64,17.136666666666667,2.44
RJP_0132,2016-02-06,24,4882.860000000001,4959.73,0.984501172442855,10.28,30.0,19.0125,19.737916666666667,3.965416666666668,0,4.882860000000001,4.9597299999999995,19.0125,30.0,10.28,19.72,19.737916666666667,3.965416666666668
