target,model,MAE,RMSE,R2,max_abs_error,n_holdout,accuracy,infeasible_recall
useful_energy_kWh,ExtraTrees,0.6974126697923251,1.0107244009953837,0.997748525889611,2.268315613861205,18,,
useful_energy_kWh,LinearRegression,0.7111786836947418,0.9174583170611453,0.9981448708899345,,18,,
solar_fraction,ExtraTrees,0.000347961013553191,0.0004906353824846711,0.9998688271493195,0.0013070573142582864,18,,
solar_fraction,LinearRegression,0.000599847273856196,0.0007896251269660767,0.999660243207932,,18,,
unmet_energy_kWh,ExtraTrees,0.4034169078683918,0.5964848297265677,0.9999345986074615,1.6091331241399303,18,,
unmet_energy_kWh,LinearRegression,0.6026610468925355,0.7924308129596199,0.9998845720723577,,18,,
pump_energy_kWh,ExtraTrees,2.272836600645703e-09,2.794197105158787e-09,0.8818559170361684,7.913631266427995e-09,18,,
pump_energy_kWh,LinearRegression,4.017469939998009e-09,6.375446860955308e-09,0.3849376270573506,,18,,
pcm_mass_kg,ExtraTrees,0.03985027690748378,0.06394092081461016,0.997953064560741,0.1663647911411289,18,,
pcm_mass_kg,LinearRegression,0.029530394512518994,0.034245083691711156,0.9994128584209898,,18,,
mean_f_melt,ExtraTrees,0.001060239066399173,0.0012865995409164358,0.9982304917162406,0.0022704058300948918,18,,
mean_f_melt,LinearRegression,0.0038511963441078775,0.004631429035563831,0.9770704335123841,,18,,
feasibility,ExtraTreesClassifier,,,,,27,1.0,1.0
