k,BIC,AIC,silhouette,davies_bouldin,calinski_harabasz,bootstrap_ari_mean,bootstrap_effective_n_resamples,bootstrap_n_failed_resamples,kmeans_silhouette,in_silhouette_band
2,22442.238371908417,21910.905111501495,0.3129294810105565,1.3435939773324739,151.9602147837686,0.6280215856403002,50,0,0.30920744032881037,True
3,19368.146883949208,18569.26283284093,0.2887020359493286,1.263327443645373,156.6309376319985,0.8076827077818228,50,0,0.3053613152661194,True
4,17490.024234424996,16423.58939261536,0.25734303104812717,1.2745767874942662,141.78621662653282,0.6157930295075051,50,0,0.2640734984891799,True
5,15938.126933580968,14604.141301069973,0.28151923164210374,1.213138795173231,125.81688129088515,0.5540321088203222,50,0,0.2896288206936942,True
6,14043.472463892835,12441.936040680483,0.2689064591642232,1.1348962789410033,117.05967801177417,0.536965876038521,50,0,0.30244334044864757,True
7,12494.66337327702,10625.57615936331,0.2719639772281316,1.1644650266811962,128.13133209524284,0.6423375115831658,50,0,0.3058487424711628,True
8,11849.512173281582,9712.874168666514,0.3002420017046662,1.0933297342144934,131.35120530206328,0.6776656919143937,50,0,0.3075203996198218,True
9,9624.203177354457,7220.014382038031,0.2313644056549114,1.2453416962972104,108.14881657981289,0.5055691269413649,50,0,0.3048403460904132,True
10,8507.227758009316,5835.488171991531,0.2881225208312791,1.0905647280493034,120.01206872435533,0.7068227187925251,50,0,0.29520971670118457,True
11,6694.438659209371,3755.1482824902287,0.2728475963702241,1.1140721968902367,116.92955020795686,0.6425850768299551,50,0,0.30222811365275976,True
12,5150.9108653577205,1944.06969793722,0.2585716847249021,1.2215715830380576,109.15699206121391,0.623870884018888,50,0,0.29448319871138373,True
