point_id,lat,lon,population,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
RJP_0001,26.875,75.875,2742833.876691699,2,0.9999999999999964,3,0.8076827077818228,50,4.520077123528421e-15,1.3439336095082052e-29,0.9999999999999964
RJP_0002,26.875,75.625,1321002.166765213,2,0.9999999999999929,3,0.8076827077818228,50,5.3650388814227646e-15,9.986076978954736e-29,0.9999999999999929
RJP_0003,25.125,75.875,1184473.7975344956,0,1.0,3,0.8076827077818228,50,1.0,4.7226647377875375e-43,4.625940918838317e-19
RJP_0004,26.375,73.125,765090.6806398034,1,1.0,3,0.8076827077818228,50,1.0039860269055891e-50,1.0,2.7120388870338147e-24
RJP_0005,26.375,74.625,703935.1239979863,2,0.9999999968989322,3,0.8076827077818228,50,3.743342195868896e-16,3.101066862526682e-09,0.9999999968989322
RJP_0006,24.625,73.625,701123.3191981912,0,1.0,3,0.8076827077818228,50,1.0,3.748898195578956e-83,1.0517884310665619e-38
RJP_0007,27.625,76.625,670955.2634944618,2,1.0,3,0.8076827077818228,50,2.610295333312618e-39,2.2723815865249973e-38,1.0
RJP_0008,28.125,73.375,657708.8739934117,1,1.0,3,0.8076827077818228,50,1.8229727971794948e-106,1.0,5.329633826349069e-56
RJP_0009,25.375,74.625,556660.7704209685,0,0.9999999498424129,3,0.8076827077818228,50,0.9999999498424129,2.7079837194165136e-33,5.0157587613793024e-08
RJP_0010,26.875,76.625,491123.77503216267,2,0.9999999999999822,3,0.8076827077818228,50,1.7545638845151515e-14,3.6416880424139666e-35,0.9999999999999822
RJP_0011,27.125,77.375,474688.5578681231,2,1.0,3,0.8076827077818228,50,1.3550699897990533e-42,2.7207253500504535e-42,1.0
RJP_0012,27.625,75.125,473220.9202796221,2,0.9999999999541771,3,0.8076827077818228,50,1.0367400310201592e-26,4.58239727474396e-11,0.9999999999541771
RJP_0013,27.625,76.125,463242.7318748832,2,1.0,3,0.8076827077818228,50,2.217943567437708e-37,2.557404729618913e-35,1.0
RJP_0014,27.125,75.875,461256.095228076,2,1.0,3,0.8076827077818228,50,8.742496786841462e-24,1.4409847432745008e-26,1.0
RJP_0015,27.125,76.625,455782.20474520326,2,1.0,3,0.8076827077818228,50,8.391575144170692e-31,3.276738140800777e-39,1.0
RJP_0016,23.625,74.125,455467.8696575165,0,1.0,3,0.8076827077818228,50,1.0,2.582584861002329e-118,1.42893725932133e-77
RJP_0017,23.375,74.375,446141.2500662804,0,1.0,3,0.8076827077818228,50,1.0,2.453073464771665e-122,6.501986750107395e-82
RJP_0018,27.125,75.625,442390.8795146942,2,1.0,3,0.8076827077818228,50,3.358410888908838e-24,3.312257971686173e-24,1.0
RJP_0019,26.875,76.375,438017.5918968916,2,1.0,3,0.8076827077818228,50,8.100388948046997e-16,2.9411970802358696e-35,1.0
RJP_0020,26.125,74.375,435141.01568478346,2,0.999999971140515,3,0.8076827077818228,50,1.2019976229939267e-14,2.8859474362520873e-08,0.999999971140515
RJP_0021,28.125,76.875,422225.856395781,2,1.0,3,0.8076827077818228,50,2.77664793203563e-57,8.115005647235248e-39,1.0
RJP_0022,27.875,76.375,421737.7472658157,2,1.0,3,0.8076827077818228,50,3.874467936711588e-44,5.196829474885533e-36,1.0
RJP_0023,27.625,77.125,409875.52309674025,2,1.0,3,0.8076827077818228,50,4.695296221767781e-44,4.925418348007974e-43,1.0
RJP_0024,26.625,74.875,398900.5337185264,2,0.9999999999060734,3,0.8076827077818228,50,6.032247326569049e-18,9.392596411314862e-11,0.9999999999060734
RJP_0025,27.375,75.875,388324.2154954672,2,1.0,3,0.8076827077818228,50,1.9172624574377302e-25,2.9268689750525625e-27,1.0
RJP_0026,27.375,77.125,386566.85621380806,2,1.0,3,0.8076827077818228,50,2.467842907992737e-42,3.5971017757097763e-42,1.0
RJP_0027,26.875,77.875,383851.6025726795,2,1.0,3,0.8076827077818228,50,5.187327171678821e-22,1.775293380475867e-39,1.0
RJP_0028,23.625,74.375,382106.88644075394,0,1.0,3,0.8076827077818228,50,1.0,3.604907128420127e-119,1.11070672679643e-78
RJP_0029,27.125,77.125,377731.64031112194,2,1.0,3,0.8076827077818228,50,2.1310201745841897e-40,6.686415646779388e-41,1.0
RJP_0030,26.125,73.125,376786.1268905252,1,1.0,3,0.8076827077818228,50,5.446500959048385e-46,1.0,1.1842096819431498e-23
RJP_0031,27.875,76.625,374308.9735670686,2,1.0,3,0.8076827077818228,50,9.55516526351388e-44,8.826130369541896e-38,1.0
RJP_0032,26.625,76.875,372735.6868137717,2,1.0,3,0.8076827077818228,50,3.299829177783712e-16,2.074196980310193e-36,1.0
RJP_0033,29.875,73.875,366981.5729411245,2,1.0,3,0.8076827077818228,50,3.929372889249036e-81,9.470181387540914e-20,1.0
RJP_0034,29.625,74.375,364302.2188515067,2,1.0,3,0.8076827077818228,50,3.1859644810065585e-77,1.0496396901334687e-27,1.0
RJP_0035,23.625,73.875,362251.59481680393,0,1.0,3,0.8076827077818228,50,1.0,4.2064562452832767e-78,2.4991194355010354e-47
RJP_0036,27.375,76.875,359881.0615261793,2,1.0,3,0.8076827077818228,50,6.802284195522278e-36,3.563133091778078e-39,1.0
RJP_0037,26.875,77.125,356995.65363645554,2,1.0,3,0.8076827077818228,50,9.841116453475521e-20,1.4801939816846502e-37,1.0
RJP_0038,26.375,72.875,356387.3596659601,1,1.0,3,0.8076827077818228,50,5.462405389849667e-94,1.0,1.173988761491999e-44
RJP_0039,27.125,76.875,351152.97289443016,2,1.0,3,0.8076827077818228,50,3.360531977595638e-33,3.1658252161302056e-37,1.0
RJP_0040,26.625,77.125,350523.20013064146,2,1.0,3,0.8076827077818228,50,1.2589529494670572e-17,7.377956419799392e-38,1.0
RJP_0041,24.875,74.625,348176.0788972974,0,1.0,3,0.8076827077818228,50,1.0,4.803747701142139e-62,9.537071667883011e-23
RJP_0042,23.875,74.125,342884.25374019146,0,1.0,3,0.8076827077818228,50,1.0,2.088256669478409e-116,1.575873985715534e-76
RJP_0043,25.125,73.875,332687.63337373734,0,0.8338636209245774,3,0.8076827077818228,50,0.8338636209245774,5.196775670555597e-28,0.16613637907541948
RJP_0044,28.375,75.625,330821.5254701376,2,0.9972846530688653,3,0.8076827077818228,50,8.895886484766956e-47,0.0027153469311324975,0.9972846530688653
RJP_0045,23.375,74.125,329354.86923897266,0,1.0,3,0.8076827077818228,50,1.0,2.4956191884423275e-121,8.709994275072031e-80
RJP_0046,27.375,75.625,328853.0743364096,2,1.0,3,0.8076827077818228,50,2.4533978043506733e-25,4.463058637365545e-25,1.0
RJP_0047,27.875,75.375,326767.62616693974,2,0.9999999999993641,3,0.8076827077818228,50,1.9089543203549378e-31,6.369444514939229e-13,0.9999999999993641
RJP_0048,26.875,76.875,324430.9313597083,2,1.0,3,0.8076827077818228,50,4.0256393054111125e-17,4.971293502401097e-35,1.0
RJP_0049,27.875,73.375,323311.6623095572,1,1.0,3,0.8076827077818228,50,5.405278572632488e-104,1.0,1.916725433099223e-56
RJP_0050,24.625,73.875,319973.6179908514,0,1.0,3,0.8076827077818228,50,1.0,3.409665701490821e-67,7.276331023884639e-29
RJP_0051,27.375,77.375,317377.86096024513,2,1.0,3,0.8076827077818228,50,5.068020373966284e-46,2.0493231662010702e-45,1.0
RJP_0052,27.375,76.625,317296.92674696445,2,1.0,3,0.8076827077818228,50,1.8001457821763408e-35,3.0845856617946943e-41,1.0
RJP_0053,24.625,76.125,314299.2565076351,0,1.0,3,0.8076827077818228,50,1.0,8.746169405790957e-93,5.530210955948727e-53
RJP_0054,23.875,73.625,314095.24462109804,0,1.0,3,0.8076827077818228,50,1.0,1.42279308328971e-82,1.3078621711591186e-44
RJP_0055,26.625,76.375,312614.9599727988,2,0.9999999999999964,3,0.8076827077818228,50,2.566560217775979e-15,8.689224865810313e-34,0.9999999999999964
RJP_0056,26.375,76.625,309943.33269801736,2,0.9999999999999609,3,0.8076827077818228,50,3.8032618170224646e-14,1.781835481078664e-35,0.9999999999999609
