variable,season,event,n,MBE,RMSE,pearson_r
GHI,ALL,ALL,3506880,6.9353,83.3421,0.9727
GHI,Winter,ALL,866880,10.434,81.6849,0.967
GHI,Summer,ALL,883200,13.6738,73.971,0.9853
GHI,Monsoon,ALL,883200,-12.0776,95.789,0.9607
GHI,Retreat,ALL,873600,15.8728,80.334,0.972
GHI,ALL,sunrise,1168960,-45.5485,56.9488,0.7763
GHI,ALL,noon,1168960,10.9457,113.793,0.8102
GHI,ALL,sunset,1168960,55.4086,68.1593,0.5855
GHI,Winter,sunrise,288960,-72.8971,80.275,0.7357
GHI,Winter,noon,288960,38.1013,88.0545,0.8446
GHI,Winter,sunset,288960,66.0978,76.2862,0.602
GHI,Summer,sunrise,294400,-40.0472,52.3381,0.819
GHI,Summer,noon,294400,15.2569,86.1184,0.6991
GHI,Summer,sunset,294400,65.8118,79.1169,0.5904
GHI,Monsoon,sunrise,294400,-26.0412,35.0204,0.8334
GHI,Monsoon,noon,294400,-35.7801,159.158,0.7466
GHI,Monsoon,sunset,294400,25.5885,31.1276,0.6443
GHI,Retreat,sunrise,291200,-43.6935,51.1392,0.6999
GHI,Retreat,noon,291200,26.8798,105.7306,0.7297
GHI,Retreat,sunset,291200,64.432,74.6088,0.582
T_amb,ALL,ALL,3506880,0.4953,3.3639,0.9121
T_amb,Winter,ALL,866880,0.0189,3.8056,0.8268
T_amb,Summer,ALL,883200,0.5391,3.7627,0.8746
T_amb,Monsoon,ALL,883200,-0.0191,2.6086,0.8589
T_amb,Retreat,ALL,873600,1.4439,3.1403,0.8899
T_amb,ALL,sunrise,1168960,1.2387,2.2591,0.9661
T_amb,ALL,noon,1168960,-2.854,3.5441,0.9439
T_amb,ALL,sunset,1168960,3.1012,4.0353,0.9135
T_amb,Winter,sunrise,288960,0.0748,1.866,0.8424
T_amb,Winter,noon,288960,-3.9924,4.3506,0.9078
T_amb,Winter,sunset,288960,3.9744,4.5867,0.8313
T_amb,Summer,sunrise,294400,1.5798,2.494,0.9208
T_amb,Summer,noon,294400,-3.6509,3.9315,0.9522
T_amb,Summer,sunset,294400,3.6883,4.5604,0.8317
T_amb,Monsoon,sunrise,294400,1.3964,1.9893,0.8188
T_amb,Monsoon,noon,294400,-2.5907,3.3045,0.8868
T_amb,Monsoon,sunset,294400,1.137,2.3531,0.8571
T_amb,Retreat,sunrise,291200,1.8895,2.5968,0.9292
T_amb,Retreat,noon,291200,-1.1849,2.2301,0.8518
T_amb,Retreat,sunset,291200,3.6271,4.227,0.8231
RHum,ALL,ALL,3506880,7.6831,16.7794,0.8297
RHum,Winter,ALL,866880,17.9703,23.775,0.7322
RHum,Summer,ALL,883200,8.9149,13.7579,0.8172
RHum,Monsoon,ALL,883200,3.342,12.2607,0.8668
RHum,Retreat,ALL,873600,0.6186,15.0326,0.8064
RHum,ALL,sunrise,1168960,8.659,18.7975,0.7404
RHum,ALL,noon,1168960,14.0122,17.5929,0.8592
RHum,ALL,sunset,1168960,0.3782,13.483,0.8445
RHum,Winter,sunrise,288960,23.7698,28.7683,0.595
RHum,Winter,noon,288960,22.4421,24.8702,0.7197
RHum,Winter,sunset,288960,7.6991,15.7993,0.6445
RHum,Summer,sunrise,294400,11.4339,16.8727,0.7246
RHum,Summer,noon,294400,12.4085,13.9639,0.8358
RHum,Summer,sunset,294400,2.9024,9.3892,0.7395
RHum,Monsoon,sunrise,294400,-1.3166,8.5075,0.886
RHum,Monsoon,noon,294400,13.0676,15.793,0.8794
RHum,Monsoon,sunset,294400,-1.725,11.3658,0.8715
RHum,Retreat,sunrise,291200,0.9445,15.3687,0.6365
RHum,Retreat,noon,291200,8.2233,13.3941,0.8456
RHum,Retreat,sunset,291200,-7.312,16.1968,0.765
W_spd,ALL,ALL,3506880,-0.4425,1.2273,0.7117
W_spd,Winter,ALL,866880,-0.3913,1.0693,0.6158
W_spd,Summer,ALL,883200,-0.5565,1.3956,0.6459
W_spd,Monsoon,ALL,883200,-0.5963,1.4135,0.7354
W_spd,Retreat,ALL,873600,-0.2227,0.9608,0.6741
W_spd,ALL,sunrise,1168960,-0.5682,1.1921,0.7206
W_spd,ALL,noon,1168960,-0.625,1.4082,0.7576
W_spd,ALL,sunset,1168960,-0.1344,1.0559,0.5937
W_spd,Winter,sunrise,288960,-0.4878,1.0567,0.6206
W_spd,Winter,noon,288960,-0.4705,1.2786,0.6491
W_spd,Winter,sunset,288960,-0.2157,0.8238,0.546
W_spd,Summer,sunrise,294400,-0.5737,1.2979,0.6403
W_spd,Summer,noon,294400,-0.9462,1.6775,0.7248
W_spd,Summer,sunset,294400,-0.1497,1.1597,0.4588
W_spd,Monsoon,sunrise,294400,-0.8546,1.4185,0.7531
W_spd,Monsoon,noon,294400,-0.6922,1.5152,0.7541
W_spd,Monsoon,sunset,294400,-0.2421,1.2984,0.6378
W_spd,Retreat,sunrise,291200,-0.3526,0.9269,0.6549
W_spd,Retreat,noon,291200,-0.3858,1.0826,0.7478
W_spd,Retreat,sunset,291200,0.0705,0.8591,0.5298
