cluster_id,season,Ta_mean_season,L_required_season,top1,top2,top3,n_survivors_season,flips_from_annual
0,Winter,19.913244935400286,402.9454701012432,-,-,-,0,
0,Summer,31.595330408611833,256.2418407286526,RT45HC,Lauric acid (C12),n-Docosane (C22),6,True
0,Monsoon,29.905691699026335,277.46032364362725,RT45HC,n-Docosane (C22),savE® OM42,5,True
0,Retreat,26.87644090271881,315.5016551436572,RT45HC,n-Docosane (C22),n-Tricosane (C23),4,True
1,Winter,19.209923239097826,411.77778396340943,-,-,-,0,
1,Summer,31.75482281091363,254.23893514054663,savE® OM50,Paraffin/HDPE PCM3,Paraffin/HDPE PCM6,9,False
1,Monsoon,31.952894966508744,251.7515450105832,savE® OM50,Paraffin/HDPE PCM3,Paraffin/HDPE PCM6,9,False
1,Retreat,28.28198488941532,297.8508337587224,n-Tetracosane (C24),PlusICE A52,savE® OM49,4,True
2,Winter,17.27298553198511,436.1018476893309,-,-,-,0,
2,Summer,30.422464131819194,270.97069543261455,PlusICE A50,n-Tricosane (C23),savE® OM49,3,True
2,Monsoon,31.55053361876867,256.804398815503,savE® OM50,Paraffin/HDPE PCM3,Paraffin/HDPE PCM6,7,False
2,Retreat,26.862616496206712,315.6752620406361,n-Tricosane (C23),savE® OM49,-,2,True
