method_a,method_b,spearman_rho,kendall_tau,cluster_id
TOPSIS,PROMETHEE_II,0.7666666666666667,0.6666666666666666,0
TOPSIS,VIKOR,0.45,0.4444444444444444,0
TOPSIS,GRA,-0.5,-0.3888888888888889,0
PROMETHEE_II,VIKOR,0.48333333333333334,0.4444444444444444,0
PROMETHEE_II,GRA,-0.2333333333333333,-0.16666666666666666,0
VIKOR,GRA,0.13333333333333333,0.05555555555555555,0
TOPSIS,PROMETHEE_II,0.6607142857142856,0.5238095238095238,1
TOPSIS,VIKOR,0.8785714285714284,0.7333333333333334,1
TOPSIS,GRA,0.2821428571428571,0.29523809523809524,1
PROMETHEE_II,VIKOR,0.5392857142857141,0.40952380952380957,1
PROMETHEE_II,GRA,0.09285714285714285,0.04761904761904762,1
VIKOR,GRA,0.48214285714285704,0.37142857142857144,1
TOPSIS,PROMETHEE_II,0.7818627450980392,0.6176470588235293,2
TOPSIS,VIKOR,0.698529411764706,0.588235294117647,2
TOPSIS,GRA,0.11029411764705883,0.1176470588235294,2
PROMETHEE_II,VIKOR,0.5637254901960785,0.4411764705882352,2
PROMETHEE_II,GRA,0.21813725490196081,0.1764705882352941,2
VIKOR,GRA,0.49019607843137264,0.41176470588235287,2
