cluster_id,pcm_id,candidate_pool_status,n_survivors_in_cluster,TOPSIS_rank,PROMETHEE_II_rank,VIKOR_rank,GRA_rank,borda_score,copeland_score,kendalls_w_cluster,entropy_weight_dominant_criterion,entropy_weight_dominant_value,top3_at_lambda05,top3_at_lambda00,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,pcm_database_status,upstream_cluster_profile_fingerprint
0,savE® OM42,healthy,9,6,4,6,2,18.0,0,0.3875,supercooling,0.6381115766276892,False,True,25.8,2.7,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,RT47,healthy,9,4,7,7,9,9.0,-4,0.3875,supercooling,0.6381115766276892,False,False,1.7000000000000002,0.0,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,n-Docosane (C22),healthy,9,5,2,4,5,20.0,3,0.3875,supercooling,0.6381115766276892,False,False,54.300000000000004,13.200000000000001,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,Lauric acid (C12),healthy,9,3,5,5,3,20.0,1,0.3875,supercooling,0.6381115766276892,True,False,62.3,9.4,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,RT45HC,healthy,9,2,3,3,6,22.0,4,0.3875,supercooling,0.6381115766276892,True,False,60.8,20.8,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,savE® OM46,healthy,9,7,6,8,4,11.0,-4,0.3875,supercooling,0.6381115766276892,False,True,11.200000000000001,3.3000000000000003,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,n-Tricosane (C23),healthy,9,8,8,9,7,4.0,-7,0.3875,supercooling,0.6381115766276892,False,True,6.800000000000001,1.7000000000000002,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,RT50,healthy,9,1,1,1,8,25.0,8,0.3875,supercooling,0.6381115766276892,True,False,90.8,61.6,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
0,C22H46 (docosane-class paraffin),healthy,9,9,9,2,1,15.0,-1,0.3875,supercooling,0.6381115766276892,False,False,4.9,0.6,0.999,0.7411902519178084,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
1,savE® OM42,healthy,15,12,9,12,3,24.0,-6,0.6169642857142857,supercooling,0.48133471039214915,False,False,2.1999999999999997,0.1,1.0,0.6960483723314628,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2542_3_1788852715.534
