cluster_id,pcm_id,n_survivors_in_cluster,candidate_pool_status,consensus_rank,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,upstream_cluster_profile_fingerprint
0,Myristic acid/NBR-1.0,4,undersized,4,28.1,0.2,0.862,0.871730664619484,2557_3_1789381466.393
0,Myristic acid/NBR-0.5,4,undersized,3,85.8,2.8000000000000003,0.862,0.871730664619484,2557_3_1789381466.393
0,savE® OM55,4,undersized,1,99.9,67.60000000000001,0.862,0.871730664619484,2557_3_1789381466.393
0,Palmitic-stearic acid/Expanded graphite,4,undersized,1,99.5,52.400000000000006,0.862,0.871730664619484,2557_3_1789381466.393
1,n-Pentacosane (C25),8,healthy,8,0.0,0.0,0.986,0.8470231587245414,2557_3_1789381466.393
1,RT57HC,8,healthy,5,10.4,0.0,0.986,0.8470231587245414,2557_3_1789381466.393
1,n-Hexacosane (C26),8,healthy,7,3.9,0.0,0.986,0.8470231587245414,2557_3_1789381466.393
1,PlusICE A58,8,healthy,6,20.8,0.4,0.986,0.8470231587245414,2557_3_1789381466.393
1,PureTemp 58,8,healthy,4,26.200000000000003,0.5,0.986,0.8470231587245414,2557_3_1789381466.393
1,n-Heptacosane (C27),8,healthy,3,56.10000000000001,2.9000000000000004,0.986,0.8470231587245414,2557_3_1789381466.393
1,CrodaTherm 60,8,healthy,2,93.60000000000001,22.5,0.986,0.8470231587245414,2557_3_1789381466.393
1,PureTemp 60,8,healthy,1,99.3,78.10000000000001,0.986,0.8470231587245414,2557_3_1789381466.393
2,RT55,11,healthy,9,4.0,0.3,1.0,0.8182675390150268,2557_3_1789381466.393
2,n-Pentacosane (C25),11,healthy,11,0.2,0.0,1.0,0.8182675390150268,2557_3_1789381466.393
2,Myristic acid/NBR-0.5,11,healthy,10,0.1,0.0,1.0,0.8182675390150268,2557_3_1789381466.393
2,savE® OM55,11,healthy,8,4.7,0.4,1.0,0.8182675390150268,2557_3_1789381466.393
2,Palmitic-stearic acid/Expanded graphite,11,healthy,7,3.3000000000000003,0.1,1.0,0.8182675390150268,2557_3_1789381466.393
2,RT57HC,11,healthy,4,28.299999999999997,3.8,1.0,0.8182675390150268,2557_3_1789381466.393
2,n-Hexacosane (C26),11,healthy,5,17.7,1.7000000000000002,1.0,0.8182675390150268,2557_3_1789381466.393
2,PlusICE A58,11,healthy,3,66.5,18.8,1.0,0.8182675390150268,2557_3_1789381466.393
2,PureTemp 58,11,healthy,2,73.1,27.3,1.0,0.8182675390150268,2557_3_1789381466.393
2,RT60,11,healthy,6,23.400000000000002,2.9000000000000004,1.0,0.8182675390150268,2557_3_1789381466.393
2,n-Heptacosane (C27),11,healthy,1,91.60000000000001,55.1,1.0,0.8182675390150268,2557_3_1789381466.393
