timestamp_utc,GHI_Wm2,T_amb_C,RH_pct,WS_ms,local_hour,local_date,point_id,cluster_id,year,wind_ms,GHI_clearsky_Wm2
2025-01-01 00:00:00+00:00,0.0,7.46,67.08,2.66,5,2025-01-01,RJP_0202,1,2025,2.66,0.0
2025-01-01 01:00:00+00:00,0.0,7.1,68.77,2.72,6,2025-01-01,RJP_0202,1,2025,2.72,0.0
2025-01-01 02:00:00+00:00,50.62,8.59,63.0,2.46,7,2025-01-01,RJP_0202,1,2025,2.46,50.62
2025-01-01 03:00:00+00:00,215.1,12.04,50.4,3.19,8,2025-01-01,RJP_0202,1,2025,3.19,215.1
2025-01-01 04:00:00+00:00,392.02,15.36,41.16,2.43,9,2025-01-01,RJP_0202,1,2025,2.43,392.02
2025-01-01 05:00:00+00:00,553.22,20.16,25.49,2.1,10,2025-01-01,RJP_0202,1,2025,2.1,553.22
2025-01-01 06:00:00+00:00,634.17,22.35,20.64,1.79,11,2025-01-01,RJP_0202,1,2025,1.79,634.17
2025-01-01 07:00:00+00:00,683.78,23.79,18.21,1.68,12,2025-01-01,RJP_0202,1,2025,1.68,683.78
2025-01-01 08:00:00+00:00,625.8,24.81,16.51,1.7,13,2025-01-01,RJP_0202,1,2025,1.7,625.8
2025-01-01 09:00:00+00:00,490.02,25.14,15.78,1.69,14,2025-01-01,RJP_0202,1,2025,1.69,490.02
2025-01-01 10:00:00+00:00,306.8,24.57,16.33,1.8,15,2025-01-01,RJP_0202,1,2025,1.8,306.8
2025-01-01 11:00:00+00:00,112.47,21.67,26.11,1.8,16,2025-01-01,RJP_0202,1,2025,1.8,112.47
2025-01-01 12:00:00+00:00,4.68,17.81,29.88,2.7,17,2025-01-01,RJP_0202,1,2025,2.7,4.68
2025-01-01 13:00:00+00:00,0.0,16.08,31.74,3.1,18,2025-01-01,RJP_0202,1,2025,3.1,0.0
2025-01-01 14:00:00+00:00,0.0,14.99,33.14,3.22,19,2025-01-01,RJP_0202,1,2025,3.22,0.0
2025-01-01 15:00:00+00:00,0.0,14.08,34.67,3.25,20,2025-01-01,RJP_0202,1,2025,3.25,0.0
2025-01-01 16:00:00+00:00,0.0,13.26,36.47,3.28,21,2025-01-01,RJP_0202,1,2025,3.28,0.0
2025-01-01 17:00:00+00:00,0.0,12.5,38.87,3.28,22,2025-01-01,RJP_0202,1,2025,3.28,0.0
2025-01-01 18:00:00+00:00,0.0,11.83,41.96,3.24,23,2025-01-01,RJP_0202,1,2025,3.24,0.0
2025-01-01 19:00:00+00:00,0.0,11.23,45.65,3.18,0,2025-01-02,RJP_0202,1,2025,3.18,0.0
2025-01-01 20:00:00+00:00,0.0,10.8,49.38,3.13,1,2025-01-02,RJP_0202,1,2025,3.13,0.0
2025-01-01 21:00:00+00:00,0.0,10.48,53.15,3.09,2,2025-01-02,RJP_0202,1,2025,3.09,0.0
2025-01-01 22:00:00+00:00,0.0,10.2,56.53,3.08,3,2025-01-02,RJP_0202,1,2025,3.08,0.0
2025-01-01 23:00:00+00:00,0.0,9.97,59.33,3.03,4,2025-01-02,RJP_0202,1,2025,3.03,0.0
2025-01-02 00:00:00+00:00,0.0,9.9,61.18,2.95,5,2025-01-02,RJP_0202,1,2025,2.95,0.0
2025-01-02 01:00:00+00:00,0.0,9.87,62.51,2.86,6,2025-01-02,RJP_0202,1,2025,2.86,0.0
2025-01-02 02:00:00+00:00,53.92,11.19,58.22,2.68,7,2025-01-02,RJP_0202,1,2025,2.68,53.92
2025-01-02 03:00:00+00:00,221.25,13.74,49.38,3.42,8,2025-01-02,RJP_0202,1,2025,3.42,221.25
2025-01-02 04:00:00+00:00,392.27,16.19,42.62,2.16,9,2025-01-02,RJP_0202,1,2025,2.16,392.27
2025-01-02 05:00:00+00:00,539.92,20.3,31.4,1.36,10,2025-01-02,RJP_0202,1,2025,1.36,539.92
2025-01-02 06:00:00+00:00,661.83,24.56,20.6,0.53,11,2025-01-02,RJP_0202,1,2025,0.53,661.83
2025-01-02 07:00:00+00:00,676.65,26.12,18.99,0.28,12,2025-01-02,RJP_0202,1,2025,0.28,676.65
2025-01-02 08:00:00+00:00,558.58,26.78,18.55,0.28,13,2025-01-02,RJP_0202,1,2025,0.28,558.58
2025-01-02 09:00:00+00:00,471.42,27.06,18.37,0.41,14,2025-01-02,RJP_0202,1,2025,0.41,471.42
2025-01-02 10:00:00+00:00,291.73,26.77,19.17,0.38,15,2025-01-02,RJP_0202,1,2025,0.38,291.73
2025-01-02 11:00:00+00:00,110.3,24.91,25.87,0.62,16,2025-01-02,RJP_0202,1,2025,0.62,110.3
2025-01-02 12:00:00+00:00,5.03,22.12,28.14,1.57,17,2025-01-02,RJP_0202,1,2025,1.57,5.03
2025-01-02 13:00:00+00:00,0.0,20.17,31.87,2.26,18,2025-01-02,RJP_0202,1,2025,2.26,0.0
2025-01-02 14:00:00+00:00,0.0,18.65,35.41,2.71,19,2025-01-02,RJP_0202,1,2025,2.71,0.0
