case_id,regime_id,pcm_id,arrangement,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,split
c0_baseline_noPCM,0,NONE_plain_tank,staggered,baseline,0,0.08,8,0.030000000000000002,sim_v2_rajasthan,3.0974533557891846,True,,0.04,0.04289321169701264,0.6668419517747013,0.0004754254683054752,2.377127341527376e-08,46.70409175705556,0.10675084778561286,True,rajasthan,0.0,,25.092,1585.697079983394,0.5496563628266669,,1141.517320529455,9.065967492688003e-08,1663.1837948538387,77.77747188169508,0.0,0.0,0.0003008284834801271,0.0,68.5890814408164,68.5890814408164,0.0,0.0,0.0,8760.0,0.0,0.0,train
c0_RT50_lhs_singlelayer_000,0,RT50,single-layer,lhs,20261520,0.061076629796783716,29,0.036688000913151386,sim_v2_rajasthan,5.057424068450928,True,,0.030538314898391858,0.06919135091758957,0.6539496970785336,0.001651327673071257,1.0097318529591739e-07,43.60565376198217,0.07694650790552604,True,rajasthan,0.0,RT50,25.092,1584.2893003249953,0.5511836456850739,,1137.6460105068193,3.8509770466548823e-07,1661.5354153702972,77.55142901528153,41.66520906063959,41.69389065782714,0.00045422732499754924,3.0444194403739413,69.10196452536415,62.201617194498745,0.0,0.0,163.0,8760.0,0.0,6082.0,train
c0_RT50_lhs_singlelayer_001,0,RT50,single-layer,lhs,20261520,0.03351507274327564,35,0.047450162003058724,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT50_lhs_singlelayer_002,0,RT50,single-layer,lhs,20261520,0.04139419850802333,11,0.02026333293477622,sim_v2_rajasthan,6.156695365905762,True,,0.020697099254011666,0.008170332617303249,0.8832730625245406,3.3835736541968804e-05,1.1427079910721462e-09,16.32277699721577,0.20882001063160707,True,rajasthan,0.0,RT50,25.092,1586.8611473884143,0.5499368533639615,,1140.8063416676773,4.3578597624473915e-09,1664.2682495568654,77.70137531966701,5.274064951141041,5.277446736797515,0.00036348065022662375,0.35949463516134295,68.69688351892565,62.12894703783549,0.0,0.0,180.0,8760.0,0.0,9103.0,holdout
c0_RT50_lhs_singlelayer_003,0,RT50,single-layer,lhs,20261520,0.0776386006144312,19,0.018615212153720084,sim_v2_rajasthan,6.829443454742432,True,,0.0388193003072156,0.09311407121265874,0.6300482119023713,0.0006370576042171524,1.9764937427738227e-08,28.1247958186604,0.08814853370175894,True,rajasthan,0.0,RT50,25.092,1582.1826847795444,0.5505508145507252,,1139.250091571145,7.534778465686766e-08,1659.394946876632,77.52224313388821,52.818063878430365,52.856655443456454,0.0005097519096254882,4.0970191333569845,69.19894869437371,62.43393328980814,0.0,0.0,135.0,8760.0,0.0,2889.0,train
c0_RT50_lhs_staggered_000,0,RT50,staggered,lhs,20261521,0.060649074964591126,12,0.045210370978243174,sim_v2_rajasthan,6.809260368347168,True,,0.030324537482295563,0.02803382822218714,0.7146861784330372,0.0006875939791282018,5.1810631464654e-08,53.358786127446386,0.10128042021445822,True,rajasthan,0.0,RT50,25.092,1585.4103830286474,0.5502177320409323,,1140.0943789612825,1.9757768431448294e-07,1662.8015973387435,77.6877538118563,17.062384847044637,17.07398303505362,0.0003528653969167754,1.2334884417762342,68.81101660933128,62.2138197668012,0.0,0.0,173.0,8760.0,0.0,5996.0,train
c0_RT50_lhs_staggered_001,0,RT50,staggered,lhs,20261521,0.0763321482384707,32,0.023679083305767644,sim_v2_rajasthan,7.718319416046143,True,,0.03816607411923535,0.14903938554417184,0.5896603445376825,0.001967926668893666,7.766449922062491e-08,35.17353838412172,0.07312647824054702,False,rajasthan,0.0,RT50,25.092,1580.069738995946,0.5512621189751121,,1137.4470988038813,2.96004216022628e-07,1657.1562064969885,77.40948491210501,83.48594697502736,83.54787694632614,0.00074075507118893,6.557732963943562,69.63906706710313,62.44361622049357,0.0,0.0,126.0,8760.0,0.0,2953.0,holdout
c0_RT50_lhs_staggered_002,0,RT50,staggered,lhs,20261521,0.02165193178153121,23,0.01251508076474995,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT50_lhs_staggered_003,0,RT50,staggered,lhs,20261521,0.0462374875060592,19,0.03522174775659349,sim_v2_rajasthan,8.62359356880188,True,,0.0231187437530296,0.01966821286135746,0.7428924099686929,0.0003949886125927685,2.3186982132448863e-08,31.691939534424346,0.08906641902997632,True,rajasthan,0.0,RT50,25.092,1586.649711747152,0.5503155658446772,,1139.8463928185024,8.844706538566937e-08,1664.0149515572673,77.6619464003079,12.494146679087054,12.502291111493223,0.00038914136482998715,0.8654013658997282,68.7739203518355,62.130463315208615,0.0,0.0,177.0,8760.0,0.0,9114.0,train
c0_RT50_lhs_radial_000,0,RT50,radial,lhs,20261522,0.06737975907748839,15,0.02818585875820878,sim_v2_rajasthan,7.336384057998657,True,,0.033689879538744194,0.048051642620981876,0.8557488626837985,0.00021506864358389712,1.0103157352292117e-08,36.957655617992216,0.26648040480529805,True,rajasthan,0.0,RT50,25.092,1584.6134027684454,0.5504775378014803,,1139.435831240923,3.853077603073812e-08,1661.9348538902502,77.62210846313339,28.572314742523677,28.592205405193365,0.00039548285393889595,2.1142722753232026,68.94319744309307,62.19692249046147,0.0,0.0,161.0,8760.0,0.0,5965.0,train
