target,group_type,group,MAE,n,regime_id,pcm_id,arrangement
useful_energy_kWh,regime,0,0.3144464904419364,18,,,
useful_energy_kWh,regime,1,0.2096101266980794,18,,,
useful_energy_kWh,regime,2,0.1379166958263593,18,,,
useful_energy_kWh,pcm,Lauric acid (C12),0.14370252804762154,6,,,
useful_energy_kWh,pcm,RT44HC,0.12468060490819728,6,,,
useful_energy_kWh,pcm,RT45HC,0.19525880413209507,12,,,
useful_energy_kWh,pcm,RT47,0.14984820495931217,6,,,
useful_energy_kWh,pcm,n-Docosane (C22),0.10029041181500513,6,,,
useful_energy_kWh,pcm,n-Tricosane (C23),0.20292619708952012,6,,,
useful_energy_kWh,pcm,savE® OM42,0.6688106614582997,6,,,
useful_energy_kWh,pcm,savE® OM49,0.2051437223569792,6,,,
useful_energy_kWh,regime_pcm_arrangement,0|RT44HC|radial,0.18384950670065336,2,0.0,RT44HC,radial
useful_energy_kWh,regime_pcm_arrangement,0|RT44HC|single-layer,0.10429932740714776,2,0.0,RT44HC,single-layer
useful_energy_kWh,regime_pcm_arrangement,0|RT44HC|staggered,0.08589298061679074,2,0.0,RT44HC,staggered
useful_energy_kWh,regime_pcm_arrangement,0|RT47|radial,0.22398330291412094,2,0.0,RT47,radial
useful_energy_kWh,regime_pcm_arrangement,0|RT47|single-layer,0.07864488623522448,2,0.0,RT47,single-layer
useful_energy_kWh,regime_pcm_arrangement,0|RT47|staggered,0.1469164257285911,2,0.0,RT47,staggered
useful_energy_kWh,regime_pcm_arrangement,0|savE® OM42|radial,0.8539837601108502,2,0.0,savE® OM42,radial
useful_energy_kWh,regime_pcm_arrangement,0|savE® OM42|single-layer,0.9344977849716543,2,0.0,savE® OM42,single-layer
useful_energy_kWh,regime_pcm_arrangement,0|savE® OM42|staggered,0.21795043929239455,2,0.0,savE® OM42,staggered
useful_energy_kWh,regime_pcm_arrangement,1|RT45HC|radial,0.16370048509713797,2,1.0,RT45HC,radial
useful_energy_kWh,regime_pcm_arrangement,1|RT45HC|single-layer,0.2345574478248409,2,1.0,RT45HC,single-layer
useful_energy_kWh,regime_pcm_arrangement,1|RT45HC|staggered,0.26402344902123787,2,1.0,RT45HC,staggered
useful_energy_kWh,regime_pcm_arrangement,1|n-Tricosane (C23)|radial,0.12496454921438271,2,1.0,n-Tricosane (C23),radial
useful_energy_kWh,regime_pcm_arrangement,1|n-Tricosane (C23)|single-layer,0.10345674691961904,2,1.0,n-Tricosane (C23),single-layer
useful_energy_kWh,regime_pcm_arrangement,1|n-Tricosane (C23)|staggered,0.3803572951345586,2,1.0,n-Tricosane (C23),staggered
useful_energy_kWh,regime_pcm_arrangement,1|savE® OM49|radial,0.21763346669126804,2,1.0,savE® OM49,radial
useful_energy_kWh,regime_pcm_arrangement,1|savE® OM49|single-layer,0.2326241322130045,2,1.0,savE® OM49,single-layer
useful_energy_kWh,regime_pcm_arrangement,1|savE® OM49|staggered,0.16517356816666506,2,1.0,savE® OM49,staggered
useful_energy_kWh,regime_pcm_arrangement,2|Lauric acid (C12)|radial,0.04268735365633347,2,2.0,Lauric acid (C12),radial
useful_energy_kWh,regime_pcm_arrangement,2|Lauric acid (C12)|single-layer,0.1336849602134862,2,2.0,Lauric acid (C12),single-layer
useful_energy_kWh,regime_pcm_arrangement,2|Lauric acid (C12)|staggered,0.254735270273045,2,2.0,Lauric acid (C12),staggered
useful_energy_kWh,regime_pcm_arrangement,2|RT45HC|radial,0.09063817325204582,2,2.0,RT45HC,radial
useful_energy_kWh,regime_pcm_arrangement,2|RT45HC|single-layer,0.3937560246238263,2,2.0,RT45HC,single-layer
useful_energy_kWh,regime_pcm_arrangement,2|RT45HC|staggered,0.024877244973481538,2,2.0,RT45HC,staggered
useful_energy_kWh,regime_pcm_arrangement,2|n-Docosane (C22)|radial,0.14001074893769783,2,2.0,n-Docosane (C22),radial
useful_energy_kWh,regime_pcm_arrangement,2|n-Docosane (C22)|single-layer,0.027078152437411518,2,2.0,n-Docosane (C22),single-layer
useful_energy_kWh,regime_pcm_arrangement,2|n-Docosane (C22)|staggered,0.13378233406990603,2,2.0,n-Docosane (C22),staggered
solar_fraction,regime,0,0.0004454642670051899,18,,,
solar_fraction,regime,1,0.0004704929667853692,18,,,
solar_fraction,regime,2,0.0002482347289092246,18,,,
solar_fraction,pcm,Lauric acid (C12),0.00025483839937974945,6,,,
solar_fraction,pcm,RT44HC,0.0002985475457814209,6,,,
solar_fraction,pcm,RT45HC,0.0006047959771584566,12,,,
solar_fraction,pcm,RT47,0.00028092190955995394,6,,,
solar_fraction,pcm,n-Docosane (C22),0.00016660532298616118,6,,,
solar_fraction,pcm,n-Tricosane (C23),0.0001625257860998023,6,,,
solar_fraction,pcm,savE® OM42,0.000756923345674195,6,,,
solar_fraction,pcm,savE® OM49,0.00036262162430115524,6,,,
solar_fraction,regime_pcm_arrangement,0|RT44HC|radial,0.0005057881934710795,2,0.0,RT44HC,radial
solar_fraction,regime_pcm_arrangement,0|RT44HC|single-layer,0.0002092042616319567,2,0.0,RT44HC,single-layer
solar_fraction,regime_pcm_arrangement,0|RT44HC|staggered,0.00018065018224122653,2,0.0,RT44HC,staggered
solar_fraction,regime_pcm_arrangement,0|RT47|radial,0.0003538782231817805,2,0.0,RT47,radial
solar_fraction,regime_pcm_arrangement,0|RT47|single-layer,0.0002708085928644355,2,0.0,RT47,single-layer
solar_fraction,regime_pcm_arrangement,0|RT47|staggered,0.00021807891263364576,2,0.0,RT47,staggered
solar_fraction,regime_pcm_arrangement,0|savE® OM42|radial,0.0012076239187502336,2,0.0,savE® OM42,radial
solar_fraction,regime_pcm_arrangement,0|savE® OM42|single-layer,0.0009559241665241247,2,0.0,savE® OM42,single-layer
solar_fraction,regime_pcm_arrangement,0|savE® OM42|staggered,0.00010722195174822646,2,0.0,savE® OM42,staggered
solar_fraction,regime_pcm_arrangement,1|RT45HC|radial,0.0011364211871663366,2,1.0,RT45HC,radial
solar_fraction,regime_pcm_arrangement,1|RT45HC|single-layer,0.0007373377062113717,2,1.0,RT45HC,single-layer
solar_fraction,regime_pcm_arrangement,1|RT45HC|staggered,0.0007852355764877417,2,1.0,RT45HC,staggered
solar_fraction,regime_pcm_arrangement,1|n-Tricosane (C23)|radial,0.00027034510357487607,2,1.0,n-Tricosane (C23),radial
solar_fraction,regime_pcm_arrangement,1|n-Tricosane (C23)|single-layer,2.1017033855597056e-05,2,1.0,n-Tricosane (C23),single-layer
solar_fraction,regime_pcm_arrangement,1|n-Tricosane (C23)|staggered,0.00019621522086893384,2,1.0,n-Tricosane (C23),staggered
solar_fraction,regime_pcm_arrangement,1|savE® OM49|radial,0.00024549180028915485,2,1.0,savE® OM49,radial
solar_fraction,regime_pcm_arrangement,1|savE® OM49|single-layer,0.0004104344316898656,2,1.0,savE® OM49,single-layer
solar_fraction,regime_pcm_arrangement,1|savE® OM49|staggered,0.00043193864092444523,2,1.0,savE® OM49,staggered
solar_fraction,regime_pcm_arrangement,2|Lauric acid (C12)|radial,0.00010027442264964881,2,2.0,Lauric acid (C12),radial
solar_fraction,regime_pcm_arrangement,2|Lauric acid (C12)|single-layer,0.00024567398910063654,2,2.0,Lauric acid (C12),single-layer
solar_fraction,regime_pcm_arrangement,2|Lauric acid (C12)|staggered,0.00041856678638896305,2,2.0,Lauric acid (C12),staggered
solar_fraction,regime_pcm_arrangement,2|RT45HC|radial,0.00023329142209405074,2,2.0,RT45HC,radial
solar_fraction,regime_pcm_arrangement,2|RT45HC|single-layer,0.0005399222322016728,2,2.0,RT45HC,single-layer
solar_fraction,regime_pcm_arrangement,2|RT45HC|staggered,0.0001965677387895659,2,2.0,RT45HC,staggered
solar_fraction,regime_pcm_arrangement,2|n-Docosane (C22)|radial,7.178990284401054e-05,2,2.0,n-Docosane (C22),radial
solar_fraction,regime_pcm_arrangement,2|n-Docosane (C22)|single-layer,0.0002021921426437201,2,2.0,n-Docosane (C22),single-layer
solar_fraction,regime_pcm_arrangement,2|n-Docosane (C22)|staggered,0.00022583392347075293,2,2.0,n-Docosane (C22),staggered
unmet_energy_kWh,regime,0,1.0779957180413173,18,,,
unmet_energy_kWh,regime,1,1.0305882418684922,18,,,
unmet_energy_kWh,regime,2,0.7332578296849432,18,,,
unmet_energy_kWh,pcm,Lauric acid (C12),0.594842174237859,6,,,
unmet_energy_kWh,pcm,RT44HC,0.7143231946142427,6,,,
unmet_energy_kWh,pcm,RT45HC,1.6058112955707695,12,,,
unmet_energy_kWh,pcm,RT47,0.7655858736012154,6,,,
unmet_energy_kWh,pcm,n-Docosane (C22),0.4936778951385274,6,,,
unmet_energy_kWh,pcm,n-Tricosane (C23),0.24150554270784141,6,,,
unmet_energy_kWh,pcm,savE® OM42,1.7540780859084937,6,,,
unmet_energy_kWh,pcm,savE® OM49,0.7498900114345398,6,,,
unmet_energy_kWh,regime_pcm_arrangement,0|RT44HC|radial,1.1276014510341383,2,0.0,RT44HC,radial
unmet_energy_kWh,regime_pcm_arrangement,0|RT44HC|single-layer,0.5509986416334414,2,0.0,RT44HC,single-layer
unmet_energy_kWh,regime_pcm_arrangement,0|RT44HC|staggered,0.46436949117514814,2,0.0,RT44HC,staggered
unmet_energy_kWh,regime_pcm_arrangement,0|RT47|radial,0.8803366539405033,2,0.0,RT47,radial
unmet_energy_kWh,regime_pcm_arrangement,0|RT47|single-layer,0.7045368274423254,2,0.0,RT47,single-layer
unmet_energy_kWh,regime_pcm_arrangement,0|RT47|staggered,0.7118841394208175,2,0.0,RT47,staggered
unmet_energy_kWh,regime_pcm_arrangement,0|savE® OM42|radial,2.7819748143363086,2,0.0,savE® OM42,radial
unmet_energy_kWh,regime_pcm_arrangement,0|savE® OM42|single-layer,2.084111486989059,2,0.0,savE® OM42,single-layer
unmet_energy_kWh,regime_pcm_arrangement,0|savE® OM42|staggered,0.3961479564001138,2,0.0,savE® OM42,staggered
unmet_energy_kWh,regime_pcm_arrangement,1|RT45HC|radial,2.359407711877168,2,1.0,RT45HC,radial
unmet_energy_kWh,regime_pcm_arrangement,1|RT45HC|single-layer,1.8742323351245886,2,1.0,RT45HC,single-layer
unmet_energy_kWh,regime_pcm_arrangement,1|RT45HC|staggered,2.06746746738753,2,1.0,RT45HC,staggered
unmet_energy_kWh,regime_pcm_arrangement,1|n-Tricosane (C23)|radial,0.40945955697958425,2,1.0,n-Tricosane (C23),radial
unmet_energy_kWh,regime_pcm_arrangement,1|n-Tricosane (C23)|single-layer,0.0563435203371796,2,1.0,n-Tricosane (C23),single-layer
unmet_energy_kWh,regime_pcm_arrangement,1|n-Tricosane (C23)|staggered,0.2587135508067604,2,1.0,n-Tricosane (C23),staggered
unmet_energy_kWh,regime_pcm_arrangement,1|savE® OM49|radial,0.5892410360901863,2,1.0,savE® OM49,radial
unmet_energy_kWh,regime_pcm_arrangement,1|savE® OM49|single-layer,0.8676753930525933,2,1.0,savE® OM49,single-layer
unmet_energy_kWh,regime_pcm_arrangement,1|savE® OM49|staggered,0.7927536051608399,2,1.0,savE® OM49,staggered
unmet_energy_kWh,regime_pcm_arrangement,2|Lauric acid (C12)|radial,0.20625572415372062,2,2.0,Lauric acid (C12),radial
unmet_energy_kWh,regime_pcm_arrangement,2|Lauric acid (C12)|single-layer,0.5023799011293022,2,2.0,Lauric acid (C12),single-layer
unmet_energy_kWh,regime_pcm_arrangement,2|Lauric acid (C12)|staggered,1.075890897430554,2,2.0,Lauric acid (C12),staggered
unmet_energy_kWh,regime_pcm_arrangement,2|RT45HC|radial,1.0066158126938944,2,2.0,RT45HC,radial
unmet_energy_kWh,regime_pcm_arrangement,2|RT45HC|single-layer,1.5952535174369586,2,2.0,RT45HC,single-layer
unmet_energy_kWh,regime_pcm_arrangement,2|RT45HC|staggered,0.7318909289044768,2,2.0,RT45HC,staggered
