target,model,MAE,RMSE,R2,max_abs_error,n_holdout,accuracy,infeasible_recall
useful_energy_kWh,ExtraTrees,0.4044276929741197,0.5008242902368801,0.9998459040541001,0.840307714653818,18,,
useful_energy_kWh,LinearRegression,0.3266409118474864,0.44090748647864386,0.9998805694614263,1.3199164327540984,18,,
solar_fraction,ExtraTrees,0.00028431632187723527,0.00047177030043284195,0.9993690837601974,0.001450467865523608,18,,
solar_fraction,LinearRegression,0.000633975711934989,0.000842952371117796,0.9979857350978312,0.002017111518227699,18,,
unmet_energy_kWh,ExtraTrees,0.7694329325202856,1.3183324434624522,0.9996965590506899,3.7565426334074346,18,,
unmet_energy_kWh,LinearRegression,1.5886679205258423,2.1344946308000092,0.9992045471506443,5.12409603740889,18,,
pump_energy_kWh,ExtraTrees,2.633832932709363e-09,3.316382220867188e-09,0.9626533722983948,8.177556280879965e-09,18,,
pump_energy_kWh,LinearRegression,7.050725227574628e-11,1.0054872735110258e-10,0.9999656698744235,3.0676427374528075e-10,18,,
pcm_mass_kg,ExtraTrees,0.04101443799093521,0.07692914758674818,0.9975225968526511,0.2786563089291212,18,,
pcm_mass_kg,LinearRegression,0.041037493442034424,0.05084089840611489,0.9989179650790884,0.1202110546819144,18,,
feasibility,ExtraTreesClassifier,,,,,27,1.0,1.0
