draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,mean_f_melt,min_f_melt,max_f_melt
0,0,RT44HC,True,1.007969581459407,0.9922746954039277,-0.6284936263599463,0.9127543983772907,-0.32488304459332507,0.3373522666213242,rajasthan,0,RT44HC,single-layer,25.467352266621322,1529.1157508695164,0.5822991956101911,3111,948.1809075361141,6.835594402883465e-07,1614.7341636616814,85.88549558885728,33.110793665881296,33.11828232434856,0.00034444823494933247,1.225217894247827,70.52474583136414,62.093462472195476,0,0.0,292,8760,0,21245,0.4131459057297249,0.0,1.0
1,0,RT44HC,True,0.9103071329354474,1.048988093262455,1.485051866159881,1.125834287571227,0.4214733072901432,-0.8786103911149055,rajasthan,0,RT44HC,single-layer,24.251389608885095,1712.627982441626,0.5258296502282496,2932,1410.2909629274159,6.804057111030281e-07,1782.8029490916615,70.5277642433332,32.85577027591283,32.86413983345294,0.0009843281582586978,1.225217894247827,72.12931168575214,62.17168893627162,0,0.0,321,8760,3561,42871,0.36206375957266446,0.0,1.0
2,0,RT44HC,True,1.0344449271316583,0.938421898864259,-1.1582651975216611,1.044269654815392,-0.3736248477889542,-1.8039295559789768,rajasthan,0,RT44HC,single-layer,23.32607044402102,1520.4676429459275,0.4955211887375949,1910,1453.7980703912287,6.965621354517022e-07,1588.479840568667,68.41514193938612,27.804941185113105,27.813982863254605,0.0007129240045552083,1.225217894247827,64.0859282606005,62.04528008397084,0,0.0,201,8760,0,1040,0.27818434896073735,0.0,1.0
3,0,RT44HC,True,1.0532414802809638,0.9348600208967441,-0.008726857884402195,0.9716859642412261,-0.14514466136933513,0.18476010606284543,rajasthan,0,RT44HC,single-layer,25.314760106062845,1476.9227107780735,0.5451822982418121,2541,1107.6813483514643,6.904561400875927e-07,1551.6251092037826,74.98560776313906,32.12077717684305,32.12842948109059,0.000515336075713274,1.225217894247827,67.11550536035814,62.072513429482754,0,0.0,252,8760,0,9707,0.36096045817579536,0.0,1.0
4,0,RT44HC,True,1.0890000718546562,1.0047353071238965,-0.6440513238172662,0.8414803800410502,0.2663773178878954,1.4179077175484873,rajasthan,0,RT44HC,single-layer,26.547907717548487,1452.2669015623942,0.6251332197705537,3504,741.1010196268815,6.463327119188119e-07,1551.6092982648684,99.53630312441193,38.0694869595339,38.076076785752285,0.0004942928237203751,1.225217894247827,72.13681432245266,62.12503038269587,0,0.0,331,8760,6617,58131,0.42781416041104803,0.0,1.0
5,0,RT44HC,True,1.0857604950556161,1.0518006612134103,-0.74605558794438,0.8906070805122258,0.26092211556126266,1.656663166361311,rajasthan,0,RT44HC,single-layer,26.78666316636131,1522.3531802730708,0.621047138471468,3584,782.6574006628941,6.446513289235957e-07,1623.6633233253633,101.50432515317907,38.31284077395871,38.31937579291739,0.0007733376018411484,1.225217894247827,72.15970096339441,62.14535720724979,0,0.0,333,8760,7609,62750,0.43395965718638757,0.0,1.0
6,0,RT44HC,True,1.053645611552036,1.0204731267026124,-0.20248389717341686,0.9218564286941608,0.19248601579377844,0.199096831647541,rajasthan,0,RT44HC,single-layer,25.32909683164754,1543.4649422645516,0.5879002768613646,3265,951.4823890310365,6.59590896509904e-07,1632.5899500037733,89.3992161516631,36.937536012666676,36.94507798769699,0.0005043805055442258,1.225217894247827,72.12276457578935,62.14320723035562,0,0.0,326,8760,5361,50502,0.4005553303071553,0.0,1.0
7,0,RT44HC,True,0.9047852991545414,1.010664908588261,-1.40276138017694,0.8297771927845565,0.442319003389967,-1.864815237067838,rajasthan,0,RT44HC,single-layer,23.26518476293216,1518.9191745970754,0.5915210844777183,3138,937.9894057692292,6.604300732480887e-07,1609.2886748543524,90.73646169890502,32.62212428405434,32.6308580594206,6.977130766155774e-05,1.225217894247827,72.14475092433298,62.15506487308483,0,0.0,325,8760,5230,47889,0.3874160091038972,0.0,1.0
8,0,RT44HC,True,0.9835536257478433,1.0312725329892716,1.4590308402064487,0.9490674078846668,-0.19672044819889567,1.0233824757341141,rajasthan,0,RT44HC,single-layer,26.153382475734112,1628.2902841624934,0.5972979848539559,3480,917.117798199239,6.941233727286646e-07,1708.9338290548112,80.86695596240294,33.9660303642012,33.97303018561526,0.00016839372936669792,1.225217894247827,71.88654627183472,62.103649284791636,0,0.0,310,8760,0,30153,0.4492273043030422,0.0,1.0
9,0,RT44HC,True,0.9586888108205036,0.9350093461688146,-0.21329306284946137,0.9361787325950472,0.337253581720385,-1.4503432508304024,rajasthan,0,RT44HC,single-layer,23.679656749169595,1472.0832376300207,0.5361447610185304,2734,1178.8166784572954,6.774034578629208e-07,1547.4210925362045,75.70469751469662,33.11354855283425,33.12220586797859,0.00048088795414700353,1.225217894247827,72.10208171240293,62.13969232344942,0,0.0,312,8760,1353,34836,0.34402371450656155,0.0,1.0
10,0,RT44HC,True,1.0031335880958325,0.9562023660090062,0.8531076131113022,0.8842406845295493,0.2951948492924117,-1.98301752051601,rajasthan,0,RT44HC,single-layer,23.146982479483988,1519.098982816987,0.5649035716480025,2935,1070.4792854881237,6.771641258689983e-07,1591.9495952184886,73.22545505362362,35.00092610310904,35.0097580846294,5.2891814198575015e-05,1.225217894247827,72.11917801170266,62.152062357505756,0,0.0,320,8760,2872,41177,0.3629717190260803,0.0,1.0
11,0,RT44HC,True,1.017514607745143,0.9871034006825798,0.1715787156065658,0.9841038349734982,-0.09638040336825171,-0.24027205434885257,rajasthan,0,RT44HC,single-layer,24.889727945651146,1574.9362830589348,0.5545986030259686,2774,1122.331849008634,6.944960035544829e-07,1650.4464669717913,75.81316803959453,32.604466650109075,32.61238759043802,0.0003206103378706821,1.225217894247827,68.98120139622223,62.081210493744436,0,0.0,274,8760,0,14504,0.3828124135990865,0.0,1.0
12,0,RT44HC,True,0.9705178180060448,1.025408730969589,-1.268310584719992,1.1822360303208215,0.218990464273918,0.7400102067500716,rajasthan,0,RT44HC,single-layer,25.87001020675007,1590.8610251540053,0.5050886643219494,2818,1425.1388288555202,6.697751292467944e-07,1676.4349540318262,85.94741590974537,33.597173502097526,33.604645657302704,0.006760192866928357,1.225217894247827,72.11771235456726,62.15575327484237,0,0.0,319,8760,2004,37214,0.3521126149485488,0.0,1.0
13,0,RT44HC,True,1.0745835865866975,1.0205202727728222,-1.0356323072305094,1.066724618839773,-0.4463132704289525,-1.187521681004719,rajasthan,0,RT44HC,single-layer,23.94247831899528,1641.9254680639951,0.5226006329122823,2383,1365.3759727869524,6.972160066161707e-07,1716.9488621310693,75.39272437638567,32.48551335168694,32.49414052109535,0.000724337093839523,1.225217894247827,67.63390968557675,62.08217393913624,0,0.0,240,8760,0,9677,0.3392366623428792,0.0,1.0
14,0,RT44HC,True,1.0963516329244674,0.9327187122922143,-1.2659395335649202,1.0776583052829123,-0.0038483440324206253,-0.2690887146075376,rajasthan,0,RT44HC,single-layer,24.86091128539246,1480.9406826454494,0.498006704898901,2001,1387.169892579921,6.89556372971484e-07,1554.2241501342342,73.62656207420419,29.573127083622676,29.58118677351828,0.002170019860913121,1.225217894247827,64.12271329309326,62.046391590096604,0,0.0,204,8760,0,1347,0.2952316022972954,0.0,1.0
15,0,RT44HC,True,1.0064148452257466,0.9526031534706899,-0.4346433594154018,0.9502427241601685,0.06912131634284668,0.44390746778271417,rajasthan,0,RT44HC,single-layer,25.573907467782714,1451.8488977671534,0.5570241308190131,3006,1041.1442798858022,6.658140332715377e-07,1536.7828528780037,85.2141771509253,34.72490241866737,34.732349111506686,0.0014457762059018678,1.225217894247827,72.10550934579365,62.13207312955646,0,0.0,319,8760,2452,39992,0.3733340394766164,0.0,1.0
16,0,RT44HC,True,1.0113164921402247,0.9527483574441009,0.18102352489232687,0.8920687356932147,0.48654734274658507,-0.6867080524249434,rajasthan,0,RT44HC,single-layer,24.443291947575055,1471.4995960967485,0.569817519356894,3020,1004.4202247766124,6.693121177732987e-07,1551.8727184369336,80.6859214929785,35.087378853853146,35.09543237815655,0.00025622609114563994,1.225217894247827,72.11190946855871,62.13733094937089,0,0.0,320,8760,3092,41607,0.3734172737210362,0.0,1.0
17,0,RT44HC,True,0.9770510089502165,0.9535967596542129,1.185745182028744,1.0464796738789635,0.3518082209835779,-1.3638708248221145,rajasthan,0,RT44HC,single-layer,23.766129175177884,1561.5416674513997,0.5142293369479312,2669,1374.3650224201424,6.866212740673703e-07,1627.5407593350578,66.3688817430632,33.72414611710575,33.73278504457496,0.0007367620836164712,1.225217894247827,72.10057780942014,62.14511590722459,0,0.0,312,8760,1126,33993,0.33525522853336187,0.0,1.0
18,0,RT44HC,True,0.9617005762040183,1.0170249986313298,-1.4676619087624727,1.1480144796142107,-0.12247777558972128,-0.17565894005162175,rajasthan,0,RT44HC,single-layer,24.954341059948376,1620.5101924432242,0.504525451474857,2259,1451.7769463452644,6.917244986714365e-07,1698.0923534871042,77.94145191653242,29.584263633496292,29.592285671537834,0.00312584980085132,1.225217894247827,66.22334108860599,62.08435987284014,0,0.0,234,8760,0,5870,0.33255238373084206,0.0,1.0
