draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,n_shield_water_activations,n_shield_pcm_activations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
0,0,NONE_plain_tank,True,,0.9922746954039277,-0.6284936263599463,1.0159391629188137,-0.2181140040567734,-1.2995321783733003,rajasthan,0,,23.792467821626698,1594.029814151967,0.5269751638646937,2506,1297.6352155644902,5.3034967804469847e-11,1667.2732843432048,73.60829440043997,0.0,0.0,0.00024631686118047676,0.0,67.06675717472118,67.06675717472118,0,0,0,0.0,0,8760,0.0,0.0,0.0
1,0,NONE_plain_tank,True,,1.0118073293317464,-0.15125543264908625,0.8217669075638008,-0.448464335322763,1.2583428757122719,rajasthan,0,,26.350342875712272,1516.1238280377017,0.6263874815350498,3731,729.0406792430936,5.162563082513029e-11,1610.9898994386178,95.06261431539295,0.0,0.0,0.0001456707239008358,0.0,72.10665926774676,72.10665926774676,0,10,0,0.0,0,8760,0.0,0.0,0.0
2,0,NONE_plain_tank,True,,1.05900626302062,-0.5117434950077834,1.0688898542633165,0.11067413703848017,-1.4944993911558169,rajasthan,0,,23.597500608844182,1677.9341951024467,0.5252169678364307,2953,1382.9404522691773,5.161638927116741e-11,1757.5988679058773,80.05285628236331,0.0,0.0,0.0008769176368892066,0.0,72.60676426856035,72.60676426856035,0,720,0,0.0,0,8760,0.0,0.0,0.0
3,0,NONE_plain_tank,True,,0.9368624655407358,-0.6137312349493603,1.0575103454963954,0.2662074014048189,-0.2831403575877385,rajasthan,0,,24.80885964241226,1469.447802680888,0.5011661888046007,2691,1356.1639554936417,5.1595595774750925e-11,1546.615256057926,77.51344081043003,0.0,0.0,0.0023931846073245687,0.0,72.477341482347,72.477341482347,0,85,0,0.0,0,8760,0.0,0.0,0.0
4,0,NONE_plain_tank,True,,0.9796797474082931,0.9137529109091735,0.8199941677873548,0.49924799841050715,1.5534646843833553,rajasthan,0,,26.645464684383356,1438.4911586110472,0.6306181176897083,3598,707.8489461663814,4.966642138499923e-11,1531.3065572875394,92.9854354627375,0.0,0.0,0.00012837569163226382,0.0,72.64212100960388,72.64212100960388,0,1468,0,0.0,0,8760,0.0,0.0,0.0
5,0,NONE_plain_tank,True,,1.0065562303742044,1.207458459349013,1.1054576539844665,-0.035295064986873514,1.5716214756782128,rajasthan,0,,26.663621475678212,1612.4891082045433,0.54072964299329,3034,1185.3181498360918,5.298182886918327e-11,1687.189525230394,74.9194446586083,0.0,0.0,0.000981871467498743,0.0,69.51572116956567,69.51572116956567,0,0,0,0.0,0,8760,0.0,0.0,0.0
6,0,NONE_plain_tank,True,,1.0139573874303967,-0.578243139049704,0.8720525814890507,0.42663617190152137,1.510246117645027,rajasthan,0,,26.602246117645027,1475.708440532729,0.6107346783988008,3528,795.1774117265956,4.9512780550366315e-11,1574.3457454215286,98.83249849538859,0.0,0.0,0.0005472612076228902,0.0,72.63978105784932,72.63978105784932,0,1379,0,0.0,0,8760,0.0,0.0,0.0
7,0,NONE_plain_tank,True,,0.9755241758894153,-0.9741176757992489,0.8037278991176172,0.46784561692799664,-1.048671020443043,rajasthan,0,,24.043328979556957,1452.3226244835282,0.598503165987725,3228,861.0419427640102,5.020243151484641e-11,1543.5169813387222,91.50865711585092,0.0,0.0,5.284012898270747e-05,0.0,72.67561884017724,72.67561884017724,0,935,0,0.0,0,8760,0.0,0.0,0.0
8,0,NONE_plain_tank,True,,0.9326411712617386,0.7678484157957142,0.9162717034748765,0.2977502133637093,1.9849442995482938,rajasthan,0,,27.07694429954829,1402.0118180497177,0.5826383066474932,3301,872.6895136117948,5.052819629203801e-11,1488.8127802888039,86.98205061181642,0.0,0.0,0.0010594315830379309,0.0,72.52165773144483,72.52165773144483,0,684,0,0.0,0,8760,0.0,0.0,0.0
9,0,NONE_plain_tank,True,,1.0630433532690136,0.1354801484300534,0.8656030251738542,-0.16580417773084155,-1.0476509186625829,rajasthan,0,,24.044349081337415,1663.525872454821,0.6044762505232122,3489,913.4890154512511,5.282934322879571e-11,1748.599766760853,85.40045272534493,0.0,0.0,1.725280557581205e-05,0.0,72.18584402924682,72.18584402924682,0,12,0,0.0,0,8760,0.0,0.0,0.0
10,0,NONE_plain_tank,True,,0.9898878061851637,0.9891239113165948,1.052073216457749,-0.45737575633933525,0.4444103210184429,rajasthan,0,,25.53641032101844,1597.6405023979967,0.5403459447960433,2852,1198.4249536336818,5.314240086928835e-11,1669.6528177264267,72.28049397886075,0.0,0.0,0.000391401425609222,0.0,67.65152582108685,67.65152582108685,0,0,0,0.0,0,8760,0.0,0.0,0.0
11,0,NONE_plain_tank,True,,1.0158119361442302,-0.08375099136829389,0.9176785971087055,0.03084660196519229,-0.5330854604103212,rajasthan,0,,24.55891453958968,1555.0430739120595,0.5761946199365153,3216,1012.2128930018139,5.0749993587147186e-11,1640.910468902989,86.17283831918978,0.0,0.0,0.00021387843649993814,0.0,72.56983895282883,72.56983895282883,0,1031,0,0.0,0,8760,0.0,0.0,0.0
12,0,NONE_plain_tank,True,,1.0157354382816646,1.2700774755432924,0.8548585900482883,-0.03131072533847079,1.9339571454411817,rajasthan,0,,27.02595714544118,1549.548007850787,0.6279031005619671,3862,727.9590448613159,5.202532803402495e-11,1639.4197362308118,90.03223033045238,0.0,0.0,0.00011972437390280105,0.0,72.20045383930895,72.20045383930895,0,37,0,0.0,0,8760,0.0,0.0,0.0
13,0,NONE_plain_tank,True,,1.0260098818801537,1.07086908863955,0.8081027403940997,0.12167118604148497,-1.4711816209052522,rajasthan,0,,23.620818379094747,1567.9853185353113,0.6200142122671328,3431,835.8644448591516,5.0491230076186486e-11,1652.1134260837662,84.45379565454533,0.0,0.0,1.3926922380486847e-06,0.0,72.72299017154735,72.72299017154735,0,1579,0,0.0,0,8760,0.0,0.0,0.0
14,0,NONE_plain_tank,True,,1.0453022416118458,-0.6578724847556179,0.872496334451836,-0.35013990374449167,-1.1578479710749416,rajasthan,0,,23.934152028925055,1625.4426132728977,0.5925510676070038,3326,953.512922705077,5.262833943010302e-11,1711.5697234600523,86.46395040020953,0.0,0.0,4.437304534261893e-05,0.0,72.01747965314901,72.01747965314901,0,1,0,0.0,0,8760,0.0,0.0,0.0
15,0,NONE_plain_tank,True,,0.9938833635748551,0.45423328835990984,1.1139581499143216,0.33594437860887316,-1.2701491330188976,rajasthan,0,,23.8218508669811,1613.7077641032847,0.49903296507400197,2720,1504.793369088559,5.223210780394444e-11,1683.7114419051168,70.38524817131842,0.0,0.0,0.001186917225696536,0.0,72.52757337982365,72.52757337982365,0,284,0,0.0,0,8760,0.0,0.0,0.0
16,0,NONE_plain_tank,True,,1.033422902688023,0.4170759295322992,0.8144084914281204,0.02514344404396396,1.2301803828722675,rajasthan,0,,26.322180382872265,1499.7392896713136,0.6414983146864577,3696,694.3373283917759,4.916160149977679e-11,1597.4793323929848,97.92510573628074,0.0,0.0,0.00011264863631542653,0.0,72.72845683324363,72.72845683324363,0,1837,0,0.0,0,8760,0.0,0.0,0.0
17,0,NONE_plain_tank,True,,1.0291746950840914,-0.00641186355032497,0.8460346815591422,0.2266909767707137,-0.42881621074216847,rajasthan,0,,24.66318378925783,1541.974308602911,0.6091552497816353,3431,856.2217498295437,5.011810233493511e-11,1632.730664910965,91.03859922489218,0.0,0.0,5.191514980487152e-05,0.0,72.69918285439586,72.69918285439586,0,1449,0,0.0,0,8760,0.0,0.0,0.0
18,0,NONE_plain_tank,True,,1.0024320674273604,0.8072708496964109,1.1214943741782957,-0.3602706645032768,0.785241398963541,rajasthan,0,,25.87724139896354,1620.8308529768412,0.5261127267901013,2761,1293.997775740373,5.319785019306564e-11,1692.9832007372343,72.41577350565854,0.0,0.0,0.0009567405430346007,0.0,67.11018919230321,67.11018919230321,0,0,0,0.0,0,8760,0.0,0.0,0.0
19,0,NONE_plain_tank,True,,1.0498404166038193,-1.2552395562076477,0.8212685217064656,0.4452630409976558,-1.4448410873745217,rajasthan,0,,23.64715891262548,1554.0446136400612,0.6074147836555367,3361,876.5680333243173,4.9781940809535264e-11,1649.0706672390672,95.3621586472879,0.0,0.0,4.004748314309352e-05,0.0,72.75329389964413,72.75329389964413,0,1493,0,0.0,0,8760,0.0,0.0,0.0
20,0,NONE_plain_tank,True,,0.9791667120900558,-0.4210536774337319,0.8218008156410744,-0.1876010142898613,0.2647536953230647,rajasthan,0,,25.356753695323064,1483.8619194883495,0.6071228314064427,3418,807.509171918942,5.1898256667035316e-11,1572.8995049484984,89.2908058005422,0.0,0.0,0.00010741343156732395,0.0,72.1319535848111,72.1319535848111,0,4,0,0.0,0,8760,0.0,0.0,0.0
21,0,NONE_plain_tank,True,,1.0071380307977087,1.2207700896639944,1.0958310945316485,-0.3070384818614941,0.10605259917706089,rajasthan,0,,25.19805259917706,1646.8697225435903,0.530273861732445,2750,1297.79797446182,5.350282147384076e-11,1715.649624787337,69.07119188296107,0.0,0.0,0.0004152935245947873,0.0,67.46641126771691,67.46641126771691,0,0,0,0.0,0,8760,0.0,0.0,0.0
22,0,NONE_plain_tank,True,,1.046640090566196,0.25260684790291554,1.0588267608978916,-0.10267472874888728,0.538364573904277,rajasthan,0,,25.630364573904277,1666.5385500306572,0.5507163710832067,3105,1173.2155001181502,5.3013019113808e-11,1745.7982383284896,79.52612766106232,0.0,0.0,0.0004879126874679493,0.0,70.74193991777274,70.74193991777274,0,0,0,0.0,0,8760,0.0,0.0,0.0
23,0,NONE_plain_tank,True,,0.9308611744609485,-0.1279649021944551,0.8916585458604971,-0.16081397662681796,-1.7018402958273509,rajasthan,0,,23.390159704172646,1486.6571672382906,0.5487987089781131,2537,1106.9584240837146,5.2957569790030706e-11,1557.991429165713,71.70610594431916,0.0,0.0,4.8667197979966067e-05,0.0,67.08152625667564,67.08152625667564,0,0,0,0.0,0,8760,0.0,0.0,0.0
24,0,NONE_plain_tank,True,,0.9982685968443626,0.6699153423807651,1.156620057975911,-0.0935600083550826,1.939763995310348,rajasthan,0,,27.031763995310346,1593.2253491192398,0.5262756323348385,2882,1253.524220851418,5.2764652351055534e-11,1669.3551309053712,76.356355545691,0.0,0.0,0.002482795189866414,0.0,66.93831260430477,66.93831260430477,0,0,0,0.0,0,8760,0.0,0.0,0.0
25,0,NONE_plain_tank,True,,0.9580708254587885,-0.9348209639175882,0.8954480486804515,-0.09393790078401898,1.6128955552735196,rajasthan,0,,26.704895555273517,1434.3397476603946,0.5820875037369454,3262,871.7089147477438,5.147776596172417e-11,1524.948862898126,90.80975761355998,0.0,0.0,0.0007549909937384053,0.0,69.61057968561015,69.61057968561015,0,0,0,0.0,0,8760,0.0,0.0,0.0
26,0,NONE_plain_tank,True,,0.9641845242540581,0.42042693634415107,0.9527490281526352,0.28268657642351724,0.4423634414260684,rajasthan,0,,25.534363441426066,1485.6941473731229,0.560475193732785,3130,1037.8661758024452,5.1016843457825413e-11,1568.141956269502,82.71069062955785,0.0,0.0,0.0006566683351193212,0.0,72.56261598198395,72.56261598198395,0,677,0,0.0,0,8760,0.0,0.0,0.0
27,0,NONE_plain_tank,True,,1.0659577515064302,1.0276713557838901,0.8241928063984532,-0.4216044929733864,-0.25928695975889005,rajasthan,0,,24.83271304024111,1652.100357888897,0.6314889129016543,3807,779.8978060794097,5.259021802000613e-11,1739.8149180874889,87.98718743492789,0.0,0.0,7.470843966438373e-06,0.0,72.35020139965762,72.35020139965762,0,98,0,0.0,0,8760,0.0,0.0,0.0
28,0,NONE_plain_tank,True,,0.9398270877809617,1.3667102414326768,0.9103193801063367,0.22943427038966702,-0.7852321131382389,rajasthan,0,,24.30676788686176,1489.1469234369256,0.5610680026614205,3054,1052.762002653088,5.159097499776948e-11,1562.680430320847,73.84594294647107,0.0,0.0,8.999728205401358e-05,0.0,72.53327048446552,72.53327048446552,0,527,0,0.0,0,8760,0.0,0.0,0.0
29,0,NONE_plain_tank,True,,0.9532004714834913,-0.6182705169397,1.114403379040052,-0.1220499950269015,1.106039788790329,rajasthan,0,,26.19803978879033,1503.0097074189398,0.5085764895794295,2437,1311.0290709118296,5.2329144120554704e-11,1579.648831918842,76.91194720408726,0.0,0.0,0.0025166240544753004,0.0,66.11345216385743,66.11345216385743,0,0,0,0.0,0,8760,0.0,0.0,0.0
30,0,NONE_plain_tank,True,,0.9504426152406805,0.1866459932063571,0.852303729347242,-0.3988991564625646,-1.3811310771758594,rajasthan,0,,23.71086892282414,1501.5080894348464,0.5751631643288506,2910,981.488764674656,5.274039327190297e-11,1576.7597850304408,75.59833408475407,0.0,0.0,1.974426970685296e-05,0.0,68.30106576738677,68.30106576738677,0,0,0,0.0,0,8760,0.0,0.0,0.0
31,0,NONE_plain_tank,True,,1.0332699809890034,-1.3218952112964513,1.1481489692658542,0.11604243528866431,-0.41959904201465603,rajasthan,0,,24.672400957985342,1620.3594453197234,0.500456266463773,2831,1484.4606294555158,5.1484697127196335e-11,1703.321219279131,83.34045550146949,0.0,0.0,0.0033735430788745598,0.0,72.49149631362164,72.49149631362164,0,433,0,0.0,0,8760,0.0,0.0,0.0
32,0,NONE_plain_tank,True,,1.0015195021651215,0.6520396765291228,0.913838513865651,-0.03143402918170379,-1.875204441638009,rajasthan,0,,23.21679555836199,1619.1882940169685,0.5658981851179282,2918,1100.2558058389511,5.35859954595067e-11,1690.6587781181577,71.84838386568475,0.0,0.0,1.6185143810222196e-05,0.0,69.31373338951344,69.31373338951344,0,0,0,0.0,0,8760,0.0,0.0,0.0
33,0,NONE_plain_tank,True,,1.005278620707559,0.7915224602696647,1.149057152569121,0.07210837120325864,0.10051136311167719,rajasthan,0,,25.192511363111677,1615.391667203184,0.5093817382853634,2886,1421.7577285908656,5.190980860948892e-11,1689.4525833948605,74.3832243697148,0.0,0.0,0.0020505519117347457,0.0,72.54006400149287,72.54006400149287,0,446,0,0.0,0,8760,0.0,0.0,0.0
34,0,NONE_plain_tank,True,,1.0127708268112277,-0.3538757534274901,0.9636553360149578,-0.19505253097100916,1.5783254428896987,rajasthan,0,,26.6703254428897,1550.3298490096115,0.5774862157529284,3368,950.22884400964,5.1939843659868286e-11,1638.9271584643382,88.80358164213158,0.0,0.0,0.0006036453706924758,0.0,70.89575364035262,70.89575364035262,0,0,0,0.0,0,8760,0.0,0.0,0.0
35,0,NONE_plain_tank,True,,0.9942833527238657,-1.143342166009941,1.1779041384785074,0.23406334740217827,-1.43127255486931,rajasthan,0,,23.66072744513069,1597.5367263504413,0.4701679263311236,2491,1695.6594927526908,5.208308774629297e-11,1671.5133229867638,74.40451613309504,0.0,0.0,0.0029040822153716954,0.0,72.27446674532692,72.27446674532692,0,118,0,0.0,0,8760,0.0,0.0,0.0
36,0,NONE_plain_tank,True,,1.0193662145491116,-0.5181046321769892,0.892779424544606,0.054625875010357317,1.4507769109321251,rajasthan,0,,26.542776910932123,1491.04599089741,0.6038918265144178,3502,831.0653598135722,4.96005753130137e-11,1588.4386073230612,97.59463305171182,0.0,0.0,0.0006892521799569749,0.0,72.6386793704085,72.6386793704085,0,1337,0,0.0,0,8760,0.0,0.0,0.0
37,0,NONE_plain_tank,True,,0.9750208957906848,-0.635285591424347,1.0816010122643105,0.03424272897205449,-1.9946785639805569,rajasthan,0,,23.097321436019442,1572.35363054365,0.48925518390986245,2570,1540.5617987739681,5.222402144422692e-11,1644.1104633475152,72.1797951348607,0.0,0.0,0.0011515391508716377,0.0,72.35293429859013,72.35293429859013,0,130,0,0.0,0,8760,0.0,0.0,0.0
38,0,NONE_plain_tank,True,,0.9639977623691083,0.5913721353001593,0.9485995791941908,-0.32672878765296864,0.6126284342855368,rajasthan,0,,25.704628434285535,1515.43049317443,0.5647339161309204,3065,1014.3824906430324,5.2589062825760774e-11,1592.953165657688,77.772720098308,0.0,0.0,0.0002234189453417339,0.0,69.80619671477338,69.80619671477338,0,0,0,0.0,0,8760,0.0,0.0,0.0
39,0,NONE_plain_tank,True,,1.0525400295655645,0.9444569948071466,0.9602619575220244,-0.03188214046281401,-0.8017289180180698,rajasthan,0,,24.290271081981928,1693.6882611562914,0.5747259543062846,3236,1076.8218496105014,5.332607675430064e-11,1769.7216236707548,76.35614397523747,0.0,0.0,4.874626448270777e-05,0.0,70.99650672566477,70.99650672566477,0,0,0,0.0,0,8760,0.0,0.0,0.0
40,0,NONE_plain_tank,True,,1.013835556401213,1.2107857747088242,1.0198203385524551,-0.19869910255372436,-1.1283273691357394,rajasthan,0,,23.96367263086426,1665.8180914091581,0.5433652233556585,2793,1247.3071611397759,5.370267007828809e-11,1733.3153207953105,67.84570949108011,0.0,0.0,7.335266957202738e-05,0.0,67.97681566255491,67.97681566255491,0,0,0,0.0,0,8760,0.0,0.0,0.0
41,0,NONE_plain_tank,True,,1.0076825835839416,-0.7184460971757347,0.9344842443962742,-0.1049701784413477,0.4749271708349916,rajasthan,0,,25.56692717083499,1550.7800961329467,0.5740919780039622,3205,984.7820507450713,5.22159350845094e-11,1637.3663351324014,86.8459595329886,0.0,0.0,0.0003340923088632505,0.0,70.03372410606464,70.03372410606464,0,0,0,0.0,0,8760,0.0,0.0,0.0
42,0,NONE_plain_tank,True,,1.0267946729611683,-1.4982998202047235,0.8214193767639535,-0.39215858513891555,0.9525567895954263,rajasthan,0,,26.044556789595426,1513.8817416035374,0.6203479775792609,3659,752.6541263132747,5.1332211486808775e-11,1614.2071792517402,100.5473035058332,0.0,0.0,0.0003012363010857245,0.0,72.13471608968575,72.13471608968575,0,28,0,0.0,0,8760,0.0,0.0,0.0
43,0,NONE_plain_tank,True,,1.0094896310757213,-1.2658135874628447,0.8614785448439488,-0.19542027995244982,1.5983706506910513,rajasthan,0,,26.69037065069105,1492.4250799386034,0.6072281568718326,3581,788.8150856758945,5.1413075083983995e-11,1590.3828903816495,98.15194747970708,0.0,0.0,0.000491237827487203,0.0,72.17940147023455,72.17940147023455,0,7,0,0.0,0,8760,0.0,0.0,0.0
44,0,NONE_plain_tank,True,,1.0203522555122355,-1.230967764821696,0.8006476903575029,0.20442931502660466,1.4509846081901459,rajasthan,0,,26.542984608190146,1441.8345095386223,0.6366896067899872,3645,683.583535369736,4.87480419599378e-11,1547.5187645079322,105.86963478497867,0.0,0.0,0.0003391047553341533,0.0,72.67930909517966,72.67930909517966,0,1629,0,0.0,0,8760,0.0,0.0,0.0
