k,BIC,AIC,silhouette,davies_bouldin,calinski_harabasz,bootstrap_ari_mean,bootstrap_effective_n_resamples,bootstrap_n_failed_resamples,kmeans_silhouette,in_silhouette_band
2,9994.903823081102,9587.364596001835,0.21872121356589708,1.7695046205576197,34.90223644779657,0.4738097770170797,50,0,0.22531841247565604,True
3,8980.794391399577,8368.040376216566,0.2500327314634205,1.5375173396264297,36.88865708352651,0.6060996328954091,50,0,0.2528318623155744,True
4,8355.936219234696,7537.96741594794,0.24040417772971753,1.5117428774285013,32.73843790222002,0.5963746582528014,50,0,0.2590056570090097,True
5,7216.278083788974,6193.094492398473,0.19898276124674813,1.5882151158818536,27.515245483289263,0.5572914769168463,50,0,0.2701315079889177,True
6,6346.831112905502,5118.432733411256,0.19486022919886914,1.4446806678313113,24.759439056323373,0.5022910551881111,50,0,0.2848112812651432,True
7,6360.769050265251,4927.155882667261,0.2325575042289939,1.4769588159798916,28.559054984793462,0.5729127388443785,50,0,0.2693272635151363,True
8,5837.995908970196,4199.167953268461,0.2238061338192221,1.4195631883254056,24.316340699113947,0.6113831130558364,50,0,0.24113480739499585,True
9,5210.629065535744,3366.586321730266,0.22927890237815926,1.2808275167026244,24.603087488628525,0.6059231289111631,50,0,0.24424267592804494,True
10,3760.960457301801,1711.7029253925775,0.21236576426737025,1.3927885335822343,24.79387872502647,0.5736267982181283,50,0,0.2570418021160829,True
11,4335.188008043107,2080.7156880301395,0.19900362503096974,1.297196660621223,22.636202460567205,0.5933178853859302,50,0,0.2598034382654367,True
12,4163.671900316687,1703.9847921999742,0.24947829203256627,1.2043116097384277,26.274383799389586,0.5380344405746075,50,0,0.23702824782256637,True
