point_id,lat,lon,population,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
TNP_0001,13.125,80.125,5068599.2233457565,2,1.0,3,0.6060996328954091,50,1.2381660306784763e-112,3.260318276148257e-32,1.0
TNP_0002,12.875,80.125,3176285.3368492126,2,1.0,3,0.6060996328954091,50,5.482245863760916e-106,2.6448798727776063e-34,1.0
TNP_0003,13.125,80.375,2187441.213805318,2,1.0,3,0.6060996328954091,50,1.0281156032813207e-99,3.007601230357719e-55,1.0
TNP_0004,9.875,78.125,2115244.36277926,0,0.9999999999999503,3,0.6060996328954091,50,0.9999999999999503,4.848505364520311e-14,5.7164975023697016e-33
TNP_0005,11.625,78.125,1714135.3546363115,1,0.9997102872237739,3,0.6060996328954091,50,0.00028971277622515844,0.9997102872237739,5.894041888158808e-32
TNP_0006,10.875,78.625,1304575.5502040386,0,0.9999999999999964,3,0.6060996328954091,50,0.9999999999999964,3.5099885559741493e-15,1.8144292066682873e-21
TNP_0007,10.875,76.875,1258467.862797141,1,1.0,3,0.6060996328954091,50,2.798217235059334e-74,1.0,1.8480927894790505e-195
TNP_0008,11.125,77.375,1234266.652519226,1,0.9682547566298467,3,0.6060996328954091,50,0.03174524337015286,0.9682547566298467,2.8748910804089117e-73
TNP_0009,12.875,79.125,901144.725508362,2,0.9999997181663474,3,0.6060996328954091,50,3.2928171539519416e-40,2.818336516168678e-07,0.9999997181663474
TNP_0010,11.625,79.625,890343.420427084,2,1.0,3,0.6060996328954091,50,1.1193477051215145e-36,1.239419684951914e-24,1.0
TNP_0011,8.125,77.375,856360.3904578686,0,1.0,3,0.6060996328954091,50,1.0,2.4623225317754624e-45,4.600725440891694e-99
TNP_0012,11.375,77.625,850894.7885315418,1,0.9999999012435423,3,0.6060996328954091,50,9.87564559681644e-08,0.9999999012435423,9.062111270943583e-73
TNP_0013,11.875,79.625,793806.6025528908,2,1.0,3,0.6060996328954091,50,6.087323266014148e-38,2.6454385951100656e-23,1.0
TNP_0014,10.875,79.375,761459.6739379168,2,1.0,3,0.6060996328954091,50,1.0034457501889465e-26,2.851790277202835e-20,1.0
TNP_0015,11.125,77.125,759539.1904519796,1,1.0,3,0.6060996328954091,50,7.149287048800969e-17,1.0,9.182038497563685e-125
TNP_0016,11.125,79.625,705301.0805649757,2,1.0,3,0.6060996328954091,50,4.937885781734385e-35,2.962889655579464e-26,1.0
TNP_0017,11.125,76.875,686165.5627800226,1,1.0,3,0.6060996328954091,50,1.1088172582367996e-145,1.0,0.0
TNP_0018,10.875,77.125,667808.2734088898,1,0.9994501214369745,3,0.6060996328954091,50,0.0005498785630235592,0.9994501214369745,6.030546412265149e-97
TNP_0019,11.375,77.875,660676.1065044403,0,0.9999057703674771,3,0.6060996328954091,50,0.9999057703674771,9.422963252625428e-05,3.011480121037049e-50
