feature,F_statistic,p_value,chosen_k_levelB
T_noon_mean,701.7550313847636,9.555874460162534e-184,4
Ta_mean,692.1411792095638,1.7473246149850687e-182,4
Ta_p95,657.4091424595674,8.34343068714175e-178,4
GHI_noon_mean,612.7408356645333,1.7138063254700948e-171,4
T_sunset_mean,558.0266808684603,2.964966671028848e-163,4
Ta_p05,516.5859751619704,1.3513750509638078e-156,4
T_sunrise_mean,476.37888589143563,9.622178980732851e-150,4
kt_noon_std,417.57399479947935,6.394802644818477e-139,4
T_sunset_p95,393.81929458332036,3.053200395812e-134,4
HSI_sunrise,354.37603478135696,5.034038715081479e-126,4
kt_noon_mean,340.1622933518076,6.508996816487922e-123,4
T_sunrise_p05,332.50502032788063,3.3531836920091788e-121,4
RH_sunrise_mean,263.21966383309217,1.9979928822358846e-104,4
daylength_mean,190.44353066622125,1.096449891218778e-83,4
daylength_amplitude,135.63326420401935,3.7815737362188727e-65,4
diurnal_gradient,91.43430237616239,1.1545558128930589e-47,4
GHI_sunset_mean,56.109576946059484,1.7000804969176573e-31,4
wind_noon_mean,46.91093214431034,6.873058417838378e-27,4
wind_sunset_mean,14.648054776145168,3.54956167230429e-09,4
