method_a,method_b,spearman_rho,kendall_tau,cluster_id
TOPSIS,PROMETHEE_II,0.04395604395604395,0.025641025641025637,0
TOPSIS,VIKOR,0.945054945054945,0.846153846153846,0
TOPSIS,GRA,0.7417582417582418,0.564102564102564,0
PROMETHEE_II,VIKOR,0.016483516483516484,-0.025641025641025637,0
PROMETHEE_II,GRA,0.20329670329670327,0.25641025641025633,0
VIKOR,GRA,0.7252747252747254,0.5128205128205127,0
TOPSIS,PROMETHEE_II,0.901098901098901,0.7435897435897434,1
TOPSIS,VIKOR,0.9175824175824175,0.8205128205128204,1
TOPSIS,GRA,-0.07142857142857142,-0.10256410256410255,1
PROMETHEE_II,VIKOR,0.8351648351648352,0.6666666666666665,1
PROMETHEE_II,GRA,0.14835164835164835,0.10256410256410255,1
VIKOR,GRA,0.005494505494505494,-0.025641025641025637,1
TOPSIS,PROMETHEE_II,0.8647058823529412,0.7,2
TOPSIS,VIKOR,0.9294117647058824,0.8333333333333333,2
TOPSIS,GRA,0.07941176470588236,0.016666666666666666,2
PROMETHEE_II,VIKOR,0.8558823529411764,0.7,2
PROMETHEE_II,GRA,0.22058823529411767,0.18333333333333335,2
VIKOR,GRA,0.17941176470588235,0.11666666666666665,2
