cluster_id,pcm_id,n_survivors_in_cluster,candidate_pool_status,consensus_rank,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,upstream_cluster_profile_fingerprint
0,savE® OM49,13,healthy,12,0.2,0.0,1.0,0.6537225505967232,2505_3_1788874914.585
0,Paraffin/HDPE PCM3,13,healthy,8,8.9,1.0999999999999999,1.0,0.6537225505967232,2505_3_1788874914.585
0,PlusICE A50,13,healthy,13,0.6,0.0,1.0,0.6537225505967232,2505_3_1788874914.585
0,savE® OM50,13,healthy,6,10.4,1.9,1.0,0.6537225505967232,2505_3_1788874914.585
0,Paraffin/HDPE PCM6,13,healthy,9,6.4,0.8,1.0,0.6537225505967232,2505_3_1788874914.585
0,Paraffin/HDPE PCM2,13,healthy,9,6.800000000000001,0.8,1.0,0.6537225505967232,2505_3_1788874914.585
0,PlusICE A52,13,healthy,7,6.3,0.7000000000000001,1.0,0.6537225505967232,2505_3_1788874914.585
0,n-Tetracosane (C24),13,healthy,4,10.0,0.8999999999999999,1.0,0.6537225505967232,2505_3_1788874914.585
0,Paraffin/Expanded graphite (92% paraffin),13,healthy,11,12.6,1.5,1.0,0.6537225505967232,2505_3_1788874914.585
0,Palmitic-Stearic eutectic (64.2/35.8),13,healthy,5,40.1,8.799999999999999,1.0,0.6537225505967232,2505_3_1788874914.585
0,Myristic acid,13,healthy,2,75.8,40.8,1.0,0.6537225505967232,2505_3_1788874914.585
0,Myristic acid (C14),13,healthy,3,79.10000000000001,34.5,1.0,0.6537225505967232,2505_3_1788874914.585
0,PureTemp 53,13,healthy,1,54.900000000000006,16.2,1.0,0.6537225505967232,2505_3_1788874914.585
1,savE® OM42,13,healthy,13,0.0,0.0,1.0,0.7991684125050806,2505_3_1788874914.585
1,n-Docosane (C22),13,healthy,7,1.3,0.0,1.0,0.7991684125050806,2505_3_1788874914.585
1,C22H46 (docosane-class paraffin),13,healthy,9,0.2,0.0,1.0,0.7991684125050806,2505_3_1788874914.585
1,RT45HC,13,healthy,8,0.8,0.0,1.0,0.7991684125050806,2505_3_1788874914.585
1,n-Tricosane (C23),13,healthy,12,0.0,0.0,1.0,0.7991684125050806,2505_3_1788874914.585
1,savE® OM49,13,healthy,9,3.3000000000000003,0.2,1.0,0.7991684125050806,2505_3_1788874914.585
1,Paraffin/HDPE PCM3,13,healthy,6,35.699999999999996,7.199999999999999,1.0,0.7991684125050806,2505_3_1788874914.585
1,PlusICE A50,13,healthy,11,9.5,0.8,1.0,0.7991684125050806,2505_3_1788874914.585
1,savE® OM50,13,healthy,3,40.699999999999996,7.1,1.0,0.7991684125050806,2505_3_1788874914.585
1,Paraffin/HDPE PCM6,13,healthy,5,27.0,3.9,1.0,0.7991684125050806,2505_3_1788874914.585
1,Paraffin/HDPE PCM2,13,healthy,4,32.7,4.5,1.0,0.7991684125050806,2505_3_1788874914.585
1,PlusICE A52,13,healthy,2,69.39999999999999,14.299999999999999,1.0,0.7991684125050806,2505_3_1788874914.585
1,n-Tetracosane (C24),13,healthy,1,91.3,69.0,1.0,0.7991684125050806,2505_3_1788874914.585
2,n-Docosane (C22),16,healthy,9,0.0,0.0,1.0,0.745328458665332,2505_3_1788874914.585
2,C22H46 (docosane-class paraffin),16,healthy,12,0.0,0.0,1.0,0.745328458665332,2505_3_1788874914.585
2,Lauric acid (C12),16,healthy,14,0.0,0.0,1.0,0.745328458665332,2505_3_1788874914.585
2,RT45HC,16,healthy,10,0.0,0.0,1.0,0.745328458665332,2505_3_1788874914.585
2,savE® OM46,16,healthy,16,0.0,0.0,1.0,0.745328458665332,2505_3_1788874914.585
2,n-Tricosane (C23),16,healthy,15,0.0,0.0,1.0,0.745328458665332,2505_3_1788874914.585
2,savE® OM49,16,healthy,11,0.4,0.0,1.0,0.745328458665332,2505_3_1788874914.585
2,Paraffin/HDPE PCM3,16,healthy,7,21.5,3.5999999999999996,1.0,0.745328458665332,2505_3_1788874914.585
2,PlusICE A50,16,healthy,12,7.199999999999999,1.0999999999999999,1.0,0.745328458665332,2505_3_1788874914.585
2,savE® OM50,16,healthy,4,24.4,3.3000000000000003,1.0,0.745328458665332,2505_3_1788874914.585
2,Paraffin/HDPE PCM6,16,healthy,7,19.3,3.8,1.0,0.745328458665332,2505_3_1788874914.585
2,Paraffin/HDPE PCM2,16,healthy,6,24.5,4.2,1.0,0.745328458665332,2505_3_1788874914.585
2,PlusICE A52,16,healthy,3,34.2,7.9,1.0,0.745328458665332,2505_3_1788874914.585
2,n-Tetracosane (C24),16,healthy,2,40.9,8.3,1.0,0.745328458665332,2505_3_1788874914.585
2,Paraffin/Expanded graphite (92% paraffin),16,healthy,4,50.9,13.100000000000001,1.0,0.745328458665332,2505_3_1788874914.585
2,Palmitic-Stearic eutectic (64.2/35.8),16,healthy,1,89.4,60.8,1.0,0.745328458665332,2505_3_1788874914.585
