point_id,date,GHI_daily_kWh,GHIcs_daily_kWh,kt_daily,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms,cluster_id
TNP_0006,2016-01-01,5.07334,5.78637,0.8767742125028299,21.58125,27.34,16.24,11.1,84.50750000000001,3.971666666666666,0
TNP_0006,2016-01-02,5.12787,5.76857,0.8889326124152086,21.027916666666663,27.35,15.53,11.820000000000002,83.99208333333333,3.837916666666666,0
TNP_0006,2016-01-03,5.9925,6.02756,0.9941833843213506,20.68875,27.28,15.22,12.06,84.125,3.404166666666667,0
TNP_0006,2016-01-04,5.57296,6.01724,0.9261654845078474,21.209166666666665,27.32,15.73,11.59,83.91666666666667,3.4029166666666666,0
TNP_0006,2016-01-05,5.04416,5.62688,0.8964399454049136,22.28333333333333,27.87,16.88,10.990000000000002,83.66250000000001,3.56875,0
TNP_0006,2016-01-06,3.8784,5.44686,0.712043268965973,22.452916666666667,27.79,18.1,9.689999999999998,83.39833333333333,3.63,0
TNP_0006,2016-01-07,4.79679,5.64894,0.8491486898426962,22.0,27.71,17.29,10.420000000000002,84.625,3.442916666666666,0
TNP_0006,2016-01-08,4.7515,5.43442,0.8743343355868703,22.00625,27.19,17.01,10.18,84.17999999999999,3.2237500000000003,0
TNP_0006,2016-01-09,4.95836,5.59205,0.886680197780778,21.465,27.22,16.51,10.709999999999996,83.00166666666667,3.1254166666666667,0
TNP_0006,2016-01-10,5.310029999999999,5.889819999999999,0.9015606588995928,21.36375,27.59,16.26,11.329999999999998,83.39999999999999,3.358333333333333,0
TNP_0006,2016-01-11,5.68443,5.82842,0.97529519149272,21.23125,27.53,15.95,11.580000000000002,82.84541666666667,3.3470833333333334,0
TNP_0006,2016-01-12,5.84549,5.89337,0.9918756161584968,21.24083333333333,27.63,15.77,11.86,82.01833333333333,3.204166666666667,0
TNP_0006,2016-01-13,4.98263,5.56399,0.8955138309019248,21.484166666666667,27.81,16.13,11.68,83.38041666666666,2.8075,0
TNP_0006,2016-01-14,5.72335,5.7603,0.9935854035380102,20.532083333333333,26.76,15.45,11.310000000000002,81.65916666666666,3.0500000000000003,0
TNP_0006,2016-01-15,5.92315,5.95265,0.9950442240010752,21.03833333333333,27.16,15.22,11.94,82.43375,2.805,0
TNP_0006,2016-01-16,5.45325,5.76691,0.9456103875385604,22.15375,28.05,16.12,11.93,81.25458333333333,2.775,0
TNP_0006,2016-01-17,4.73277,5.366680000000001,0.8818804176884031,21.32125,26.9,16.76,10.139999999999995,82.25541666666668,2.6629166666666664,0
TNP_0006,2016-01-18,4.92835,5.51291,0.8939652560988661,22.70875,28.69,16.61,12.080000000000002,82.67625,2.620416666666667,0
TNP_0006,2016-01-19,4.805149999999999,5.7958,0.8290745022257496,23.816666666666663,29.49,18.84,10.65,83.33833333333332,2.5158333333333336,0
TNP_0006,2016-01-20,3.98495,5.37424,0.7414908898746615,24.449166666666667,29.99,19.88,10.11,82.46249999999999,2.525,0
TNP_0006,2016-01-21,3.79173,5.13183,0.7388650832159288,24.57166666666667,30.45,19.89,10.56,83.31708333333333,3.0829166666666663,0
TNP_0006,2016-01-22,4.45799,5.37083,0.830037443002292,24.42833333333333,30.23,19.73,10.5,81.80541666666666,3.29125,0
TNP_0006,2016-01-23,4.86294,5.82324,0.8350918045624085,24.80958333333333,30.44,20.33,10.110000000000005,83.19583333333334,3.707083333333333,0
TNP_0006,2016-01-24,4.58396,5.93067,0.7729244756494629,25.229166666666668,30.78,20.9,9.880000000000004,82.5275,3.5904166666666666,0
TNP_0006,2016-01-25,4.43424,5.7924,0.7655272425937435,24.905833333333334,30.75,20.93,9.82,80.71333333333334,3.18375,0
TNP_0006,2016-01-26,5.33688,5.893730000000001,0.9055182371774748,24.59,30.88,19.72,11.16,79.27291666666666,3.0091666666666668,0
TNP_0006,2016-01-27,5.578180000000001,5.93465,0.9399341157439784,24.102083333333336,30.88,18.5,12.38,78.1675,2.955416666666667,0
TNP_0006,2016-01-28,6.214720000000001,6.25287,0.9938988016702732,23.5875,31.28,17.48,13.8,76.51083333333334,2.5429166666666667,0
TNP_0006,2016-01-29,6.21393,6.25095,0.9940777001895712,23.374583333333334,31.16,17.15,14.010000000000002,76.64541666666666,3.074583333333333,0
TNP_0006,2016-01-30,6.26879,6.38542,0.981734952438524,23.44125,30.88,17.74,13.14,77.47625000000001,2.970833333333333,0
TNP_0006,2016-01-31,5.96896,6.4124300000000005,0.9308421300505424,23.175416666666667,30.8,17.59,13.21,78.87166666666667,3.3433333333333333,0
TNP_0006,2016-02-01,5.24482,6.4961,0.8073798125028863,22.956666666666667,30.97,16.6,14.369999999999996,75.11583333333333,2.712916666666666,0
TNP_0006,2016-02-02,6.30096,6.61982,0.9518325271684124,23.219583333333333,31.55,16.23,15.32,75.30833333333334,2.873333333333333,0
