timestamp_utc,GHI_Wm2,GHI_clearsky_Wm2,T_amb_C,RH_pct,wind_ms,point_id,cluster_id,year
2016-01-01 00:00:00+00:00,0.0,0.0,16.24,100.0,2.6,TNP_0006,0,2016
2016-01-01 01:00:00+00:00,43.53,47.55,17.48,98.59,3.01,TNP_0006,0,2016
2016-01-01 02:00:00+00:00,231.35,258.5,20.0,88.23,3.58,TNP_0006,0,2016
2016-01-01 03:00:00+00:00,457.27,484.42,23.13,76.14,3.91,TNP_0006,0,2016
2016-01-01 04:00:00+00:00,623.78,674.88,25.1,69.05,4.89,TNP_0006,0,2016
2016-01-01 05:00:00+00:00,671.33,805.38,26.19,65.91,5.47,TNP_0006,0,2016
2016-01-01 06:00:00+00:00,734.05,842.78,26.91,63.82,5.8,TNP_0006,0,2016
2016-01-01 07:00:00+00:00,735.3,829.12,27.27,62.73,5.94,TNP_0006,0,2016
2016-01-01 08:00:00+00:00,603.83,735.67,27.34,62.32,6.0,TNP_0006,0,2016
2016-01-01 09:00:00+00:00,507.52,576.4,27.03,62.68,5.9,TNP_0006,0,2016
2016-01-01 10:00:00+00:00,316.65,368.17,26.18,65.67,5.46,TNP_0006,0,2016
2016-01-01 11:00:00+00:00,137.85,152.23,24.74,74.75,4.12,TNP_0006,0,2016
2016-01-01 12:00:00+00:00,10.88,11.27,22.46,85.36,3.13,TNP_0006,0,2016
2016-01-01 13:00:00+00:00,0.0,0.0,21.28,88.83,3.16,TNP_0006,0,2016
2016-01-01 14:00:00+00:00,0.0,0.0,20.65,90.36,3.24,TNP_0006,0,2016
2016-01-01 15:00:00+00:00,0.0,0.0,20.15,91.64,3.28,TNP_0006,0,2016
2016-01-01 16:00:00+00:00,0.0,0.0,19.7,92.94,3.27,TNP_0006,0,2016
2016-01-01 17:00:00+00:00,0.0,0.0,19.25,94.61,3.26,TNP_0006,0,2016
2016-01-01 18:00:00+00:00,0.0,0.0,18.81,96.32,3.22,TNP_0006,0,2016
2016-01-01 19:00:00+00:00,0.0,0.0,18.35,98.23,3.15,TNP_0006,0,2016
2016-01-01 20:00:00+00:00,0.0,0.0,17.93,100.0,3.13,TNP_0006,0,2016
2016-01-01 21:00:00+00:00,0.0,0.0,17.56,100.0,3.2,TNP_0006,0,2016
