case_id,regime_id,pcm_id,arrangement,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c0_baseline_noPCM,0,NONE_plain_tank,staggered,baseline,0,0.08,8,0.030000000000000002,sim_v2_tamilnadu,57.32827043533325,True,,0.04,0.04289321169701264,0.4586181716338895,0.002938135737759676,1.469067868879838e-07,46.70409175705556,0.04518000889371047,True,tamilnadu,0.0,,28.463,1754.6844647566022,0.560517096576169,,927.8927357526745,5.687496254366444e-07,1843.4894958556695,88.88583080044164,0.0,0.0,2.6426181832030265e-05,0.0,72.04398646173311,72.04398646173311,0.0,0.0,0.0,8784.0,train
c0_RT57HC_single-layer_lhs_000,0,RT57HC,single-layer,lhs,20260910,0.034898300572775216,30,0.010944753853279037,sim_v2_tamilnadu,5.435943603515625e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT57HC_single-layer_lhs_001,0,RT57HC,single-layer,lhs,20260910,0.05332269436178297,20,0.04989646480465126,sim_v2_tamilnadu,20.250307083129883,True,,0.026661347180891484,0.03175373904544291,0.5556915090329517,0.003323452658766252,2.763808976967582e-07,51.77564904215675,0.04446005286568575,True,tamilnadu,0.0,RT57HC,28.463,1755.6840381127904,0.5619129709251349,,924.9455865954754,1.0692217275997262e-06,1844.6106778579756,89.02580494095905,31.061502625713874,31.078908465713937,5.237710080074582e-05,1.4289182570449313,71.55843734437175,71.50822820934735,4368.0,0.0,171.0,8784.0,holdout
c0_RT57HC_single-layer_lhs_002,0,RT57HC,single-layer,lhs,20260910,0.0728972330616749,12,0.020976066686767186,sim_v2_tamilnadu,14.756448745727539,True,,0.03644861653083745,0.04867915117365248,0.536068431971874,0.0009064772387587947,3.169054501706843e-08,29.75629040038731,0.056154697683188204,True,tamilnadu,0.0,RT57HC,28.463,1753.8134698268825,0.562529179753706,,923.6445673947666,1.2262920482226767e-07,1842.800715684092,89.09357017320401,40.53797600937392,40.5646352370666,4.820230289271816e-05,2.190561802814362,71.09893803975963,70.21555179889296,583.0,0.0,113.0,8784.0,train
c0_RT57HC_single-layer_lhs_003,0,RT57HC,single-layer,lhs,20260910,0.043446870428238915,25,0.034500820350814886,sim_v2_tamilnadu,16.43887495994568,True,,0.021723435214119458,0.02147059712413855,0.5714467940351028,0.0018567976412705378,1.0676840308215276e-07,29.169676294531307,0.03862231413588548,True,tamilnadu,0.0,RT57HC,28.463,1756.250554630119,0.5612287060985389,,926.3902943576729,4.1315368177815993e-07,1845.0849931729342,88.92879117879377,22.27909565129539,22.290866211579996,5.0331438214135094e-05,0.9661768705862348,71.78497506226532,71.75275413094639,7944.0,0.0,186.0,8784.0,train
c0_RT57HC_single-layer_bnd_dmin_fmin,0,RT57HC,single-layer,boundary,0,0.02,22,0.01,sim_v2_tamilnadu,3.504753112792969e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_single-layer_bnd_dmin_fmax,0,RT57HC,single-layer,boundary,0,0.02,22,0.05,sim_v2_tamilnadu,1.2159347534179688e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_single-layer_bnd_dmax_fmin,0,RT57HC,single-layer,boundary,0,0.08,22,0.01,sim_v2_tamilnadu,14.445549249649048,True,,0.04,0.11795633216678478,0.5311495834876816,0.0006539006374645021,1.0898343957741703e-08,15.568030585685188,0.060420075973773614,False,tamilnadu,0.0,RT57HC,28.463,1750.4597978547613,0.5643307261256247,,919.8409113740157,4.215842720998154e-08,1839.6220605949711,89.30503490281077,89.53071009093026,89.5954485975447,0.00011391827378877408,5.308034947505315,71.54736259050989,65.90984149194425,21.0,0.0,70.0,8784.0,train
c0_RT57HC_single-layer_bnd_dmax_fmax,0,RT57HC,single-layer,boundary,0,0.08,22,0.05,sim_v2_tamilnadu,13.647385835647583,True,,0.04,0.11795633216678478,0.5311495834876816,0.006921160236182528,5.767633530152108e-07,77.84015292842594,0.060420075973773614,False,tamilnadu,0.0,RT57HC,28.463,1751.2317689324982,0.5653104344292201,,917.7724254079395,2.230632267794192e-06,1840.5192734492039,89.43045922426828,94.94613783780125,95.01089680643435,0.00011886911620448839,5.308034947505315,71.16809368825444,68.03364657497217,203.0,0.0,96.0,8784.0,train
c0_RT57HC_staggered_lhs_000,0,RT57HC,staggered,lhs,20260911,0.07005150782399412,18,0.04574669125319861,sim_v2_tamilnadu,17.581509828567505,True,,0.03502575391199706,0.06479680409787116,0.46687027156908534,0.0111430303568183,8.495946155973105e-07,62.36211918632605,0.04089682083929546,True,tamilnadu,0.0,RT57HC,28.463,1753.561560975251,0.5635251153852701,,921.5418202102774,3.286644970519069e-06,1842.6839575339834,89.23721094058897,56.189956386230925,56.2254707133192,6.069522734828329e-05,2.9158561844042024,70.73382994058596,70.4937885415871,853.0,0.0,128.0,8784.0,train
c0_RT57HC_staggered_lhs_001,0,RT57HC,staggered,lhs,20260911,0.03787863884468434,33,0.032721668260303954,sim_v2_tamilnadu,2.765655517578125e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT57HC_staggered_lhs_002,0,RT57HC,staggered,lhs,20260911,0.05365105373735543,28,0.02698001336360495,sim_v2_tamilnadu,14.129602670669556,True,,0.026825526868677715,0.04528156390830399,0.48645467260078534,0.002471251098407091,1.1112397943307787e-07,28.168524958040997,0.033880561121600795,True,tamilnadu,0.0,RT57HC,28.463,1755.440838885104,0.5627181220122255,,923.2456482382053,4.298445297213297e-07,1844.4578761674677,89.12331359043186,43.58067066620943,43.60550316068055,6.305142273387876e-05,2.0376703758736796,71.29343846055964,71.22657768569779,3671.0,0.0,158.0,8784.0,holdout
c0_RT57HC_staggered_lhs_003,0,RT57HC,staggered,lhs,20260911,0.034074653479705834,11,0.011795732305922593,sim_v2_tamilnadu,2.86102294921875e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_staggered_bnd_dmin_fmin,0,RT57HC,staggered,boundary,0,0.02,22,0.01,sim_v2_tamilnadu,1.2636184692382812e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_staggered_bnd_dmin_fmax,0,RT57HC,staggered,boundary,0,0.02,22,0.05,sim_v2_tamilnadu,1.0967254638671875e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_staggered_bnd_dmax_fmin,0,RT57HC,staggered,boundary,0,0.08,22,0.01,sim_v2_tamilnadu,14.483277559280396,True,,0.04,0.11795633216678478,0.4586181716338895,0.001303734819384173,2.1728913656402883e-08,15.568030585685188,0.04518000889371047,False,tamilnadu,0.0,RT57HC,28.463,1750.4597978547613,0.5643307261256247,,919.8409113740157,8.405468099390962e-08,1839.6220605949711,89.30503490281077,89.53071009093026,89.5954485975447,0.00011391827378877408,5.308034947505315,71.54736259050989,65.90984149194425,21.0,0.0,70.0,8784.0,train
c0_RT57HC_staggered_bnd_dmax_fmax,0,RT57HC,staggered,boundary,0,0.08,22,0.05,sim_v2_tamilnadu,14.168019771575928,True,,0.04,0.11795633216678478,0.4586181716338895,0.013068897488143643,1.089074790678637e-06,77.84015292842594,0.04518000889371047,False,tamilnadu,0.0,RT57HC,28.463,1751.2317689324982,0.5653104344292201,,917.7724254079395,4.211996752935703e-06,1840.5192734492039,89.43045922426828,94.94613783780125,95.01089680643435,0.00011886911620448839,5.308034947505315,71.16809368825444,68.03364657497217,203.0,0.0,96.0,8784.0,train
c0_RT57HC_radial_lhs_000,0,RT57HC,radial,lhs,20260912,0.04668861889516652,11,0.010765887593431084,sim_v2_tamilnadu,20.364933729171753,True,,0.02334430944758326,0.011723421632492669,0.585206149636119,0.00033276734936657824,5.970893130074319e-09,9.781479687137537,0.04391332685943426,True,tamilnadu,0.0,RT57HC,28.463,1756.0155299392695,0.5607755252048074,,927.3471080493988,2.3112166299558524e-08,1844.7849798770371,88.85816243478007,11.60708198007758,11.613503891276936,3.9782443123560455e-05,0.5275539734621701,71.92652590975837,71.88106921101961,4973.0,0.0,177.0,8784.0,holdout
c0_RT57HC_radial_lhs_001,0,RT57HC,radial,lhs,20260912,0.020269328906316546,37,0.029579637581656867,sim_v2_tamilnadu,2.1219253540039062e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_radial_lhs_002,0,RT57HC,radial,lhs,20260912,0.06452588068436874,19,0.0439739323347959,sim_v2_tamilnadu,16.82229709625244,True,,0.03226294034218437,0.053454471634130765,0.5637242684237938,0.004649118276478128,3.4073335417718696e-07,55.21701607912694,0.05558381584627598,True,tamilnadu,0.0,RT57HC,28.463,1754.0174626856615,0.5630323189970665,,922.5822752206016,1.3180181352594794e-06,1843.1152801612836,89.20664630815072,48.17939432391895,48.20868329416456,5.259125951025578e-05,2.4054512235358847,70.99722394389396,70.9082834014635,1418.0,0.0,140.0,8784.0,train
c0_RT57HC_radial_lhs_003,0,RT57HC,radial,lhs,20260912,0.06636307030802502,24,0.03225883217083602,sim_v2_tamilnadu,14.481974124908447,True,,0.03318153515401251,0.0734546462301406,0.5621105416785127,0.002867189369789222,1.5415363447005933e-07,41.659955415667135,0.05679269153343562,True,tamilnadu,0.0,RT57HC,28.463,1753.4517885602443,0.5640662613491835,,920.3992833675804,5.962619760854619e-07,1842.6454237552337,89.3130253430205,64.74427268490062,64.78454871923961,6.883040813257502e-05,3.3054590803563273,70.51431286418497,70.38604109942351,968.0,0.0,132.0,8784.0,train
c0_RT57HC_radial_bnd_dmin_fmin,0,RT57HC,radial,boundary,0,0.02,22,0.01,sim_v2_tamilnadu,1.6927719116210938e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_radial_bnd_dmin_fmax,0,RT57HC,radial,boundary,0,0.02,22,0.05,sim_v2_tamilnadu,6.67572021484375e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT57HC_radial_bnd_dmax_fmin,0,RT57HC,radial,boundary,0,0.08,22,0.01,sim_v2_tamilnadu,4.38690185546875e-05,False,passage_blocked,0.04,0.11795633216678478,0.5522808318482232,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT57HC_radial_bnd_dmax_fmax,0,RT57HC,radial,boundary,0,0.08,22,0.05,sim_v2_tamilnadu,2.6464462280273438e-05,False,passage_blocked,0.04,0.11795633216678478,0.5522808318482232,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__single-layer_lhs_000,0,n-Hexacosane (C26),single-layer,lhs,20261104,0.024366041937258165,33,0.02035812816048925,sim_v2_tamilnadu,5.245208740234375e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__single-layer_lhs_001,0,n-Hexacosane (C26),single-layer,lhs,20261104,0.06721794733440144,29,0.042845555879505344,sim_v2_tamilnadu,13.476511001586914,True,,0.03360897366720072,0.0922321545963362,0.5406856948787362,0.005336022372476741,3.810414078904048e-07,56.04472170847566,0.0527507811210423,True,tamilnadu,0.0,n-Hexacosane (C26),28.463,1752.0604943542046,0.5633234005147167,,921.9677065453805,1.4737252751911864e-06,1841.4057852396556,89.47212651306627,77.06985582856582,77.11750002508076,9.569159250928782e-05,3.550937951958944,70.4654908878087,70.33882636290473,1172.0,0.0,138.0,8784.0,train
c0_n_Hexacosane__C26__single-layer_lhs_002,0,n-Hexacosane (C26),single-layer,lhs,20261104,0.06043839623428336,17,0.032054770216596425,sim_v2_tamilnadu,15.209179162979126,True,,0.03021919811714168,0.039302152285318546,0.5472266761749982,0.0017007078709296668,9.085966668034566e-08,37.700689131621694,0.04869766090344641,True,tamilnadu,0.0,n-Hexacosane (C26),28.463,1754.9983732645835,0.5616263205622345,,925.5507996478242,3.515373123252186e-07,1843.9531732629232,89.05688462559533,34.30353044145184,34.3238110143409,5.934225779307836e-05,1.513132862984764,71.4797658147952,71.41239651618017,2256.0,0.0,151.0,8784.0,train
c0_n_Hexacosane__C26__single-layer_lhs_003,0,n-Hexacosane (C26),single-layer,lhs,20261104,0.038622126097652976,9,0.01563735470969286,sim_v2_tamilnadu,2.0265579223632812e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_n_Hexacosane__C26__single-layer_bnd_dmin_fmin,0,n-Hexacosane (C26),single-layer,boundary,0,0.02,22,0.01,sim_v2_tamilnadu,6.9141387939453125e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__single-layer_bnd_dmin_fmax,0,n-Hexacosane (C26),single-layer,boundary,0,0.02,22,0.05,sim_v2_tamilnadu,5.4836273193359375e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
