case_id,lf_valid,lf_runtime_s,lf_useful_energy_kWh,lf_solar_fraction,lf_unmet_energy_kWh,lf_pump_energy_kWh
c0_baseline_noPCM,True,23.894896030426025,1673.2902185277098,0.5226428323641213,1158.1496484729262,2.7709929780539453e-09
c0_n_Octacosane__C28__lhs_000,True,35.4809045791626,1666.0193177794276,0.5165966873879267,1172.818624144697,3.401247336164742e-08
c0_n_Octacosane__C28__lhs_001,False,3.62396240234375e-05,,,,
c0_n_Octacosane__C28__lhs_002,True,34.63931751251221,1662.9586800858892,0.5140373756146603,1179.0279496382695,1.7388782015309274e-09
c0_n_Octacosane__C28__lhs_003,True,33.66302847862244,1671.7389720375493,0.5213815271222555,1161.2097894355488,1.3833115052196876e-09
c0_n_Octacosane__C28__lhs_004,True,31.10662055015564,1669.5003875757914,0.5195105768517161,1165.7490328889712,6.460500780604209e-10
c0_n_Octacosane__C28__lhs_005,True,35.63354802131653,1672.3291499738214,0.5218655618212114,1160.0354389607862,3.655529798577836e-10
c0_n_Octacosane__C28__lhs_006,False,7.724761962890625e-05,,,,
c0_n_Octacosane__C28__lhs_007,False,2.5987625122070312e-05,,,,
c0_n_Octacosane__C28__bnd_dmin_fmin,False,2.0503997802734375e-05,,,,
c0_n_Octacosane__C28__bnd_dmin_fmax,False,1.71661376953125e-05,,,,
c0_n_Octacosane__C28__bnd_dmax_fmin,True,32.40942883491516,1664.4510154944858,0.5152445347202401,1176.099176408149,6.431444600986447e-10
c0_n_Octacosane__C28__bnd_dmax_fmax,True,33.09610724449158,1664.5634611470443,0.5153469493392334,1175.8507011300403,5.976093762508625e-08
c0_n_Octacosane__C28__bnd_nmin,True,31.70155620574951,1672.262300492639,0.5218101131048969,1160.1699669739005,5.976331346415082e-10
c0_n_Octacosane__C28__bnd_nmax,True,32.3500874042511,1670.203095072328,0.520130278057227,1164.2455324034224,2.0259289106679733e-09
c0_n_Hexacosane__C26__lhs_000,True,20.513391256332397,1671.969078946424,0.5222030938660362,1159.2165288331803,5.061754633189954e-11
c0_n_Hexacosane__C26__lhs_001,True,11.188700914382935,1670.0037936123426,0.5214835052899774,1160.9623730624292,2.2777828151053235e-09
c0_n_Hexacosane__C26__lhs_002,True,10.074838161468506,1672.3249523435338,0.5222893824021914,1159.0071781737774,3.050794324321502e-10
c0_n_Hexacosane__C26__lhs_003,False,3.0279159545898438e-05,,,,
c0_n_Hexacosane__C26__lhs_004,True,15.14203143119812,1666.8035006437167,0.5200248465960741,1164.5013270535312,6.199535500917155e-08
c0_n_Hexacosane__C26__lhs_005,False,3.218650817871094e-05,,,,
c0_n_Hexacosane__C26__lhs_006,True,13.33726716041565,1671.1986578702763,0.5218656148151659,1160.0353103884424,6.559928956610693e-09
c0_n_Hexacosane__C26__lhs_007,False,2.47955322265625e-05,,,,
c0_n_Hexacosane__C26__bnd_dmin_fmin,False,7.62939453125e-06,,,,
c0_n_Hexacosane__C26__bnd_dmin_fmax,False,6.198883056640625e-06,,,,
c0_n_Hexacosane__C26__bnd_dmax_fmin,True,11.806172847747803,1666.6470556614388,0.5196792419402658,1165.3398227078799,6.426219596519426e-10
c0_n_Hexacosane__C26__bnd_dmax_fmax,True,8.221220254898071,1666.943883992917,0.5200515204392521,1164.4366117749212,5.970491758148404e-08
c0_n_Hexacosane__C26__bnd_nmin,True,11.103831768035889,1672.6051088886377,0.5223967397418933,1158.746711014873,5.97558413376055e-10
c0_n_Hexacosane__C26__bnd_nmax,True,10.27617359161377,1671.2401542901348,0.5218798518296517,1160.000768970737,2.025084632908902e-09
c0_PureTemp_58_lhs_000,True,11.887874126434326,1672.3904143301604,0.5222128595758878,1159.1928355607242,1.2738494699198425e-10
c0_PureTemp_58_lhs_001,True,10.950845003128052,1671.5167816483251,0.5218332700139323,1160.1137843754661,1.3853328506883868e-09
c0_PureTemp_58_lhs_002,True,12.747524976730347,1669.114504719593,0.5206605841189995,1162.958919735456,3.318542462674637e-08
c0_PureTemp_58_lhs_003,False,3.528594970703125e-05,,,,
c0_PureTemp_58_lhs_004,True,7.176772594451904,1669.2851521208686,0.5205013231600363,1163.34531389929,5.067841715461987e-10
c0_PureTemp_58_lhs_005,False,2.5272369384765625e-05,,,,
c0_PureTemp_58_lhs_006,True,12.368888139724731,1672.4626541385726,0.5222462222194508,1159.1118921151572,2.0349450846463454e-09
c0_PureTemp_58_lhs_007,True,8.828516244888306,1670.5737353156353,0.5212584843255228,1161.5083121800355,9.753621882203638e-10
c0_PureTemp_58_bnd_dmin_fmin,False,5.221366882324219e-05,,,,
c0_PureTemp_58_bnd_dmin_fmax,False,1.4543533325195312e-05,,,,
c0_PureTemp_58_bnd_dmax_fmin,True,8.920130968093872,1666.640515787108,0.5189084676122808,1167.209852273852,6.42876511151618e-10
c0_PureTemp_58_bnd_dmax_fmax,True,10.77802038192749,1666.9586823399331,0.5192796561097521,1166.3092858698894,5.973728471778754e-08
c0_PureTemp_58_bnd_nmin,True,10.31329870223999,1672.625593845456,0.5223408334456352,1158.8823491947276,5.976082275530238e-10
c0_PureTemp_58_bnd_nmax,True,10.29646897315979,1671.300555823741,0.5217212522529389,1160.3855585087838,2.0255067717884375e-09
c1_baseline_noPCM,True,10.228081226348877,1809.9340445647624,0.5311391962515881,1233.7324358315725,2.7612345373010713e-09
c1_n_Octacosane__C28__lhs_000,False,3.6716461181640625e-05,,,,
c1_n_Octacosane__C28__lhs_001,True,14.603764057159424,1807.3433510943862,0.5290191649194269,1239.3109602007578,5.1999574743910035e-09
c1_n_Octacosane__C28__lhs_002,True,9.734160900115967,1804.2037421597008,0.5264485290587717,1246.0751785287714,6.710785332880589e-09
c1_n_Octacosane__C28__lhs_003,True,11.334238052368164,1805.272658270119,0.5273480840917424,1243.70814291155,3.528125953046665e-09
c1_n_Octacosane__C28__lhs_004,True,9.860687255859375,1807.9760482056531,0.5295619913626994,1237.8825989798192,3.3314595942353695e-09
c1_n_Octacosane__C28__lhs_005,True,10.697481155395508,1803.215665010415,0.5256442239169202,1248.1915792470127,2.7322466659033642e-09
