target,hf_training_fraction,n_train,model,R2,RMSE,MAE
useful_energy_kWh,1.0,116,high_fidelity_only,0.9999373840464709,0.5991392686901201,0.3852813480323069
useful_energy_kWh,1.0,116,multi_fidelity_augmented,0.9999238931225197,0.6605371339966168,0.3696792055725685
solar_fraction,1.0,116,high_fidelity_only,0.9977469590514065,0.0005631440140787974,0.0003098696794753423
solar_fraction,1.0,116,multi_fidelity_augmented,0.9996147022084214,0.00023288053467026944,0.00012962120781127387
unmet_energy_kWh,1.0,116,high_fidelity_only,0.9997385559186234,1.1940992373907948,0.7339838299166938
unmet_energy_kWh,1.0,116,multi_fidelity_augmented,0.9999100796597424,0.7002933212396878,0.32907087560979564
pump_energy_kWh,1.0,116,high_fidelity_only,0.9554504641932475,5.15724488938363e-09,3.1994351299892494e-09
pump_energy_kWh,1.0,116,multi_fidelity_augmented,0.9466941810522106,5.641355553298701e-09,3.431636951093523e-09
useful_energy_kWh,0.75,87,high_fidelity_only,0.9999349014312879,0.6109012387485139,0.40720525451761963
useful_energy_kWh,0.75,87,multi_fidelity_augmented,0.9999802587159095,0.33641316656363424,0.25571845066792015
solar_fraction,0.75,87,high_fidelity_only,0.9977148790168834,0.0005671390204600389,0.00037094810152512594
solar_fraction,0.75,87,multi_fidelity_augmented,0.9994528799641843,0.0002775084675748313,0.0001366913005958222
unmet_energy_kWh,0.75,87,high_fidelity_only,0.9995586403915027,1.5514840190445978,0.9754854130289156
unmet_energy_kWh,0.75,87,multi_fidelity_augmented,0.9999204565011568,0.6586479716993308,0.3560204253714801
pump_energy_kWh,0.75,87,high_fidelity_only,0.9631433795968533,4.690875617835909e-09,2.8695035259564267e-09
pump_energy_kWh,0.75,87,multi_fidelity_augmented,0.9615847692957757,4.789033614975418e-09,2.9768899960515766e-09
useful_energy_kWh,0.5,58,high_fidelity_only,0.9998006103601742,1.0691449283798442,0.8185599306003496
useful_energy_kWh,0.5,58,multi_fidelity_augmented,0.9999001215739448,0.7566954641040833,0.5654150607088165
solar_fraction,0.5,58,high_fidelity_only,0.9917441342369059,0.0010779937455119139,0.0007461310821140506
solar_fraction,0.5,58,multi_fidelity_augmented,0.9969950285776575,0.0006503619173258205,0.0003623772589407455
unmet_energy_kWh,0.5,58,high_fidelity_only,0.998683688145346,2.6793559307167762,1.8881771138971088
unmet_energy_kWh,0.5,58,multi_fidelity_augmented,0.9995342944959629,1.593700463867968,1.031858207689038
pump_energy_kWh,0.5,58,high_fidelity_only,0.9500833063102201,5.4590750926023114e-09,3.4781964237903587e-09
pump_energy_kWh,0.5,58,multi_fidelity_augmented,0.9475775606768282,5.5944162333219095e-09,3.6131001832251957e-09
useful_energy_kWh,0.25,29,high_fidelity_only,0.9976324271371095,3.684147101276769,2.396848146646812
useful_energy_kWh,0.25,29,multi_fidelity_augmented,0.9984623342601692,2.96904140955349,1.8282632579681908
solar_fraction,0.25,29,high_fidelity_only,0.9710554205856118,0.002018452582023358,0.0015123082150299819
solar_fraction,0.25,29,multi_fidelity_augmented,0.9840515551671353,0.0014982838555116236,0.0010112495039991231
unmet_energy_kWh,0.25,29,high_fidelity_only,0.9955469779477606,4.928087798513141,3.336414570174088
unmet_energy_kWh,0.25,29,multi_fidelity_augmented,0.9971965446989284,3.910189738521154,2.2068793713212624
pump_energy_kWh,0.25,29,high_fidelity_only,0.9565177961582503,5.0950908985571856e-09,3.1110582099186674e-09
pump_energy_kWh,0.25,29,multi_fidelity_augmented,0.9606547942104051,4.8466546292357874e-09,2.9499679728216567e-09
