draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
0,0,RT57HC,True,1.0027278014886263,0.9997106224200986,0.12756903068211173,1.0623096416682967,0.13875159554154715,-0.5645711328923446,tamilnadu,0,RT57HC,radial,27.898428867107658,1794.7772156088445,0.5769605206113328,4439,981.2215927572094,1.9478526674407717e-07,1880.1930828552595,85.54266216779186,15.667141498961925,15.67591416064985,3.971807988348438e-05,0.7004494786278685,73.91192943804151,73.90046382544855,20089,0.0,199,8784,0.1912076342774735,0.0,1.0
1,0,RT57HC,True,0.9904745097860911,1.0035063125998334,0.11198827249756124,0.9699090627602712,-0.05531410292628236,1.1974168792691255,tamilnadu,0,RT57HC,radial,29.66041687926913,1730.9128231868074,0.5807068863295158,4801,796.4552283586971,1.9664592843506791e-07,1826.495987685699,95.60523600036174,17.196460299090514,17.204522390111396,6.170733049162674e-05,0.7004494786278685,74.59977006066174,74.58779953072886,14619,0.0,222,8784,0.25560956574098564,0.0,1.0
2,0,RT57HC,True,0.9955626091426788,1.0692928544184055,0.5777048266289668,0.975208508065082,0.3645996273997223,0.42853790746818765,tamilnadu,0,RT57HC,radial,28.891537907468187,1873.0574988251024,0.6246430697362295,4714,752.8267858562157,1.9286454931846232e-07,1971.6672214506825,98.6654062810631,18.642589903566776,18.65088570481393,1.07697181542621e-05,0.7004494786278685,79.69459264799929,79.68362510944714,47330,0.0,272,8784,0.3012349844569233,0.0,1.0
3,0,RT57HC,True,1.0270657485904662,0.9765065292921641,-0.32797232674659205,1.1122939259823352,-0.22276802506325522,-0.6457954404349979,tamilnadu,0,RT57HC,radial,27.817204559565003,1753.0908042624374,0.5205990918608305,4148,1169.7991494698679,1.9982852700365597e-07,1832.7036818253619,79.75735424768949,14.166477939695906,14.175323722033161,0.00041361211837009763,0.7004494786278685,69.13314023697903,69.12079500747531,2193,0.0,139,8784,0.11952103905570967,0.0,1.0
4,0,RT57HC,True,0.9214307907468922,1.0030328836222842,0.15851479860683246,1.0407189161778767,0.14784662737783028,1.8891536028248375,tamilnadu,0,RT57HC,radial,30.35215360282484,1737.909216313981,0.6030833231734374,4645,772.5127134763899,1.9222525780170252e-07,1835.245648495438,97.32947482371142,16.04041004244633,16.04826085407281,0.00018551315463416409,0.7004494786278685,76.1043334265255,76.09785293446761,30838,0.0,240,8784,0.25338810133998596,0.0,1.0
5,0,RT57HC,True,1.0378207918001432,1.0055223277401022,-0.2656600571076053,0.8531446248407042,-0.39928446367684134,-0.9816150450765089,tamilnadu,0,RT57HC,radial,27.48138495492349,1729.36303737731,0.6058141470840714,4782,752.181288245246,1.9656206362236656e-07,1824.9539216141422,95.71259838293349,17.808759357547697,17.817502307774088,5.161434298462582e-07,0.7004494786278685,75.45984151746975,75.37547903223175,18079,0.0,223,8784,0.2664239645982321,0.0,1.0
6,0,RT57HC,True,0.9030848976492496,0.9704243294002921,-0.6996464270895126,0.8770619683630116,0.3209050310258025,-0.01722991929008444,tamilnadu,0,RT57HC,radial,28.445770080709917,1656.5501062417063,0.634382410704527,4585,677.7435703858297,1.9041470178260985e-07,1755.824268713964,99.34174848783768,15.968160157030507,15.976537060122832,3.9138645068624105e-06,0.7004494786278685,76.48318136324428,76.47595818308628,33756,0.0,245,8784,0.25702245009603614,0.0,1.0
7,0,RT57HC,True,1.0225585677314264,1.0319537965353736,0.08895365467857892,0.8673301158050837,-0.3282610873007652,-1.33985195412229,tamilnadu,0,RT57HC,radial,27.123148045877713,1796.909115180005,0.6037011155937675,4789,784.5080116888707,1.9816722192225655e-07,1891.1138045874518,94.34672668647019,18.19334033315396,18.202220674784453,4.095137240121574e-08,0.7004494786278685,75.94118022667256,75.8848712243514,22847,0.0,237,8784,0.2779730626191545,0.0,1.0
8,0,RT57HC,True,1.006883670871499,0.997258205185775,0.07488298621898799,0.9831238687394735,0.01331288937738806,-1.5754512102623948,tamilnadu,0,RT57HC,radial,26.887548789737608,1787.9208588744868,0.5927678415465414,4435,925.8200853157748,1.9502051465076707e-07,1873.1919494665278,85.44049896545019,16.055268336517063,16.06433338017164,3.1783140689887843e-06,0.7004494786278685,75.26558761402138,75.25086503989743,23411,0.0,212,8784,0.20245625677710713,0.0,1.0
9,0,RT57HC,True,1.0847442618539016,0.9897727160222441,-0.22165569185184614,1.0394457123696257,-0.4041164944427166,0.4434166553495924,tamilnadu,0,RT57HC,radial,28.906416655349595,1735.076411072896,0.5500007248468644,4534,961.0930642892771,1.9763595965576057e-07,1823.7499043987084,88.74694544877278,16.404836643309352,16.413227977665308,0.0002096251646060484,0.7004494786278685,71.76595054404933,71.76007242321951,6056,0.0,173,8784,0.18844015088413987,0.0,1.0
10,0,RT57HC,True,0.9020232832061246,1.0426412140466679,0.4878055684725496,1.0149743591966922,0.3715078060366036,-0.6503025617295286,tamilnadu,0,RT57HC,radial,27.812697438270472,1864.5926435419487,0.5986264563816475,4579,893.9445877944119,1.9482257947850085e-07,1954.3844057685985,89.91469009117436,16.231993073035856,16.24074327747998,9.94182888119844e-06,0.7004494786278685,77.196732265856,77.18761852329652,33645,0.0,243,8784,0.2504773351388564,0.0,1.0
11,0,RT57HC,True,0.9134935132391789,0.9975341396232804,-0.31037067741075486,0.9952690275614118,0.2640444459233401,-0.4133846285244367,tamilnadu,0,RT57HC,radial,28.049615371475564,1758.6673929781257,0.5962807438899492,4502,869.5580386685805,1.9321671045983977e-07,1850.0288157584555,91.4719125185328,15.320228093881065,15.328892060171224,2.7448797875165702e-05,0.7004494786278685,75.1267756686962,75.11719593254581,25619,0.0,226,8784,0.2206888856936837,0.0,1.0
