target,model,MAE,RMSE,R2,max_abs_error,n_holdout,accuracy,infeasible_recall
useful_energy_kWh,ExtraTrees,0.5353518830692742,0.7261488184048657,0.99986119262864,2.1072395234218675,27,,
useful_energy_kWh,LinearRegression,0.8522024720186807,1.1602315550342246,0.9996456351755748,3.6967743248430907,27,,
solar_fraction,ExtraTrees,0.0004013362250607407,0.0005877689873146139,0.9993460929060966,0.0015297383825949584,27,,
solar_fraction,LinearRegression,0.0016750161440792736,0.002325396509985915,0.9897647902635659,0.007686162874487756,27,,
unmet_energy_kWh,ExtraTrees,0.9635471286213294,1.4573723508607876,0.99992737329617,4.405517770991992,27,,
unmet_energy_kWh,LinearRegression,4.163628261553964,5.621367214538843,0.9989194641133915,17.869008179094862,27,,
pump_energy_kWh,ExtraTrees,2.5791863238883315e-08,3.8273393714452906e-08,0.9986840621404687,1.0446565094377822e-07,27,,
pump_energy_kWh,LinearRegression,7.8507814246522e-09,9.54275192361494e-09,0.9999181933320893,1.802637949217755e-08,27,,
pcm_mass_kg,ExtraTrees,0.08957266998885262,0.1401853481399081,0.9938310889493505,0.31948091290222713,27,,
pcm_mass_kg,LinearRegression,0.12373479657460136,0.13753888468759892,0.9940618077235802,0.30861838097446226,27,,
feasibility,ExtraTreesClassifier,,,,,54,1.0,1.0
