cluster_id,Tm_target_C,L_required_kJ_per_kg,name,manufacturer,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,pass_corrosion,cluster_hsi,hsi_p75_across_clusters,passes_all,window_lo,window_hi,window_relax_applied,f_Tm,cycles_confidence_imputed,topsis_score,gra_grade,promethee_flow,vikor_Q,vikor_S,vikor_R,topsis_rank,gra_rank,promethee_rank,vikor_rank,vikor_compromise_note,borda_score,consensus_rank,kendall_w,weight_f_Tm,weight_latent_heat_kJ_kg,weight_rho_H_MJ_m3,weight_TC_W_mK,weight_cycles_confidence
0,57.0,122.93818683243596,PureTemp 58,PureTemp,PureTemp,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.25,2.59,0.972294084225764,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9692332344763441,False,0.6529177653232031,0.6572515776335313,0.27457560382716684,0.06312893899762036,0.31851255998783023,0.13765559232151722,1,7,4,1,single VIKOR winner acceptable,107.0,1,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,n-Octacosane (C28),Literature,n-Alkane,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Estimated via MICE-RF-PMM,No,-0.6999999999999957,8,True,literature_MICE_RF_PMM_completed,230.23,2.215,0.969090284145708,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.5162056739454961,False,0.5917970614394658,0.689601821966598,0.2809874271429013,0.1394214686191257,0.32628126648719297,0.1535735284508817,9,3,2,4,single VIKOR winner acceptable,102.0,2,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,PlusICE A58,PCM Products Ltd.,PCM Products,Organic PCM,58.0,58.2,215.0,910.0,910.0,2.22,2.22,0.22,1581.0,Estimated via MICE-RF-PMM,Yes,-0.2000000000000028,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,195.65,2.22,0.969090284145708,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9692332344763441,False,0.6355183630943945,0.6445427856702698,0.2674998349352079,0.15221468915992295,0.3337403354986005,0.1535735284508817,2,8,5,6,single VIKOR winner acceptable,99.0,3,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,n-Hexacosane (C26),Literature,n-Alkane,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,literature_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9922179382602435,False,0.5951530406307874,0.7263009686129174,0.28056819837562613,0.43428173162003336,0.3193263163197131,0.23112762924978153,6,1,3,12,single VIKOR winner acceptable,98.0,4,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,RT57HC,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),56.5,56.5,240.0,800.0,900.0,2.0,2.0,0.239,1404.0,Estimated via MICE-RF-PMM,Yes,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,216.0,2.0,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9922179382602435,False,0.5930387203143398,0.7109986902542315,0.28767155068039924,0.43630303026115935,0.32050483161292975,0.23112762924978153,7,2,1,13,single VIKOR winner acceptable,97.0,5,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,savE® OM55,Pluss Advanced Technologies,PLUSS savE,Organic,55.0,54.0,188.0,841.0,935.0,2.76,2.68,0.13,2000.0,Reported by manufacturer,Yes,1.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,175.78,2.72,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.8824969025845955,False,0.6235015803106411,0.6653941503988671,0.10189365001568484,0.2630472606255604,0.37047330993794125,0.16566487523507967,3,5,9,10,single VIKOR winner acceptable,93.0,6,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,Palmitic-stearic acid/Expanded graphite,Literature,Eutectic composite,Organic/eutectic composite,55.2,54.9,176.0,777.0,856.0,2.83,3.24,0.16,2000.0,Estimated via MICE-RF-PMM,Yes,0.3000000000000042,9,True,literature_MICE_RF_PMM_completed,150.656,3.035,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9037070778731964,False,0.623486016031825,0.6606695055168385,0.041793140784284165,0.15059378594158282,0.3798278248785508,0.1331815663654562,4,6,13,5,single VIKOR winner acceptable,92.0,7,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,RT60,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),58.0,58.0,160.0,770.0,880.0,2.0,2.0,0.1694999999999999,2000.0,Estimated via MICE-RF-PMM,Yes,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,140.8,2.0,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9692332344763441,False,0.6145996943520784,0.6827632391720068,0.02509579321501278,0.22119879369625595,0.38538611982401383,0.14862010714710067,5,4,14,8,single VIKOR winner acceptable,89.0,8,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,PureTemp 60,PureTemp,PureTemp,Organic bio-based PCM,61.0,61.5,220.0,870.0,960.0,2.38,2.04,0.2,1695.0,Estimated via MICE-RF-PMM,Yes,-0.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,211.2,2.21,0.9782442092981332,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.6065306597126334,False,0.5840974572969554,0.5704163079143545,0.09552058550111234,0.13646842581418553,0.3980802812492602,0.12169703328365236,10,18,11,2,single VIKOR winner acceptable,79.0,9,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,PureTemp 53,PureTemp,PureTemp,Organic bio-based PCM,53.0,51.1,225.0,840.0,920.0,2.6,2.36,0.2,1686.0,Estimated via MICE-RF-PMM,Yes,1.8999999999999984,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,207.0,2.48,0.977544241901108,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.6065306597126334,False,0.583615733848058,0.5696498388550553,0.10032013327052798,0.13774510080237024,0.3988246447824018,0.12169703328365236,11,19,10,3,single VIKOR winner acceptable,77.0,10,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
