cluster_id,Tm_target_C,L_required_kJ_per_kg,name,manufacturer,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,pass_corrosion,cluster_hsi,hsi_p75_across_clusters,passes_all,window_lo,window_hi,window_relax_applied,f_Tm,cycles_confidence_imputed,topsis_score,gra_grade,promethee_flow,vikor_Q,vikor_S,vikor_R,topsis_rank,gra_rank,promethee_rank,vikor_rank,vikor_compromise_note,borda_score,consensus_rank,kendall_w,weight_f_Tm,weight_latent_heat_kJ_kg,weight_rho_H_MJ_m3,weight_TC_W_mK,weight_cycles_confidence
0,57.0,122.93818683243596,PureTemp 58,PureTemp,PureTemp,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.25,2.59,0.972294084225764,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9692332344763441,False,0.6529177653232031,0.6572515776335313,0.27457560382716684,0.06312893899762036,0.31851255998783023,0.13765559232151722,1,7,4,1,single VIKOR winner acceptable,107.0,1,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,n-Octacosane (C28),Literature,n-Alkane,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Estimated via MICE-RF-PMM,No,-0.6999999999999957,8,True,literature_MICE_RF_PMM_completed,230.23,2.215,0.969090284145708,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.5162056739454961,False,0.5917970614394658,0.689601821966598,0.2809874271429013,0.1394214686191257,0.32628126648719297,0.1535735284508817,9,3,2,4,single VIKOR winner acceptable,102.0,2,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,PlusICE A58,PCM Products Ltd.,PCM Products,Organic PCM,58.0,58.2,215.0,910.0,910.0,2.22,2.22,0.22,1581.0,Estimated via MICE-RF-PMM,Yes,-0.2000000000000028,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,195.65,2.22,0.969090284145708,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.9692332344763441,False,0.6355183630943945,0.6445427856702698,0.2674998349352079,0.15221468915992295,0.3337403354986005,0.1535735284508817,2,8,5,6,single VIKOR winner acceptable,99.0,3,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
1,55.16109721700209,178.12834156015117,PureTemp 53,PureTemp,PureTemp,Organic bio-based PCM,53.0,51.1,225.0,840.0,920.0,2.6,2.36,0.2,1686.0,Estimated via MICE-RF-PMM,Yes,1.8999999999999984,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,207.0,2.48,0.977544241901108,True,low_organic,True,True,True,124.6898390921058,True,True,,True,True,True,15.017483175600246,20.215460619932777,True,50.16109721700209,63.16109721700209,0.0,0.8642025006247478,False,0.6919111527456415,0.6423008422814331,0.26402118984033524,0.0047290361223174225,0.3002652958735583,0.09907529519514091,1,11,3,1,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0184 < 0.0345) — report a compromise set PureTemp 53/Myristic acid (C14), not a single VIKOR winner",108.0,1,0.8418798665183538,0.2635643635512255,0.20311338062464213,0.1443693634656886,0.16864410517378592,0.2203087871846579
1,55.16109721700209,178.12834156015117,n-Hexacosane (C26),Literature,n-Alkane,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,literature_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,124.6898390921058,True,True,,True,True,True,15.017483175600246,20.215460619932777,True,50.16109721700209,63.16109721700209,0.0,0.9455196147769496,False,0.6299831103888842,0.7258418099520639,0.30761697824252,0.3227193702470759,0.29704994892769987,0.20524291230059402,6,1,2,8,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0184 < 0.0345) — report a compromise set PureTemp 53/Myristic acid (C14), not a single VIKOR winner",107.0,2,0.8418798665183538,0.2635643635512255,0.20311338062464213,0.1443693634656886,0.16864410517378592,0.2203087871846579
1,55.16109721700209,178.12834156015117,Myristic acid (C14),Literature,Fatty acid,Organic fatty acid,53.0,51.2,199.0,861.0,990.0,2.04,1.7,0.2329999999999999,1686.0,Estimated via MICE-RF-PMM,Yes,1.7999999999999972,5,True,literature_MICE_RF_PMM_completed,197.01,1.87,0.977544241901108,True,low_organic,True,True,True,124.6898390921058,True,True,,True,True,True,15.017483175600246,20.215460619932777,True,50.16109721700209,63.16109721700209,0.0,0.8642025006247478,False,0.6794589707900872,0.6294530900380313,0.24408643424612872,0.02309902504242377,0.31275534379071673,0.09907529519514091,2,12,5,2,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0184 < 0.0345) — report a compromise set PureTemp 53/Myristic acid (C14), not a single VIKOR winner",103.0,3,0.8418798665183538,0.2635643635512255,0.20311338062464213,0.1443693634656886,0.16864410517378592,0.2203087871846579
2,56.51005239671504,138.1123411008391,PureTemp 58,PureTemp,PureTemp,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.25,2.59,0.972294084225764,True,low_organic,True,True,True,100.0,True,True,,True,True,True,19.21574363032873,20.215460619932777,True,51.51005239671504,64.51005239671504,0.0,0.9329783849664344,False,0.6460608979704064,0.6371194084961512,0.25138749114736675,0.11559649848724264,0.3307278524862368,0.13739922758418305,1,8,4,2,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0266 < 0.0357) — report a compromise set PureTemp 53/PureTemp 58, not a single VIKOR winner",105.0,1,0.7823891625615763,0.245882455556505,0.19797166138908368,0.143066950932908,0.1654473983485487,0.2476315337729546
2,56.51005239671504,138.1123411008391,savE® OM55,Pluss Advanced Technologies,PLUSS savE,Organic,55.0,54.0,188.0,841.0,935.0,2.76,2.68,0.13,2000.0,Reported by manufacturer,Yes,1.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,175.78,2.72,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,19.21574363032873,20.215460619932777,True,51.51005239671504,64.51005239671504,0.0,0.9312215407481585,False,0.6318901227290548,0.6846233253429401,0.10892749673846794,0.2608081263210892,0.3559095036683969,0.1654473983485487,2,3,11,8,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0266 < 0.0357) — report a compromise set PureTemp 53/PureTemp 58, not a single VIKOR winner",96.0,2,0.7823891625615763,0.245882455556505,0.19797166138908368,0.143066950932908,0.1654473983485487,0.2476315337729546
2,56.51005239671504,138.1123411008391,n-Hexacosane (C26),Literature,n-Alkane,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,literature_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,19.21574363032873,20.215460619932777,True,51.51005239671504,64.51005239671504,0.0,0.9999968421712448,False,0.595955435161954,0.7267446545392922,0.26896455559224336,0.4378642211916748,0.3187834597442621,0.23069718561168442,9,1,2,13,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0266 < 0.0357) — report a compromise set PureTemp 53/PureTemp 58, not a single VIKOR winner",95.0,3,0.7823891625615763,0.245882455556505,0.19797166138908368,0.143066950932908,0.1654473983485487,0.2476315337729546
3,57.00000000000001,117.95911611454466,PureTemp 58,PureTemp,PureTemp,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.25,2.59,0.972294084225764,True,low_organic,True,True,True,100.0,True,True,,True,True,True,19.03542356351046,20.215460619932777,True,52.00000000000001,65.0,0.0,0.9692332344763445,False,0.6210181617692574,0.6451537051816747,0.25387126074795624,0.12140361993855048,0.33860402150455904,0.1636477819616083,4,7,1,4,single VIKOR winner acceptable,96.0,1,0.7080280830280831,0.23300532884604724,0.19322953881994942,0.13975806049313738,0.15923782172258055,0.2747692501182854
