cluster_id,name,top3_inclusion_probability,top1_retention_probability,mean_consensus_rank,std_consensus_rank,n_draws
0,n-Octacosane (C28),0.393,0.1832,6.4932,5.439444251024187,5000
0,RT64HC,0.304,0.1192,7.7456,5.800041434334745,5000
0,n-Hexacosane (C26),0.2928,0.1172,7.9414,6.057323339561803,5000
0,RT57HC,0.2836,0.1114,8.0704,6.061538075439259,5000
0,n-Tetracosane (C24),0.2204,0.073,9.4484,6.453319877396434,5000
0,n-Nonacosane (C29),0.1922,0.063,9.881,6.4301196722922835,5000
0,n-Pentacosane (C25),0.182,0.0536,10.2556,6.627659363606435,5000
0,n-Heptacosane (C27),0.1794,0.0622,10.2032,6.622047248396898,5000
0,PureTemp 58,0.1346,0.0416,11.4944,6.828613961851985,5000
0,CrodaTherm 60,0.1334,0.035,11.5502,6.812039339287439,5000
0,PlusICE A58,0.1244,0.0354,11.4536,6.705359575742354,5000
0,RT62HC,0.1218,0.0392,11.9212,6.928274717417013,5000
0,PureTemp 53,0.1146,0.0342,12.2696,6.979435209241423,5000
0,PureTemp 60,0.0982,0.0258,12.4132,6.827068606656863,5000
0,Myristic acid (C14),0.0916,0.022,13.054,6.974229993339812,5000
0,PlusICE A62,0.05,0.0116,14.707,6.901909228612045,5000
0,PureTemp 63,0.0328,0.0078,16.2838,6.9140767684486075,5000
0,PlusICE A52,0.0324,0.0068,16.5744,6.962130754302163,5000
0,Palmitic acid (C16),0.0302,0.007,16.7584,6.847512646209525,5000
0,RT54HC,0.025,0.0056,17.4332,6.621233854803864,5000
0,savE® OM55,0.012,0.002,19.1206,6.490212295449201,5000
0,Palmitic-stearic acid/Expanded graphite,0.0106,0.0018,19.8558,6.404358387848002,5000
0,RT55,0.0076,0.0008,20.3068,6.312422178530243,5000
0,RT60,0.007,0.0014,20.8788,6.204039858028019,5000
0,Paraffin/Expanded graphite (92% paraffin),0.0038,0.001,21.9218,5.884495285068967,5000
0,Palmitic acid/Expanded graphite (80/20),0.0026,0.0004,23.162,5.473221720339874,5000
0,Myristic acid/NBR-0.5,0.0022,0.0006,23.3626,5.4124228622678,5000
0,RT65,0.002,0.0,23.192,5.49082288914883,5000
0,Myristic acid/NBR-1.0,0.0008,0.0,24.4538,4.9352877889744855,5000
1,n-Octacosane (C28),0.3846,0.1624,6.4582,5.2747940964553,5000
1,n-Hexacosane (C26),0.3602,0.1458,6.9154,5.663200759287995,5000
1,RT57HC,0.3592,0.1452,6.9192,5.664297958264546,5000
1,n-Tetracosane (C24),0.3134,0.1226,7.465,5.7516932289544025,5000
1,n-Pentacosane (C25),0.2668,0.0992,8.2218,6.166312087463621,5000
1,n-Heptacosane (C27),0.1902,0.059,9.8886,6.605527234066922,5000
1,PureTemp 53,0.1612,0.0532,10.4434,6.6829631481851255,5000
1,CrodaTherm 60,0.1332,0.0392,11.2492,6.810044005731516,5000
1,PureTemp 58,0.1326,0.042,11.3438,6.819325594221171,5000
1,PlusICE A58,0.1322,0.039,11.1606,6.764791766196509,5000
1,Myristic acid (C14),0.1302,0.034,11.0866,6.654524809481115,5000
1,RT62HC,0.1242,0.0328,11.5324,6.781279395512387,5000
1,PureTemp 60,0.0974,0.0264,12.7352,6.958324579954564,5000
1,PlusICE A52,0.0524,0.0128,14.7832,7.0615435819656,5000
1,PlusICE A62,0.0514,0.0114,14.7654,7.0842898613764005,5000
1,RT54HC,0.041,0.008,15.8136,7.000889589187936,5000
1,PureTemp 63,0.0334,0.0078,16.4666,7.059892664906226,5000
