point_id,date,GHI_daily_kWh,GHIcs_daily_kWh,kt_daily,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms,cluster_id
UKP_0007,2016-01-01,3.25727,4.09892,0.794665424062924,10.849166666666669,17.83,7.31,10.52,34.72,1.606666666666667,4
UKP_0007,2016-01-02,3.67164,3.87809,0.946765031239605,10.554583333333332,18.5,6.09,12.41,34.04541666666667,2.2104166666666667,4
UKP_0007,2016-01-03,3.72323,3.94871,0.9428978071319494,10.834166666666668,18.82,5.54,13.28,37.47416666666667,2.09875,4
UKP_0007,2016-01-04,2.5947,3.557,0.729463030643801,10.899166666666666,15.61,6.67,8.94,43.35791666666666,1.5,4
UKP_0007,2016-01-05,3.63075,3.73213,0.9728358872815256,11.602083333333333,18.12,6.2,11.920000000000002,50.14458333333334,2.272083333333333,4
UKP_0007,2016-01-06,2.94608,3.7438,0.7869223783321758,11.302916666666668,17.45,5.74,11.71,54.282916666666665,1.9158333333333333,4
UKP_0007,2016-01-07,2.59484,3.3660499999999995,0.770885756301897,10.757083333333334,15.79,6.38,9.41,58.41666666666666,1.6116666666666666,4
UKP_0007,2016-01-08,3.01032,3.75799,0.8010452396094722,9.190833333333334,15.15,5.64,9.510000000000002,60.69958333333333,2.3520833333333333,4
UKP_0007,2016-01-09,3.66932,4.14825,0.8845464955101549,9.745,17.37,4.04,13.330000000000002,48.95916666666667,2.33625,4
UKP_0007,2016-01-10,4.10351,4.189229999999999,0.9795380057910406,10.202916666666669,18.09,4.27,13.82,44.35458333333333,1.9254166666666668,4
UKP_0007,2016-01-11,3.84584,4.11269,0.9351154597112836,10.500833333333334,16.98,5.8,11.18,43.05833333333334,1.9241666666666664,4
UKP_0007,2016-01-12,3.93581,3.97714,0.989608110350654,10.6475,17.36,5.73,11.63,44.72833333333333,1.8691666666666664,4
UKP_0007,2016-01-13,3.01716,3.4978,0.8625879124020812,9.215833333333334,15.52,5.08,10.44,51.90708333333333,2.1216666666666666,4
UKP_0007,2016-01-14,1.77822,3.76767,0.4719680863769916,8.508333333333333,13.62,5.68,7.939999999999999,58.795,1.64375,4
UKP_0007,2016-01-15,3.2241800000000005,4.09271,0.7877860879466173,8.78,16.06,3.87,12.189999999999998,49.18375,2.07125,4
UKP_0007,2016-01-16,3.24883,4.333399999999999,0.749718465869756,9.394583333333332,18.15,3.74,14.409999999999998,47.06333333333333,2.095,4
UKP_0007,2016-01-17,4.00319,4.211390000000001,0.950562640838298,9.267916666666666,16.17,4.65,11.52,48.892500000000005,2.052083333333333,4
UKP_0007,2016-01-18,3.67267,3.91354,0.9384521430725123,8.620416666666666,15.63,4.34,11.29,49.215833333333336,2.2045833333333333,4
UKP_0007,2016-01-19,3.18958,3.89132,0.8196653063741866,7.395833333333333,14.21,3.1,11.11,50.46333333333333,2.21125,4
UKP_0007,2016-01-20,3.20548,4.04829,0.7918108633521809,6.291250000000001,12.98,0.89,12.09,51.195,2.25875,4
UKP_0007,2016-01-21,3.29733,4.417590000000001,0.7464092412378694,6.927916666666667,14.32,0.64,13.68,36.40708333333333,2.0108333333333333,4
UKP_0007,2016-01-22,3.80989,4.15762,0.9163632077967684,7.738333333333333,15.28,2.17,13.11,30.501666666666665,1.8395833333333331,4
UKP_0007,2016-01-23,3.89558,4.1958400000000005,0.9284386439902378,8.268333333333333,15.4,3.78,11.62,30.339166666666667,2.0404166666666668,4
UKP_0007,2016-01-24,3.86529,4.2143500000000005,0.9171734668454208,7.753333333333334,15.44,2.94,12.5,32.74458333333333,1.9679166666666663,4
UKP_0007,2016-01-25,3.63099,4.34151,0.8363426549748819,8.1225,15.68,4.16,11.52,35.362500000000004,2.24125,4
UKP_0007,2016-01-26,3.3338,3.95825,0.8422408892818797,9.30875,16.34,4.27,12.07,41.06166666666667,2.31125,4
UKP_0007,2016-01-27,3.81278,4.03966,0.9438368575573192,9.83125,16.97,4.69,12.279999999999998,44.428333333333335,2.404166666666667,4
UKP_0007,2016-01-28,4.45268,4.57607,0.9730358145745148,12.1475,19.69,7.17,12.52,41.20166666666667,2.66625,4
UKP_0007,2016-01-29,2.42049,4.03913,0.5992602367341481,12.260416666666666,18.3,7.32,10.98,50.380833333333335,1.385,4
UKP_0007,2016-01-30,3.91248,4.28637,0.912772345831088,11.977083333333333,18.23,7.69,10.54,57.15916666666666,1.79125,4
UKP_0007,2016-01-31,3.67235,4.49199,0.8175329864937366,10.7525,17.32,5.12,12.2,51.94291666666667,2.245416666666667,4
UKP_0007,2016-02-01,4.72792,4.9297200000000005,0.9590646121889276,10.027083333333334,17.57,4.12,13.45,39.90208333333333,2.333333333333333,4
UKP_0007,2016-02-02,4.78747,5.01916,0.9538388893759114,9.894166666666669,17.53,4.29,13.240000000000002,36.70583333333333,2.17625,4
UKP_0007,2016-02-03,4.86796,5.07359,0.959470512989816,11.073333333333332,19.42,4.43,14.990000000000002,34.01583333333333,2.5058333333333334,4
UKP_0007,2016-02-04,4.86024,5.042050000000001,0.9639412540534108,12.895416666666668,20.45,7.76,12.69,31.29875,2.15,4
UKP_0007,2016-02-05,4.77095,5.084029999999999,0.938418931438249,13.919583333333334,22.49,8.55,13.939999999999998,29.769166666666667,2.0475,4
UKP_0007,2016-02-06,4.25677,4.42396,0.962208066980714,12.540833333333332,20.16,6.72,13.44,31.133333333333336,2.8866666666666667,4
UKP_0007,2016-02-07,0.8049700000000001,3.77814,0.2130598654364317,8.135416666666666,12.19,4.16,8.03,73.03833333333334,2.32375,4
UKP_0007,2016-02-08,4.5507,4.77056,0.9539131674268848,10.60625,17.84,4.45,13.39,56.01416666666668,2.210833333333333,4
UKP_0007,2016-02-09,4.95891,5.04912,0.982133520296606,11.569583333333334,18.69,6.8,11.89,49.50375,2.3154166666666667,4
UKP_0007,2016-02-10,4.63731,4.89691,0.9469869775021392,10.454166666666667,17.98,4.21,13.77,50.28083333333333,2.56,4
UKP_0007,2016-02-11,2.72492,4.2843100000000005,0.6360230702260107,9.965833333333334,16.16,4.4,11.76,46.92458333333334,2.9770833333333333,4
UKP_0007,2016-02-12,4.68753,4.95976,0.9451122634966208,10.044583333333334,17.55,5.04,12.510000000000002,34.90958333333334,2.3775,4
UKP_0007,2016-02-13,1.54964,4.74739,0.3264193588477037,9.357083333333334,15.51,4.45,11.06,39.645833333333336,1.9204166666666669,4
UKP_0007,2016-02-14,4.94259,5.143260000000001,0.9609838895953148,10.19125,17.81,4.73,13.079999999999998,44.40083333333333,2.495833333333333,4
UKP_0007,2016-02-15,4.529229999999999,5.2203,0.8676187192306954,10.6975,17.48,5.73,11.75,43.17875,2.56625,4
UKP_0007,2016-02-16,5.214840000000001,5.3285,0.9786694191611148,11.581666666666663,19.15,6.08,13.07,37.075,2.7504166666666667,4
UKP_0007,2016-02-17,5.19191,5.44403,0.9536887195698776,14.314166666666669,21.94,7.75,14.19,28.90375,2.345,4
