case_id,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c0_baseline_noPCM,0,NONE_plain_tank,baseline,0,0.08,8,0.030000000000000002,sim_v1_uttarakhand,0.8827123641967773,True,,0.04,0.04289321169701264,0.9571067883029873,1.3858140714189671e-05,6.929070357094836e-10,46.70409175705556,1.1900646595720985,True,uttarakhand,0.0,,20.63,1537.3712182492661,0.39010525042433675,,2286.9565026887885,2.6620333466890173e-09,1624.2371928189757,87.48895730428056,0.0,0.0,0.003943851710477611,0.0,71.52322982015599,71.52322982015599,0.0,0.0,0.0,8784.0,train
c0_RT42_lhs_000,0,RT42,lhs,20261607,0.07186975194340527,33,0.026057428359814887,sim_v1_uttarakhand,2.429631233215332,True,,0.03593487597170263,0.12828651151552595,0.871713488484474,0.00015044647616698308,6.533747124512933e-09,36.44360975613738,0.3255724572702115,False,uttarakhand,0.0,RT42,20.63,1537.0090171801824,0.3927910710429061,,2276.8853306825263,2.509766539548588e-08,1624.0111474221899,87.64851759476903,96.22947814053317,96.27387672797705,0.006838665762687923,5.644606506683143,71.05263827545171,70.63722800648439,715.0,0.0,203.0,8784.0,train
c0_RT42_lhs_001,0,RT42,lhs,20261607,0.06440493438137834,23,0.02499959750143054,sim_v1_uttarakhand,2.3897924423217773,True,,0.03220246719068917,0.06434486295857665,0.9356551370414233,3.398671915771364e-05,1.4160904988949992e-09,31.33255767444085,0.6243524339935426,True,uttarakhand,0.0,RT42,20.63,1538.0290764670608,0.3916503196465986,,2281.1628700867464,5.438141538374585e-09,1624.9342401711865,87.53749485706176,49.875086147093334,49.89731327246612,0.00523518393902959,2.8311739701773733,71.35942127532097,71.04761936962657,861.0,0.0,215.0,8784.0,train
c0_RT42_lhs_002,0,RT42,lhs,20261607,0.05085440369734333,14,0.03818613116903662,sim_v1_uttarakhand,2.6936633586883545,True,,0.025427201848671664,0.019281568183899613,0.9807184318161004,9.26533650867253e-06,5.896789254090551e-10,37.79008906412509,1.7244050749857884,True,uttarakhand,0.0,RT42,20.63,1539.0641957192302,0.3907825926937665,,2284.4166344431674,2.265382631725782e-09,1625.844656051977,87.41322227470116,15.72099321574984,15.727650378279783,0.004710107803257562,0.8483890000915831,71.58954297166993,71.40613544278868,1432.0,0.0,249.0,8784.0,holdout
c0_RT42_lhs_003,0,RT42,lhs,20261607,0.03779929966407464,29,0.04721789562945252,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT42_lhs_004,0,RT42,lhs,20261607,0.03229944563333931,17,0.043148400449789646,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT42_lhs_005,0,RT42,lhs,20261607,0.02468473042689504,35,0.018558533313853327,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT42_lhs_006,0,RT42,lhs,20261607,0.07411766849176239,10,0.03119171303598279,sim_v1_uttarakhand,2.378816604614258,True,,0.037058834245881196,0.042637709463708054,0.957362290536292,1.4957315805565956e-05,7.77573837326305e-10,44.98882651188268,1.1094633016794688,True,uttarakhand,0.0,RT42,20.63,1537.6098559581812,0.39098662148837904,,2283.651576244356,2.986704307721169e-09,1624.4786908193269,87.49691447297123,32.1282925581456,32.14299768224627,0.004734208090273149,1.8760592164031544,71.42963458060066,71.02048192711916,868.0,0.0,211.0,8784.0,train
c0_RT42_lhs_007,0,RT42,lhs,20261607,0.04735358606288867,21,0.01475287640632164,sim_v1_uttarakhand,2.6646673679351807,True,,0.023676793031444335,0.023351056419613686,0.9766489435803863,1.8716703847575062e-06,4.602086976616659e-11,13.594813895254857,1.3203636692632996,True,uttarakhand,0.0,RT42,20.63,1539.1379277870772,0.39089750971776627,,2283.985723641773,1.7680259396067486e-10,1625.9257240650604,87.42123892883207,19.070757015762727,19.078821170227908,0.004796875192448106,1.0274464824630023,71.57770349858458,71.39106914856893,1420.0,0.0,250.0,8784.0,holdout
c0_RT42_bnd_dmin_fmin,0,RT42,boundary,0,0.02,22,0.01,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT42_bnd_dmin_fmax,0,RT42,boundary,0,0.02,22,0.05,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT42_bnd_dmax_fmin,0,RT42,boundary,0,0.08,22,0.01,sim_v1_uttarakhand,2.385140895843506,True,,0.04,0.11795633216678478,0.8820436678332152,1.6544910901276784e-05,2.7574851502127974e-10,15.568030585685188,0.39881139135955096,False,uttarakhand,0.0,RT42,20.63,1535.0921663303163,0.3918704715902048,,2280.3373540130956,1.059268771251003e-09,1622.1205760974956,87.66897810441841,84.85770560141643,84.8984647786066,0.006381223827045958,5.190078615338531,70.98756212415994,70.45964442492631,324.0,0.0,191.0,8784.0,train
c0_RT42_bnd_dmax_fmax,0,RT42,boundary,0,0.08,22,0.05,sim_v1_uttarakhand,2.4376466274261475,True,,0.04,0.11795633216678478,0.8820436678332152,0.00028333669561690297,2.3611391301408582e-08,77.84015292842594,0.39881139135955096,False,uttarakhand,0.0,RT42,20.63,1536.0923181860758,0.3922878156670031,,2278.772415552883,9.06949612844781e-08,1623.0945535642377,87.64425470062132,86.75514279747284,86.79592426323579,0.00646084059692232,5.190078615338531,71.00712066449788,70.61754319336342,358.0,0.0,197.0,8784.0,train
c0_RT42_bnd_nmin,0,RT42,boundary,0,0.05,8,0.030000000000000002,sim_v1_uttarakhand,2.68509578704834,True,,0.025,0.010471975511965978,0.989528024488034,2.988850618139812e-06,1.4944253090699062e-10,29.19005734815973,3.149765528504569,True,uttarakhand,0.0,RT42,20.63,1538.9548065518181,0.39053950058220566,,2285.328170549476,5.74133296655478e-10,1625.7196913429177,87.39630837750052,8.553458826937813,8.557073123952682,0.004530253159366175,0.46076692252650303,71.62004510931516,71.4376096364342,1456.0,0.0,252.0,8784.0,train
c0_RT42_bnd_nmax,0,RT42,boundary,0,0.05,37,0.030000000000000002,sim_v1_uttarakhand,2.6912760734558105,True,,0.025,0.04843288674284265,0.9515671132571574,3.445149506227315e-05,1.7225747531136576e-09,29.19005734815973,0.6549042584154036,True,uttarakhand,0.0,RT42,20.63,1539.4599920587452,0.39157939378254225,,2281.428824771756,6.6164335513661256e-09,1626.2883268414826,87.46641066553723,39.34688788384727,39.36363034932961,0.005361276290370274,2.1310470166850766,71.49188436097386,71.30413791189642,1366.0,0.0,245.0,8784.0,train
c0_RT44HC_lhs_000,0,RT44HC,lhs,20260946,0.03744493275511633,25,0.013022570618024115,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT44HC_lhs_001,0,RT44HC,lhs,20260946,0.07401409869152885,34,0.049296895096704985,sim_v1_uttarakhand,2.42414927482605,True,,0.037007049345764424,0.1443613383387638,0.8556386616612361,0.000577327854964601,4.7434117837659417e-08,71.00316543383637,0.2924574546862465,False,uttarakhand,0.0,RT44HC,20.63,1538.5545807744131,0.39530712970218085,,2267.450724603398,1.82238586696642e-07,1625.5783333849965,87.69055126309176,118.14855367221934,118.20048275330761,0.008128381730263914,5.7744535335505525,69.62675966934111,69.42400067688365,387.0,0.0,156.0,8784.0,train
c0_RT44HC_lhs_002,0,RT44HC,lhs,20260946,0.06401824133623348,30,0.02540665884100321,sim_v1_uttarakhand,2.7695298194885254,True,,0.03200912066811674,0.08242540518566085,0.9175745948143391,4.960340823795163e-05,2.1004281174210757e-09,31.65155013543354,0.47510846704368564,True,uttarakhand,0.0,RT44HC,20.63,1539.7768821285417,0.39364102100994913,,2273.698225685407,8.065906524408051e-09,1626.64515227912,87.52038371797538,70.36328776805333,70.39288938215665,0.006531172740732075,3.2970162074264344,70.57055318172462,70.38731191942689,653.0,0.0,182.0,8784.0,train
c0_RT44HC_lhs_003,0,RT44HC,lhs,20260946,0.04933328871135921,22,0.037541288736369915,sim_v1_uttarakhand,2.8116257190704346,True,,0.024666644355679605,0.02766123092839905,0.972338769071601,1.3483512179248389e-05,8.436473731692069e-10,36.04067649641801,1.1560986890285454,True,uttarakhand,0.0,RT44HC,20.63,1539.549297897778,0.39154501630140026,,2281.557731938277,3.2402620831497986e-09,1626.3703452309596,87.45704116955284,25.34659006394904,25.356509424825497,0.004973230320590417,1.106449237135962,71.3451260477828,71.22454482342606,1796.0,0.0,208.0,8784.0,holdout
c0_RT44HC_lhs_004,0,RT44HC,lhs,20260946,0.032618324892173596,12,0.03093529504101304,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT44HC_lhs_005,0,RT44HC,lhs,20260946,0.07002330766236942,29,0.021704101134731722,sim_v1_uttarakhand,2.4178433418273926,True,,0.03501165383118471,0.10426882520661197,0.895731174793388,5.220189258898031e-05,1.8883252602927183e-09,29.575228937038005,0.40102788480351803,False,uttarakhand,0.0,RT44HC,20.63,1538.526038193174,0.39398207851090006,,2272.419343271461,7.252768830665006e-09,1625.4855654056078,87.60924406286756,86.37100841768908,86.40846259642224,0.006654362301854718,4.170753008264479,70.20853768616111,69.98076485360829,509.0,0.0,165.0,8784.0,train
c0_RT44HC_lhs_006,0,RT44HC,lhs,20260946,0.025741370291440305,16,0.016758615865105006,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT44HC_lhs_007,0,RT44HC,lhs,20260946,0.05286442505579607,13,0.04100066899228216,sim_v1_uttarakhand,2.677063465118408,True,,0.026432212527898034,0.020112335734075434,0.9798876642659246,1.1115844447053903e-05,7.595950979055914e-10,42.1791812624864,1.7170622274010847,True,uttarakhand,0.0,RT44HC,20.63,1539.2807977116966,0.39118699266978507,,2282.900233202648,2.917763020028583e-09,1626.0794093327625,87.43277176586645,18.241009410309896,18.24821877865117,0.004784896804024181,0.8044934293630174,71.41840918082757,71.29041961562156,1381.0,0.0,207.0,8784.0,holdout
c0_RT44HC_bnd_dmin_fmin,0,RT44HC,boundary,0,0.02,22,0.01,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT44HC_bnd_dmin_fmax,0,RT44HC,boundary,0,0.02,22,0.05,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT44HC_bnd_dmax_fmin,0,RT44HC,boundary,0,0.08,22,0.01,sim_v1_uttarakhand,2.480337142944336,True,,0.04,0.11795633216678478,0.8820436678332152,1.6544910901276784e-05,2.7574851502127974e-10,15.568030585685188,0.39881139135955096,False,uttarakhand,0.0,RT44HC,20.63,1536.4345304908495,0.39337970923456356,,2274.678081085643,1.0599236739739442e-09,1623.4308031056362,87.64912682058139,91.76030775914876,91.80266542439222,0.007008027773781497,4.718253286671391,69.85847153405298,69.49540359884267,375.0,0.0,144.0,8784.0,train
c0_RT44HC_bnd_dmax_fmax,0,RT44HC,boundary,0,0.08,22,0.05,sim_v1_uttarakhand,2.383089542388916,True,,0.04,0.11795633216678478,0.8820436678332152,0.00028333669561690297,2.3611391301408582e-08,77.84015292842594,0.39881139135955096,False,uttarakhand,0.0,RT44HC,20.63,1537.6394142882925,0.3940107070292508,,2272.3119933127177,9.073824883521051e-08,1624.6218564833443,87.63648034345157,94.79011036121456,94.8324856330748,0.00707154841566515,4.718253286671391,69.93921249833967,69.68331757306541,425.0,0.0,155.0,8784.0,train
c0_RT44HC_bnd_nmin,0,RT44HC,boundary,0,0.05,8,0.030000000000000002,sim_v1_uttarakhand,2.5510470867156982,True,,0.025,0.010471975511965978,0.989528024488034,2.988850618139812e-06,1.4944253090699062e-10,29.19005734815973,3.149765528504569,True,uttarakhand,0.0,RT44HC,20.63,1539.0624594278154,0.39074165157802754,,2284.5701536379656,5.74118767520388e-10,1625.8386429293275,87.40823374738116,9.590335625656905,9.59408817305282,0.0045580951173598535,0.4188790204786391,71.53454364761836,71.41704682235431,1422.0,0.0,210.0,8784.0,train
c0_RT44HC_bnd_nmax,0,RT44HC,boundary,0,0.05,37,0.030000000000000002,sim_v1_uttarakhand,2.605844497680664,True,,0.025,0.04843288674284265,0.9515671132571574,3.445149506227315e-05,1.7225747531136576e-09,29.19005734815973,0.6549042584154036,True,uttarakhand,0.0,RT44HC,20.63,1540.053712999482,0.392506113622375,,2277.953851482757,6.615309092846675e-09,1626.918229637726,87.50609267960607,43.92544121434771,43.942822771214956,0.005526972327903418,1.937315469713706,71.08910100034072,70.97289063076212,1246.0,0.0,205.0,8784.0,train
c0_savE__OM42_lhs_000,0,savE® OM42,lhs,20261714,0.03298293524627131,14,0.011947309752795796,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_savE__OM42_lhs_001,0,savE® OM42,lhs,20261714,0.046169524093895034,21,0.038311885281037836,sim_v1_uttarakhand,2.1887056827545166,True,,0.023084762046947517,0.021642832910747544,0.9783571670892525,1.0707404862075146e-05,6.837014445557496e-10,34.42172342214004,1.3913854680250348,True,uttarakhand,0.0,savE® OM42,20.63,1538.3359211883871,0.39106557073486126,,2283.355535832874,2.6260117858602597e-09,1625.2133901157788,87.50638023073516,19.360265165933786,19.373217289967958,0.0042217660200198695,0.9771739059202517,71.27568787530525,71.03699097461498,889.0,0.0,178.0,8784.0,holdout
