target,hf_training_fraction,n_train,model,R2,RMSE,MAE
useful_energy_kWh,1.0,112,high_fidelity_only,0.9997874796017696,0.6409579273811173,0.5029527469305777
useful_energy_kWh,1.0,112,multi_fidelity_augmented,0.9998918867029211,0.4571605733953025,0.3226202123946147
solar_fraction,1.0,112,high_fidelity_only,0.9999569486071672,0.0002978143155997514,0.00024171117484091028
solar_fraction,1.0,112,multi_fidelity_augmented,0.9999932303010868,0.00011809639577485923,9.31167793002933e-05
unmet_energy_kWh,1.0,112,high_fidelity_only,0.9999960925850497,1.2481282582570479,1.0645446439542865
unmet_energy_kWh,1.0,112,multi_fidelity_augmented,0.9999991432168442,0.5844534261978873,0.3887935157097824
pump_energy_kWh,1.0,112,high_fidelity_only,0.9291948869760455,7.298219989627121e-09,5.4657551669600965e-09
pump_energy_kWh,1.0,112,multi_fidelity_augmented,0.9190244929906171,7.804794595527799e-09,5.709226330704453e-09
useful_energy_kWh,0.75,84,high_fidelity_only,0.9997599476998388,0.6812117786097521,0.5159931681298758
useful_energy_kWh,0.75,84,multi_fidelity_augmented,0.9998952367813927,0.45002187943035893,0.37465483046098597
solar_fraction,0.75,84,high_fidelity_only,0.9999300809639802,0.00037953312174900783,0.0002827587413642307
solar_fraction,0.75,84,multi_fidelity_augmented,0.9999885096599488,0.0001538574064919503,0.00011119273197943517
unmet_energy_kWh,0.75,84,high_fidelity_only,0.9999941650763384,1.5252184084417124,1.1556468382126999
unmet_energy_kWh,0.75,84,multi_fidelity_augmented,0.9999990241543373,0.6237420411395828,0.47401412870485726
pump_energy_kWh,0.75,84,high_fidelity_only,0.9338272538370908,7.0554418861511085e-09,5.518127963882026e-09
pump_energy_kWh,0.75,84,multi_fidelity_augmented,0.9202624385177366,7.744905355561633e-09,5.90521309626825e-09
useful_energy_kWh,0.5,56,high_fidelity_only,0.9993345795151148,1.1341677551821647,0.8340291466493984
useful_energy_kWh,0.5,56,multi_fidelity_augmented,0.9996246396535283,0.8518309361514571,0.6250355956642731
solar_fraction,0.5,56,high_fidelity_only,0.9997560790536135,0.0007088861883635438,0.0005263114215095362
solar_fraction,0.5,56,multi_fidelity_augmented,0.9998900351505936,0.00047596926371782364,0.00029455958069328584
unmet_energy_kWh,0.5,56,high_fidelity_only,0.9999807890190094,2.767510136037787,2.104108179888696
unmet_energy_kWh,0.5,56,multi_fidelity_augmented,0.9999917242492641,1.8164278402981973,1.1653278647949719
pump_energy_kWh,0.5,56,high_fidelity_only,0.9505837331345424,6.097047897416918e-09,5.0021522179809804e-09
pump_energy_kWh,0.5,56,multi_fidelity_augmented,0.9123861338915962,8.118411529363091e-09,6.381031013046144e-09
useful_energy_kWh,0.25,28,high_fidelity_only,0.9991478182540724,1.2834983844311345,0.9543784755244815
useful_energy_kWh,0.25,28,multi_fidelity_augmented,0.9995451593288772,0.937689080406181,0.6507409739941294
solar_fraction,0.25,28,high_fidelity_only,0.9999328879401065,0.0003718366991747775,0.00031931056594008413
solar_fraction,0.25,28,multi_fidelity_augmented,0.9999422731158809,0.000344858571507893,0.00025928828947304193
unmet_energy_kWh,0.25,28,high_fidelity_only,0.9999572192186701,4.129893049964882,2.2555006043346415
unmet_energy_kWh,0.25,28,multi_fidelity_augmented,0.999995070839937,1.4018479457874615,1.0319143538784676
pump_energy_kWh,0.25,28,high_fidelity_only,0.8044626093063478,1.2128289298130649e-08,5.967400951222262e-09
pump_energy_kWh,0.25,28,multi_fidelity_augmented,0.8182919729132354,1.1691539370254938e-08,5.6045656917574265e-09
