draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
0,0,RT42,True,1.0027278014886263,0.9760180974198183,-0.3328477236458541,1.0623096416682967,0.13875159554154715,-0.5645711328923446,uttarakhand,0,RT42,20.065428867107656,1527.5406568191825,0.36999850415979696,1024,2557.789543821919,8.77368679523442e-10,1611.3441567174332,84.49247473525094,9.12775490742126,9.131831984393227,0.005762013072568411,0.49618403750283674,72.11497577571843,72.07549137582997,2726,0.0,251,8784,0.30168155700414545,0.0,1.0
1,0,RT42,True,0.9904745097860911,1.012301442226795,-0.7865928149071711,0.9699090627602712,-0.05531410292628236,1.1974168792691255,uttarakhand,0,RT42,21.827416879269123,1507.2410225560782,0.4054022639946179,1242,2074.3402810499465,8.725489428549615e-10,1605.0002896915605,98.35593692316675,9.553259174032389,9.556841382983333,0.006486696526463586,0.49618403750283674,72.23105116812091,72.11991927399194,2331,0.0,272,8784,0.3664760914724236,0.0,1.0
2,0,RT42,True,0.9955626091426788,1.0458459176244876,0.7747648784248966,0.975208508065082,0.3645996273997223,0.42853790746818765,uttarakhand,0,RT42,21.058537907468185,1611.7321667850983,0.42837935657931847,1676,2059.799350204647,8.774971202071668e-10,1704.6231842212956,93.4713462838135,10.430712098443362,10.434485187223032,0.002808868940194608,0.49618403750283674,77.07039570358172,77.0263789261349,8734,0.0,305,8784,0.38698545198349643,0.0,1.0
3,0,RT42,True,1.0270657485904662,0.9870710763013232,-0.12149231548696685,1.1122939259823352,-0.22276802506325522,-0.6457954404349979,uttarakhand,0,RT42,19.984204559565,1557.7712932816794,0.3537052881606345,760,2754.857178185408,8.98243501694513e-10,1636.083870135167,79.05800729380357,8.893370149868039,8.89745242703444,0.009060462120646049,0.49618403750283674,70.6953643525889,70.51262608005274,553,0.0,225,8784,0.28076162998483767,0.0,1.0
4,0,RT42,True,0.9214307907468922,0.9792616230811133,-0.3019019557211333,1.0407189161778767,0.14784662737783028,1.8891536028248375,uttarakhand,0,RT42,22.519153602824836,1471.7336112877265,0.39137326187279065,1324,2222.356072996084,8.62251211013403e-10,1567.1626464891285,96.04427166559141,9.181414248213608,9.184845550139082,0.009845404672444196,0.49618403750283674,73.82687564060458,73.78943982710497,4955,0.0,285,8784,0.35648541282736407,0.0,1.0
5,0,RT42,True,1.0378207918001432,1.0164007884380244,-0.05918004584798012,0.8531446248407042,-0.39928446367684134,-0.9816150450765089,uttarakhand,0,RT42,19.64838495492349,1537.9106373575232,0.4356575481927999,1362,1865.7190598408097,8.855985163520126e-10,1630.4172997517705,93.12591126668525,9.99832039083893,10.002430727116165,0.000991972851262492,0.49618403750283674,73.41286820593291,73.4054691152645,3071,0.0,274,8784,0.3732379107099928,0.0,1.0
6,0,RT42,True,0.9030848976492496,1.0016859829611588,0.06535278181266957,0.8770619683630116,0.3209050310258025,-0.01722991929008444,uttarakhand,0,RT42,20.612770080709915,1511.7288538731316,0.4406007528606458,1668,1840.8138405400803,8.721925199569959e-10,1607.5978663544934,96.45130903946881,9.619278315578061,9.623141405571804,0.0019265585866154085,0.49618403750283674,77.44484163188417,77.40415034576569,8344,0.0,303,8784,0.3828526275631995,0.0,1.0
7,0,RT42,True,1.0225585677314264,1.0339261372596384,0.5676098238593239,0.8673301158050837,-0.3282610873007652,-1.33985195412229,uttarakhand,0,RT42,19.290148045877707,1592.4099441350636,0.4375056751378016,1408,1912.8431395036437,8.923673404001058e-10,1681.528214936953,89.75162210203109,10.087917229376599,10.092115256688464,0.0007092356657491013,0.49618403750283674,74.18315096049142,74.17859380353289,3561,0.0,271,8784,0.377474175644739,0.0,1.0
8,0,RT42,True,1.006883670871499,1.0059985739069608,-0.8236981011857444,0.9831238687394735,0.01331288937738806,-1.5754512102623948,uttarakhand,0,RT42,19.054548789737606,1563.372585950729,0.3935353861792663,1195,2355.6436252838253,8.78466847371851e-10,1650.8844530486017,88.20603829272753,9.527964729513165,9.532285363041163,0.002846350523788013,0.49618403750283674,74.05692878312723,74.01464310334345,5034,0.0,261,8784,0.31788671371798133,0.0,1.0
9,0,RT42,True,1.0847442618539016,1.00048078614071,-0.015175680592220922,1.0394457123696257,-0.4041164944427166,0.4434166553495924,uttarakhand,0,RT42,21.07341665534959,1539.3502745598473,0.38211402171080755,1030,2371.954508472287,8.896411868817247e-10,1626.2204078562447,87.51448383163235,9.777379574105298,9.781157639157835,0.006817792315318039,0.49618403750283674,71.56280813640615,71.35357072394834,1347,0.0,250,8784,0.33100239229108525,0.0,1.0
